id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1161704484038500352,1161704484038500352,2019-08-14 23:51:47 IST,2019-08-14,23:51:47,+0530,20933739,anitasharma,Anita Sharma ૐ,,Financials sinking on TSX but no surprise here as gold continues to shine: $ABX $KL $DGC #gold #stocks,en,[],[],[],1,0,9,"['gold', 'stocks']","['abx', 'kl', 'dgc']",https://twitter.com/AnitaSharma/status/1161704484038500352,False,,0,,,,,,,,[],,,,
1105081150937153536,1105081150937153536,2019-03-11 17:50:52 IST,2019-03-11,17:50:52,+0530,20106796,amberkanwar,Amber Kanwar,,"#5things on short on time, long on news flow $BA $AAPL $ABX $NEM $GG $HMB.to $III.to  https://t.co/NFHSiDxDjw",en,[],[],[],2,5,27,['5things'],"['ba', 'aapl', 'abx', 'nem', 'gg', 'hmb.to', 'iii.to']",https://twitter.com/amberkanwar/status/1105081150937153536,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1105080969919451137/pu/img/w9Xrn6_Xgp1BSyvE.jpg,,,,,,,[],,,,
1105076771714674688,1105076771714674688,2019-03-11 17:33:28 IST,2019-03-11,17:33:28,+0530,20106796,amberkanwar,Amber Kanwar,,#BREAKING: Barrick withdraws hostile bid for Newmont as the companies agree to joint venture in Nevada instead $ABX $NEM,en,[],[],[],1,7,12,['breaking'],"['abx', 'nem']",https://twitter.com/amberkanwar/status/1105076771714674688,False,,0,,,,,,,,[],,,,
1103664139463991296,1103664139463991296,2019-03-07 20:00:10 IST,2019-03-07,20:00:10,+0530,475309726,tradestation,TradeStation,,"Despite the rally in #gold prices since mid-2018, the gold mining industry has consolidated recently — with M&amp;A involving $ABX, $GOLD, $NEM and $GG. What could account for the consolidation? Let’s take a look.  https://t.co/J4p3zHA9bH",en,[],[],['https://pbs.twimg.com/media/D1EArpuWsAAhJSt.jpg'],1,8,42,['gold'],"['abx', 'gold', 'nem', 'gg']",https://twitter.com/TradeStation/status/1103664139463991296,False,,1,https://pbs.twimg.com/media/D1EArpuWsAAhJSt.jpg,,,,,,,[],,,,
1100024578829631488,1100024578829631488,2019-02-25 18:57:51 IST,2019-02-25,18:57:51,+0530,97013858,miningonline,Mining Journal,,#Barrick has confirmed it wants to take over Newmont Mining in a $19b all-share deal that would create a mammoth #gold miner |  https://t.co/nL7nVqhIcX $ABX $NEM,en,[],['https://bit.ly/2VhBrzJ'],[],0,7,7,"['barrick', 'gold']","['abx', 'nem']",https://twitter.com/MiningOnline/status/1100024578829631488,False,,0,,,,,,,,[],,,,
1099993017627365376,1099993017627365376,2019-02-25 16:52:26 IST,2019-02-25,16:52:26,+0530,15110357,reutersbiz,Reuters Business,,JUST IN: Barrick Gold offers to buy Newmont in all-stock deal $ABX $NEM  https://t.co/BvQcV0rxeB,en,[],[],['https://pbs.twimg.com/media/D0P10emX0AA4BxB.jpg'],2,7,8,[],"['abx', 'nem']",https://twitter.com/ReutersBiz/status/1099993017627365376,False,,1,https://pbs.twimg.com/media/D0P10emX0AA4BxB.jpg,,,,,,,[],,,,
1095674156702670850,1095674156702670850,2019-02-13 18:50:50 IST,2019-02-13,18:50:50,+0530,20106796,amberkanwar,Amber Kanwar,,#5things on a resource heavy day $TECK $CVE $ABX $GRPN  https://t.co/jP1mrf8ItL,en,[],[],[],2,5,29,['5things'],"['teck', 'cve', 'abx', 'grpn']",https://twitter.com/amberkanwar/status/1095674156702670850,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1095673901474996225/pu/img/M26cHFl8FiSIqeYc.jpg,,,,,,,[],,,,
1075865126010540032,1075865126010540032,2018-12-21 02:56:49 IST,2018-12-21,02:56:49,+0530,166223127,gbmplus,GBM+,,"#Amediasesión el $IPC avanza 0.71% a 41,683 pts.  Alzas $OMA $LALA $GAP  Bajas $GFNORT $MEXCHE $TELEVI  SIC $ABX  $FB  $ESNT  ETFs $RING  $SHV  $FEZ  #TRMX #BolsaMx  https://t.co/I95MLUTdRs",en,[],[],[],0,1,7,"['amediasesión', 'trmx', 'bolsamx']","['ipc', 'oma', 'lala', 'gap', 'gfnort', 'mexche', 'televi', 'abx', 'fb', 'esnt', 'ring', 'shv', 'fez']",https://twitter.com/GBMplus/status/1075865126010540032,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1075864948985671681/pu/img/YrN9HOTdFsu-UiKu.jpg,,,,,,,[],,,,
1072159618569306113,1072159618569306113,2018-12-10 21:32:27 IST,2018-12-10,21:32:27,+0530,247857712,peterlbrandt,Peter Brandt,,"New blog post on Factor.  ""ABX (Barrick Gold) Could be Leading Gold""   -    Link &gt;  https://t.co/tIYXGB6BFP  $ABX $GDX #Gold  https://t.co/77FRclCf5I",en,[],['https://buff.ly/2QkbKAm'],['https://pbs.twimg.com/media/DuETfanXcAQEVpM.jpg'],3,9,51,['gold'],"['abx', 'gdx']",https://twitter.com/PeterLBrandt/status/1072159618569306113,False,,1,https://pbs.twimg.com/media/DuETfanXcAQEVpM.jpg,,,,,,,[],,,,
1059717517415976960,1059717517415976960,2018-11-06 13:31:59 IST,2018-11-06,13:31:59,+0530,97013858,miningonline,Mining Journal,,"Barrick #Gold shareholders have backed the merger with Randgold, and there are also rumours a Nevada tie-up with Newmont is in play ($) |  https://t.co/hIjXn01QNE $ABX $RRS",en,[],['https://bit.ly/2DongE1'],[],1,5,4,['gold'],"['abx', 'rrs']",https://twitter.com/MiningOnline/status/1059717517415976960,False,,0,,,,,,,,[],,,,
