id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1211422929587593216,1211422929587593216,2019-12-30 04:35:08 IST,2019-12-30,04:35:08,+0530,109490011,uclatheden,The Den,,Beat $C ✅  Still undefeated ✅,en,[],[],[],1,5,85,[],['c'],https://twitter.com/uclatheden/status/1211422929587593216,False,https://twitter.com/UCLAWBB/status/1211421594888757249,0,,,,,,,,[],,,,
1204865441216241665,1204865441216241665,2019-12-12 02:18:01 IST,2019-12-12,02:18:01,+0530,68739089,cgasparino,Charles Gasparino,,Scoop — Merger-related job cuts begin @ViacomCBS w some cuts in finance dept; @generalelectric eying major cuts in corporate division and @Citi has done some cuts and may do more on new year we discuss now @FoxBusiness @LizClaman $GE $C $VIAC,en,"[{'screen_name': 'viacomcbs', 'name': 'viacomcbs', 'id': '19034788'}, {'screen_name': 'generalelectric', 'name': 'general electric', 'id': '267399199'}, {'screen_name': 'citi', 'name': 'citi', 'id': '79320096'}, {'screen_name': 'foxbusiness', 'name': 'fox business', 'id': '56413858'}, {'screen_name': 'lizclaman', 'name': 'liz claman', 'id': '20707966'}]",[],[],0,7,12,[],"['ge', 'c', 'viac']",https://twitter.com/CGasparino/status/1204865441216241665,False,,0,,,,,,,,[],,,,
1204518366045724673,1204518366045724673,2019-12-11 03:18:51 IST,2019-12-11,03:18:51,+0530,1413027896,charliebilello,Charlie Bilello,,2019 returns for the largest US banks... Citigroup $C: +50% JP Morgan $JPM: +42% Bank of America $BAC: +39% Goldman Sachs $GS: +36% US Bank $USB: +34% Morgan Stanley $MS: +29% Wells Fargo $WFC: +21%  https://t.co/IdQsfEqsvQ,en,[],[],['https://pbs.twimg.com/media/ELdOjatXsAIX83N.png'],9,95,169,[],"['c', 'jpm', 'bac', 'gs', 'usb', 'ms', 'wfc']",https://twitter.com/charliebilello/status/1204518366045724673,False,,1,https://pbs.twimg.com/media/ELdOjatXsAIX83N.png,,,,,,,[],,,,
1199801838951948290,1199801838951948290,2019-11-28 02:57:04 IST,2019-11-28,02:57:04,+0530,2151618144,rbrtrmstrng,Robert Armstrong,,"Citibank has made a $12.5m stock award to Jane Fraser, in deferred stock and cash, ""In recognition of Ms. Fraser’s recent promotion to President and to enhance leadership continuity."" It's a Wednesday afternoon before thanksgiving Special! $c",en,[],[],[],1,1,5,[],['c'],https://twitter.com/rbrtrmstrng/status/1199801838951948290,False,,0,,,,,,,,[],,,,
1199283818928181248,1199283818928181248,2019-11-26 16:38:38 IST,2019-11-26,16:38:38,+0530,19988458,dougkass,Dougie Kass,,"This morning in @realmoney  * Raising my 2020 year end $C price target to $90 * More on Bitcoin * With 95% of companies reported, S&amp;P 500 GAAP earnings are down 6% over the past year - that's the largest decline since Q4 2015  @jimcramer @tomkeene @business @SquawkCNBC",en,"[{'screen_name': 'realmoney', 'name': 'real money', 'id': '390812646'}, {'screen_name': 'jimcramer', 'name': 'jim cramer', 'id': '14216123'}, {'screen_name': 'tomkeene', 'name': 'tom keene', 'id': '25709609'}, {'screen_name': 'business', 'name': 'bloomberg', 'id': '34713362'}, {'screen_name': 'squawkcnbc', 'name': 'squawk box', 'id': '404422077'}]",[],[],4,0,26,[],['c'],https://twitter.com/DougKass/status/1199283818928181248,False,,0,,,,,,,,[],,,,
1197990966042382336,1197990966042382336,2019-11-23 03:01:18 IST,2019-11-23,03:01:18,+0530,15246621,alphatrends,"Brian Shannon, CMT",,VIDEO☞  https://t.co/sqsajlr4gl Stock Market Analysis 11/22/19 $SPY $QQQ $IWM $XLF $SMH $IBB $AAPL $C $BAC #AVWAP,en,[],['http://bit.ly/37x1Eku'],[],0,10,17,['avwap'],"['spy', 'qqq', 'iwm', 'xlf', 'smh', 'ibb', 'aapl', 'c', 'bac']",https://twitter.com/alphatrends/status/1197990966042382336,False,,0,,,,,,,,[],,,,
1197185224259584000,1197185224259584000,2019-11-20 21:39:34 IST,2019-11-20,21:39:34,+0530,872519322077470721,tdanetwork,TD Ameritrade Network,,"The yield curve doesn’t always matter to profitability, but it matters to investor confidence, says @DataTrekMB’s Nick Colas. So with a lowered 2020 forecast, would banks outperform on improved economic data?  #InsideOut: Colas talks financials and @TomWhite_TDAN trades $C &amp; $GS.",en,"[{'screen_name': 'datatrekmb', 'name': 'datatrek research', 'id': '933369884553170946'}, {'screen_name': 'tomwhite_tdan', 'name': 'tom white', 'id': '1031926601490083840'}]",[],[],0,3,6,['insideout'],"['c', 'gs']",https://twitter.com/TDANetwork/status/1197185224259584000,False,,0,,,,,,,,[],,,,
1192571429398691840,1192571429398691840,2019-11-08 04:06:00 IST,2019-11-08,04:06:00,+0530,16732770,cnbcfastmoney,CNBC's Fast Money,,The bond market's monster move has one technician doubling down on his big bank bet. @verrone_chris lays out his bull case. $C $GS $DB  https://t.co/147bTuSgip,en,"[{'screen_name': 'verrone_chris', 'name': 'chris verrone', 'id': '778309437224136704'}]",[],[],3,5,10,[],"['c', 'gs', 'db']",https://twitter.com/CNBCFastMoney/status/1192571429398691840,False,,1,https://pbs.twimg.com/media/EIzdZE0W4AAUH83.jpg,,,,,,,[],,,,
1192462754201948165,1192462753199341568,2019-11-07 20:54:10 IST,2019-11-07,20:54:10,+0530,19988458,dougkass,Dougie Kass,,"holdings in $GS, $C, $WFC and $BAC to medium sized now. All three stocks are now within ten percent of my year end 2020 price targets - making the upside reward v downside risk substantially less attractive than existed a few months ago. I will book some very good gains.",en,[],[],[],2,1,18,[],"['gs', 'c', 'wfc', 'bac']",https://twitter.com/DougKass/status/1192462754201948165,False,,0,,,,,,,,[],,,,
1191804920795684868,1191804920795684868,2019-11-06 01:20:10 IST,2019-11-06,01:20:10,+0530,19988458,dougkass,Dougie Kass,,"On @realmoney Why I sold my speculative holding of $DB this week and why I am holding on to mega large money center longs, $C $BAC and $WFC (as well as $GS). @jimcramer @tomkeene @SquawkCNBC @cnbcfastmoney",en,"[{'screen_name': 'realmoney', 'name': 'real money', 'id': '390812646'}, {'screen_name': 'jimcramer', 'name': 'jim cramer', 'id': '14216123'}, {'screen_name': 'tomkeene', 'name': 'tom keene', 'id': '25709609'}, {'screen_name': 'squawkcnbc', 'name': 'squawk box', 'id': '404422077'}, {'screen_name': 'cnbcfastmoney', 'name': ""cnbc's fast money"", 'id': '16732770'}]",[],[],1,0,11,[],"['db', 'c', 'bac', 'wfc', 'gs']",https://twitter.com/DougKass/status/1191804920795684868,False,,0,,,,,,,,[],,,,
