id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1182655074360856581,1182655074360856581,2019-10-11 19:21:57 IST,2019-10-11,19:21:57,+0530,120242824,morganlbrennan,Morgan Brennan,,$FAST up a whopping 16% today after earnings beat. $GWW up 7% as well  reminder: these distributors are early indicator of state of industrial economy  https://t.co/i6iKG9nFF6,en,[],['https://www.barrons.com/articles/recession-fears-fastenal-ism-manufacturing-stock-51570796945'],[],2,2,16,[],"['fast', 'gww']",https://twitter.com/MorganLBrennan/status/1182655074360856581,False,,0,,,,,,,,[],,,,
1166486929380204549,1166486929380204549,2019-08-28 04:35:30 IST,2019-08-28,04:35:30,+0530,18378349,keithmccullough,Keith McCullough,,"Apparently orders aren't coming ""back to the table"" $FAST #RealTimeData @HedgeyeIndstrls  https://t.co/rQXJeBdgdb",en,"[{'screen_name': 'hedgeyeindstrls', 'name': 'jay van sciver', 'id': '761884866'}]",[],['https://pbs.twimg.com/media/EDAxrcwWwAAJSDA.png'],1,4,13,['realtimedata'],['fast'],https://twitter.com/KeithMcCullough/status/1166486929380204549,False,,1,https://pbs.twimg.com/media/EDAxrcwWwAAJSDA.png,,,,,,,[],,,,
1149302348684169216,1149302348684169216,2019-07-11 18:30:07 IST,2019-07-11,18:30:07,+0530,2975103519,yunli626,Yun Li,,"Fastenal, the largest fastener distributor in North America with a $17 bn market value, just sounded the alarm on tariffs. $FAST  The company said its price increases to offset tariffs were not ""sufficient to also counter general inflation.""  https://t.co/UHpCfJvk0g",en,[],['https://www.cnbc.com/2019/07/11/fastenal-just-gave-us-a-glimpse-into-this-earnings-season-as-it-tanks-on-tariff-costs.html'],[],6,7,11,[],['fast'],https://twitter.com/YunLi626/status/1149302348684169216,False,,0,,,,,,,,[],,,,
1149275649565179904,1149275649565179904,2019-07-11 16:44:02 IST,2019-07-11,16:44:02,+0530,114782468,carlquintanilla,Carl Quintanilla,,"Fastenal: “While we successfully raised prices as one element of our strategy to offset tariffs placed to date on products sourced from China, those increases were not sufficient to also counter general inflation in the marketplace. ..”   (h/t @pboockvar) $FAST (1/2)",en,"[{'screen_name': 'pboockvar', 'name': 'peter boockvar', 'id': '1864849969'}]",[],[],4,15,26,[],['fast'],https://twitter.com/carlquintanilla/status/1149275649565179904,False,,0,,,,,,,,[],,,,
1120336470739496960,1120336470739496960,2019-04-22 20:10:04 IST,2019-04-22,20:10:04,+0530,37718217,thedomino,Dominic Chu,,"10 S&amp;P 500 RECORD HIGHS so far in trading today, incl:  Microsoft $MSFT Procter &amp; Gamble $PG Union Pacific $UNP Norfolk Southern $NSC Waste Management $WM Dollar Tree $DLTR $MSCI Fastenal $FAST Global Payments $GPN Rollins $ROL  @cnbc",en,"[{'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}]",[],[],2,4,13,[],"['msft', 'pg', 'unp', 'nsc', 'wm', 'dltr', 'msci', 'fast', 'gpn', 'rol']",https://twitter.com/TheDomino/status/1120336470739496960,False,,0,,,,,,,,[],,,,
1116403704347992066,1116403704347992066,2019-04-11 23:42:39 IST,2019-04-11,23:42:39,+0530,14115408,jonnajarian,Jon Najarian,,Today's 60 Second video from @investitute $WTW taken to underweight at JPM ....😐..... $BBBY $FAST $GWW $URI  https://t.co/wCWyb3fdMX,en,"[{'screen_name': 'investitute', 'name': 'investitute', 'id': '1295683179412512768'}]",[],[],1,1,9,[],"['wtw', 'bbby', 'fast', 'gww', 'uri']",https://twitter.com/jonnajarian/status/1116403704347992066,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1116403552505798658/pu/img/Uoh96ZrtQED95IsW.jpg,,,,,,,[],,,,
1114170214835470336,1114170214835470336,2019-04-05 19:47:34 IST,2019-04-05,19:47:34,+0530,37718217,thedomino,Dominic Chu,,"21 S&amp;P 500 RECORD HIGHS so far today, incl: Dollar General $DG Dollar Tree $DLTR O'Reilly Auto $ORLY  Starbucks $SBUX Costco $COST Ingersoll-Rand $IR Ecolab $ECL KLA Tencor $KLAC Dover $DOV Fastenal $FAST Tractor Supply $TSCO Etc  @cnbc",en,"[{'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}]",[],[],7,13,32,[],"['dg', 'dltr', 'orly', 'sbux', 'cost', 'ir', 'ecl', 'klac', 'dov', 'fast', 'tsco']",https://twitter.com/TheDomino/status/1114170214835470336,False,,0,,,,,,,,[],,,,
1052147120684322817,1052147120684322817,2018-10-16 16:09:56 IST,2018-10-16,16:09:56,+0530,19988458,dougkass,Dougie Kass,,"Unwatchable asks are there cost/wage pressures anywhere? OMG - read the quarterly reports from  $KMB, $FAST, $PPG, $KHC, etc",en,[],[],[],6,1,11,[],"['kmb', 'fast', 'ppg', 'khc']",https://twitter.com/DougKass/status/1052147120684322817,False,,0,,,,,,,,[],,,,
1017083233559818241,1017083233559818241,2018-07-11 21:58:34 IST,2018-07-11,21:58:34,+0530,14115408,jonnajarian,Jon Najarian,,60 Second Video: From @investitute Down in FLA with @Priatek Trump vs China in Trade War $FAST $JWN $CRM $X $KORS Aug 67.50 see you on @HalftimeReport  https://t.co/zwtvzbjKwq,en,"[{'screen_name': 'investitute', 'name': 'investitute', 'id': '1295683179412512768'}, {'screen_name': 'priatek', 'name': 'priatek', 'id': '2987317203'}, {'screen_name': 'halftimereport', 'name': 'cnbc halftime report', 'id': '234905402'}]",[],[],1,1,22,[],"['fast', 'jwn', 'crm', 'x', 'kors']",https://twitter.com/jonnajarian/status/1017083233559818241,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1017082628523077632/pu/img/Bz3Pf8WkBthPeuf8.jpg,,,,,,,[],,,,
1015988173158207488,1015988173158207488,2018-07-08 21:27:11 IST,2018-07-08,21:27:11,+0530,14886375,stocktwits,Stocktwits,,Here's who reports earnings next week (July 9 -13). Pay lose attention to Friday:  Mon - $HELE Tue - $PEP $SLP$WDFC Wed - $FAST $OZK Thu - $DAL $SKIS $CBSH Fri - $JPM $WFC $C $PNC ❗️    https://t.co/8RKvSCzNPa,en,[],['https://stocktwits.com/discover/earnings-calendar/2018-07-09'],[],2,19,34,[],"['hele', 'pep', 'slp', 'fast', 'ozk', 'dal', 'skis', 'cbsh', 'jpm', 'wfc', 'c', 'pnc']",https://twitter.com/Stocktwits/status/1015988173158207488,False,,0,,,,,,,,[],,,,
