id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1212060262771175424,1212060262771175424,2019-12-31 22:47:40 IST,2019-12-31,22:47:40,+0530,20402945,cnbc,CNBC,,GE and other duds of the decade could be about to rebound $GE $M (via @TradingNation)  https://t.co/CQpInJwlco,en,"[{'screen_name': 'tradingnation', 'name': 'trading nation', 'id': '1278852289'}]",['https://cnb.cx/36btouc'],[],2,2,10,[],"['ge', 'm']",https://twitter.com/CNBC/status/1212060262771175424,False,,0,,,,,,,,[],,,,
1208053961116278785,1208053961116278785,2019-12-20 21:28:03 IST,2019-12-20,21:28:03,+0530,263197731,scottwapnercnbc,Scott Wapner,,"JUST IN!!  JP Morgan's star Industrials analyst, Stephen Tusa, will be on @HalftimeReport today at Noon eastern to talk $GE. He's sticking with his underweight rating and $5 price target and, in a new note, writing about the company's heavy exposure to $BA.",en,"[{'screen_name': 'halftimereport', 'name': 'cnbc halftime report', 'id': '234905402'}]",[],[],8,5,30,[],"['ge', 'ba']",https://twitter.com/ScottWapnerCNBC/status/1208053961116278785,False,,0,,,,,,,,[],,,,
1206686527859896320,1206686527859896320,2019-12-17 02:54:22 IST,2019-12-17,02:54:22,+0530,25360971,powerlunch,Power Lunch,,"As the decade winds down, which stocks should you buy or boot ahead of the 2020s?  @grassosteve shares his picks for which names will boom or bust in the next 10 years.  $NFLX $ABMD $URI $GE  https://t.co/cO1Rzox9Q2",en,"[{'screen_name': 'grassosteve', 'name': 'steve grasso', 'id': '300338214'}]",[],[],3,8,31,[],"['nflx', 'abmd', 'uri', 'ge']",https://twitter.com/PowerLunch/status/1206686527859896320,False,,1,https://pbs.twimg.com/media/EL8C_6zXkAAo6b3.jpg,,,,,,,[],,,,
1205188476595056646,1205188476595056646,2019-12-12 23:41:38 IST,2019-12-12,23:41:38,+0530,234905402,halftimereport,CNBC Halftime Report,,A bullish call on General Electric from UBS.  The investment committee debates $GE in our #CalloftheDay.  https://t.co/7iYlezQxZ9,en,[],[],[],2,5,17,['calloftheday'],['ge'],https://twitter.com/HalftimeReport/status/1205188476595056646,False,,1,https://pbs.twimg.com/media/ELmwh3dWwAA6Vz_.jpg,,,,,,,[],,,,
1204865441216241665,1204865441216241665,2019-12-12 02:18:01 IST,2019-12-12,02:18:01,+0530,68739089,cgasparino,Charles Gasparino,,Scoop — Merger-related job cuts begin @ViacomCBS w some cuts in finance dept; @generalelectric eying major cuts in corporate division and @Citi has done some cuts and may do more on new year we discuss now @FoxBusiness @LizClaman $GE $C $VIAC,en,"[{'screen_name': 'viacomcbs', 'name': 'viacomcbs', 'id': '19034788'}, {'screen_name': 'generalelectric', 'name': 'general electric', 'id': '267399199'}, {'screen_name': 'citi', 'name': 'citi', 'id': '79320096'}, {'screen_name': 'foxbusiness', 'name': 'fox business', 'id': '56413858'}, {'screen_name': 'lizclaman', 'name': 'liz claman', 'id': '20707966'}]",[],[],0,7,12,[],"['ge', 'c', 'viac']",https://twitter.com/CGasparino/status/1204865441216241665,False,,0,,,,,,,,[],,,,
1198987062948646913,1198987062948646913,2019-11-25 20:59:26 IST,2019-11-25,20:59:26,+0530,14216123,jimcramer,Jim Cramer,,$GE-- i like the choice of new CFO--very strong...,en,[],[],[],3,4,37,[],['ge'],https://twitter.com/jimcramer/status/1198987062948646913,False,,0,,,,,,,,[],,,,
1197868337386184704,1197868337386184704,2019-11-22 18:54:01 IST,2019-11-22,18:54:01,+0530,15281391,thestreet,TheStreet,,GE $GE is now up nearly 30% since its third-quarter earnings release   https://t.co/tyKhpn7ftI,en,[],['https://buff.ly/2QGc9Mo'],[],0,3,7,[],['ge'],https://twitter.com/TheStreet/status/1197868337386184704,False,,0,,,,,,,,[],,,,
1197629225244729360,1197629225244729360,2019-11-22 03:03:52 IST,2019-11-22,03:03:52,+0530,15281391,thestreet,TheStreet,,"$GE shares close at highest level in more than a year, but where does the stock head from here?   https://t.co/tyKhpn7ftI",en,[],['https://buff.ly/2QGc9Mo'],[],1,2,8,[],['ge'],https://twitter.com/TheStreet/status/1197629225244729360,False,,0,,,,,,,,[],,,,
1197517115558973440,1197517115558973440,2019-11-21 19:38:23 IST,2019-11-21,19:38:23,+0530,120242824,morganlbrennan,Morgan Brennan,,"""For decades, $GE was America’s breeding ground for corporate chiefs...[who] went on to run behemoths such as $HD and $MMM.   ""In the Big Tech era, $AMZN has become the incubator for CEOs and entrepreneurs.""   https://t.co/48GhqMVS8O",en,[],['https://tinyurl.com/u9ssyca'],[],0,3,15,[],"['ge', 'hd', 'mmm', 'amzn']",https://twitter.com/MorganLBrennan/status/1197517115558973440,False,,0,,,,,,,,[],,,,
1197141081781084162,1197141081781084162,2019-11-20 18:44:10 IST,2019-11-20,18:44:10,+0530,360008071,edgecgroup,Jim Osman,,Big readership on this one. Take a look and tell me what you think. $GE,en,[],[],[],1,2,4,[],['ge'],https://twitter.com/EdgeCGroup/status/1197141081781084162,False,https://twitter.com/EdgeCGroup/status/1196748903590322176,0,,,,,,,,[],,,,
1196748903590322176,1196748903590322176,2019-11-19 16:45:47 IST,2019-11-19,16:45:47,+0530,360008071,edgecgroup,Jim Osman,,"With shareholders carrying the can for the total value destruction in $GE, it seems, the actual workers themselves are paying for it now too. With limited breakup value and a mountain of debt. Who should be responsible? My take in @Forbes   https://t.co/Yqe2vtuddG",en,"[{'screen_name': 'forbes', 'name': 'forbes', 'id': '91478624'}]",['https://www.forbes.com/sites/jimosman/2019/11/19/ge-jack-welch-jeff-immelt-pension-crisis-payback/#5f089d8b787c'],[],5,3,14,[],['ge'],https://twitter.com/EdgeCGroup/status/1196748903590322176,False,,0,,,,,,,,[],,,,
