id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
912420222845489152,912420222845489152,2017-09-26 02:25:07 IST,2017-09-26,02:25:07,+0530,102754598,johncendpts,John Carroll,,"Genocea shelves its lead drug, slashes staff and switches focus to trendy neoantigens $GNCA  https://t.co/OftNlIWKAx",en,[],['https://endpts.com/genocea-shelves-its-lead-drug-slashes-staff-and-switches-focus-to-trendy-neoantigens/'],[],0,2,7,[],['gnca'],https://twitter.com/JohnCendpts/status/912420222845489152,False,,0,,,,,,,,[],,,,
912414638695952386,912414638695952386,2017-09-26 02:02:56 IST,2017-09-26,02:02:56,+0530,102094857,adamfeuerstein,Adam Feuerstein,,TFW when you see $GNCA halted and then learn about the pivot to immuno-oncology.  https://t.co/EQ7zQXiHLk,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/DKmMQfpUIAAw3t5.jpg'],3,2,14,[],['gnca'],https://twitter.com/adamfeuerstein/status/912414638695952386,False,,1,https://pbs.twimg.com/tweet_video_thumb/DKmMQfpUIAAw3t5.jpg,,,,,,,[],,,,
912414257131720707,912414257131720707,2017-09-26 02:01:25 IST,2017-09-26,02:01:25,+0530,274233761,bradloncar,Brad Loncar,,$GNCA strategic shift to immuno-oncology. Exploring alternatives for the herpes program. Reducing workforce by 40%.,en,[],[],[],1,4,6,[],['gnca'],https://twitter.com/bradloncar/status/912414257131720707,False,,0,,,,,,,,[],,,,
889551615904165894,889551615904165894,2017-07-24 23:53:26 IST,2017-07-24,23:53:26,+0530,15971805,investorslive,Nathan Michaud,,$GNCA they did same thing last time it ran to $8 into the close ... couple PT upgrades before @adamfeuerstein had a few words,en,"[{'screen_name': 'adamfeuerstein', 'name': 'adam feuerstein', 'id': '102094857'}]",[],[],0,1,5,[],['gnca'],https://twitter.com/InvestorsLive/status/889551615904165894,False,,0,,,,,,,,[],,,,
747811906308628480,747811906308628480,2016-06-28 20:50:26 IST,2016-06-28,20:50:26,+0530,11247222,timothysykes,Timothy Sykes,,Retweet/favorite this if you want a  https://t.co/fljCJMRjtQ video lesson on $VMRI $OPTT $GNCA $GBR $NVCN $BSPM $CJJD $TWLO fun already today,en,[],['http://tim.ly/eduvest'],[],0,25,76,[],"['vmri', 'optt', 'gnca', 'gbr', 'nvcn', 'bspm', 'cjjd', 'twlo']",https://twitter.com/timothysykes/status/747811906308628480,False,,0,,,,,,,,[],,,,
746387669849014273,746387669849014273,2016-06-24 22:31:02 IST,2016-06-24,22:31:02,+0530,11247222,timothysykes,Timothy Sykes,," https://t.co/hlKlVeOBRk - Posted a New Video Lesson: #3901, 3902: Reviewing The #Brexit And $BSPM $STAF $GNCA $EMES $ZAIS $ZDGE",en,[],['http://profit.ly/5009Ml'],[],0,2,20,['brexit'],"['bspm', 'staf', 'gnca', 'emes', 'zais', 'zdge']",https://twitter.com/timothysykes/status/746387669849014273,False,,0,,,,,,,,[],,,,
746169734131912705,746169734131912705,2016-06-24 08:05:02 IST,2016-06-24,08:05:02,+0530,11247222,timothysykes,Timothy Sykes,, https://t.co/NNjQ5hnKj9 - Posted a New Watchlist: 11 Hot Stocks To Watch Tomorrow Like $ZAIS And $GNCA,en,[],['http://profit.ly/5009MD'],[],1,1,19,[],"['zais', 'gnca']",https://twitter.com/timothysykes/status/746169734131912705,False,,0,,,,,,,,[],,,,
737784789659451392,737784789659451392,2016-06-01 04:46:15 IST,2016-06-01,04:46:15,+0530,373102216,jasonbondpicks,Jason Bond,,"Screw sell in May &amp; go away, I made +$52,956 in May trading part time $IWM #pennystocks #MGT $GEVO $BOSC $CLF $GNCA  https://t.co/VvOpvZyQnk",en,[],[],['https://pbs.twimg.com/media/Cj0jWwvUoAA0yOA.jpg'],2,2,11,"['pennystocks', 'mgt']","['iwm', 'gevo', 'bosc', 'clf', 'gnca']",https://twitter.com/JasonBondPicks/status/737784789659451392,False,,1,https://pbs.twimg.com/media/Cj0jWwvUoAA0yOA.jpg,,,,,,,[],,,,
715919407470346240,715919407470346240,2016-04-01 20:41:02 IST,2016-04-01,20:41:02,+0530,11247222,timothysykes,Timothy Sykes,," https://t.co/7mfGzw2vkd - Posted a New Video Lesson: #3674, 3675: Reviewing $SKYS $RJETQ $DRWI $GNCA What A Morning!",en,[],['http://profit.ly/5008Ow'],[],2,8,37,[],"['skys', 'rjetq', 'drwi', 'gnca']",https://twitter.com/timothysykes/status/715919407470346240,False,,0,,,,,,,,[],,,,
715735949242552320,715735949242552320,2016-04-01 08:32:02 IST,2016-04-01,08:32:02,+0530,11247222,timothysykes,Timothy Sykes,, https://t.co/4Y3RXL7PuS - Posted a New Watchlist: 11 Hot Stocks To Watch Like $GNCA And $GBSN,en,[],['http://profit.ly/5008OR'],[],2,5,14,[],"['gnca', 'gbsn']",https://twitter.com/timothysykes/status/715735949242552320,False,,0,,,,,,,,[],,,,
715708294548086784,715708294548086784,2016-04-01 06:42:09 IST,2016-04-01,06:42:09,+0530,15971805,investorslive,Nathan Michaud,,$GNCA incredible squeeze into the bell ... and bit of after hours and then bam ... negative…  https://t.co/TCr92JzcBm,en,[],['https://www.instagram.com/p/BDo4UGpm4FA/'],[],2,2,6,[],['gnca'],https://twitter.com/InvestorsLive/status/715708294548086784,False,,0,,,,,,,,[],,,,
715676642975358976,715676642975358976,2016-04-01 04:36:22 IST,2016-04-01,04:36:22,+0530,15971805,investorslive,Nathan Michaud,,"Run to dump was expensive, drink &amp; dinner not that bad anymore $GNCA Was a bit more of a sting at $6.50 though !!  https://t.co/qhXEB8BEwy",en,[],[],['https://pbs.twimg.com/media/Ce6X1MAWwAAfup1.jpg'],4,1,5,[],['gnca'],https://twitter.com/InvestorsLive/status/715676642975358976,False,,1,https://pbs.twimg.com/media/Ce6X1MAWwAAfup1.jpg,,,,,,,[],,,,
715643410225303552,715643410225303552,2016-04-01 02:24:19 IST,2016-04-01,02:24:19,+0530,15971805,investorslive,Nathan Michaud,,To answer to your question yesterday @adamfeuerstein I'd be a premium sub one $GNCA tweet a month would do lol,en,"[{'screen_name': 'adamfeuerstein', 'name': 'adam feuerstein', 'id': '102094857'}]",[],[],0,1,5,[],['gnca'],https://twitter.com/InvestorsLive/status/715643410225303552,False,,0,,,,,,,,[],,,,
715641758747652097,715638825998028800,2016-04-01 02:17:45 IST,2016-04-01,02:17:45,+0530,102094857,adamfeuerstein,Adam Feuerstein,,. @Mooshu69 @IraBidermanDDS Why didn’t $GNCA retain placebo arm for 12 months?,en,"[{'screen_name': 'mooshu69', 'name': 'mooshu', 'id': '1520370174'}, {'screen_name': 'irabidermandds', 'name': 'ira biderman dds', 'id': '41096950'}]",[],[],2,1,4,[],['gnca'],https://twitter.com/adamfeuerstein/status/715641758747652097,False,,0,,,,,,,,[],,,,
715641164569952256,715638825998028800,2016-04-01 02:15:24 IST,2016-04-01,02:15:24,+0530,102094857,adamfeuerstein,Adam Feuerstein,,". @Mooshu69 @IraBidermanDDS Open label, uncontrolled data to 12 mos? Who cares? Only valid data are 28-day vs placebo. No difference. $GNCA",en,"[{'screen_name': 'mooshu69', 'name': 'mooshu', 'id': '1520370174'}, {'screen_name': 'irabidermandds', 'name': 'ira biderman dds', 'id': '41096950'}]",[],[],3,3,10,[],['gnca'],https://twitter.com/adamfeuerstein/status/715641164569952256,False,,0,,,,,,,,[],,,,
715639674493132800,715638825998028800,2016-04-01 02:09:28 IST,2016-04-01,02:09:28,+0530,102094857,adamfeuerstein,Adam Feuerstein,,. @IraBidermanDDS The GEN-003 vs placebo lesion reduction data disclosed by $GNCA today (slides 9 &amp; 10) look terrible. No difference.,en,"[{'screen_name': 'irabidermandds', 'name': 'ira biderman dds', 'id': '41096950'}]",[],[],6,7,11,[],['gnca'],https://twitter.com/adamfeuerstein/status/715639674493132800,False,,0,,,,,,,,[],,,,
715628959166308354,715628959166308354,2016-04-01 01:26:54 IST,2016-04-01,01:26:54,+0530,15971805,investorslive,Nathan Michaud,,$GNCA be nice if it does an $AEZS style squeeze for us tomorrow,en,[],[],[],1,0,5,[],"['gnca', 'aezs']",https://twitter.com/InvestorsLive/status/715628959166308354,False,,0,,,,,,,,[],,,,
715625899585114114,715625899585114114,2016-04-01 01:14:44 IST,2016-04-01,01:14:44,+0530,15971805,investorslive,Nathan Michaud,,"Man we have a lot to trade tomorrow !! $GBSN ramping into the close ...  $GNCA etc going to be fun, $LEU near r/g",en,[],[],[],1,0,5,[],"['gbsn', 'gnca', 'leu']",https://twitter.com/InvestorsLive/status/715625899585114114,False,,0,,,,,,,,[],,,,
