id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1199669328418934785,1199669328418934785,2019-11-27 18:10:31 IST,2019-11-27,18:10:31,+0530,20402945,cnbc,CNBC,,"These five stocks are well below their average price targets, but two could catch up $GM $UAA $UAL $HAL $PYPL (via @TradingNation)  https://t.co/ObIkrSi28p",en,"[{'screen_name': 'tradingnation', 'name': 'trading nation', 'id': '1278852289'}]",['https://cnb.cx/2XS3g3X'],[],1,9,10,[],"['gm', 'uaa', 'ual', 'hal', 'pypl']",https://twitter.com/CNBC/status/1199669328418934785,False,,0,,,,,,,,[],,,,
1187095016558215169,1187095016558215169,2019-10-24 01:24:41 IST,2019-10-24,01:24:41,+0530,20707966,lizclaman,Liz Claman,,"BREAKING: @realDonaldTrump speaking on the shale revolution right now, we're live, tune in NOW @FoxBusiness  Shale stocks $HAL $CJ $SLCA $BKR moving higher",en,"[{'screen_name': 'realdonaldtrump', 'name': 'donald j. trump', 'id': '25073877'}, {'screen_name': 'foxbusiness', 'name': 'fox business', 'id': '56413858'}]",[],[],0,0,17,[],"['hal', 'cj', 'slca', 'bkr']",https://twitter.com/LizClaman/status/1187095016558215169,False,,0,,,,,,,,[],,,,
1186484666079076352,1186484082500349952,2019-10-22 08:59:22 IST,2019-10-22,08:59:22,+0530,775175696645623808,anasalhajji,Anas Alhajji,,That quote above is from $SLB CEO Olivier Le Peuch during the 3ed Q earnings call.  Notice that both $HAL and $SLB expect larger than usual decline in activities in shale in the fourth quarter,en,[],[],[],1,0,9,[],"['slb', 'hal', 'slb']",https://twitter.com/anasalhajji/status/1186484666079076352,False,,0,,,,,,,,[],,,,
1186475597813424134,1186470453470285826,2019-10-22 08:23:20 IST,2019-10-22,08:23:20,+0530,775175696645623808,anasalhajji,Anas Alhajji,,Grim outlook for shale activities and growth in fourth quarter: $HAL   #shale  https://t.co/RXywqzpkZh,en,[],[],['https://pbs.twimg.com/media/EHc1Q6sWwAEo7WI.png'],2,3,9,['shale'],['hal'],https://twitter.com/anasalhajji/status/1186475597813424134,False,,1,https://pbs.twimg.com/media/EHc1Q6sWwAEo7WI.png,,,,,,,[],,,,
1186470453470285826,1186470453470285826,2019-10-22 08:02:54 IST,2019-10-22,08:02:54,+0530,775175696645623808,anasalhajji,Anas Alhajji,,"From Haliburton third quarter conference call: $HAL  ""Our Completion and Production division revenue declined 8% sequentially, driven by lower completions activity in North America land.""  Jeff Miller, Chairman, President and CEO  https://t.co/CFAYlfj3fM",en,[],[],['https://pbs.twimg.com/media/EHcwlcuWkAIqNUo.png'],2,8,20,[],['hal'],https://twitter.com/anasalhajji/status/1186470453470285826,False,,1,https://pbs.twimg.com/media/EHcwlcuWkAIqNUo.png,,,,,,,[],,,,
1186351915807969282,1186351915807969282,2019-10-22 00:11:52 IST,2019-10-22,00:11:52,+0530,188829085,liamdenning,Liam Denning,,Halliburton's guidance suggests completions will plunge this quarter even more than a year ago:   https://t.co/FmCUnSt7H1 via @bopinion $HAL #OOTT  https://t.co/za2bMcbGOR,en,"[{'screen_name': 'bopinion', 'name': 'bloomberg opinion', 'id': '227682918'}]",['https://www.bloomberg.com/opinion/articles/2019-10-21/halliburton-3q-earnings-a-script-for-oil-frackers'],['https://pbs.twimg.com/media/EHbEuLIX0Ag3AGw.png'],3,6,12,['oott'],['hal'],https://twitter.com/liamdenning/status/1186351915807969282,False,,1,https://pbs.twimg.com/media/EHbEuLIX0Ag3AGw.png,,,,,,,[],,,,
1186324762483658756,1186324762483658756,2019-10-21 22:23:58 IST,2019-10-21,22:23:58,+0530,15281391,thestreet,TheStreet,,"For the latest on #StockoftheDay $HAL, head to @RealMoney:  https://t.co/QDCwqIRRuV  https://t.co/5WHHcMIEoa",en,"[{'screen_name': 'realmoney', 'name': 'real money', 'id': '390812646'}]",['https://buff.ly/2MyCXf9'],[],0,1,9,['stockoftheday'],['hal'],https://twitter.com/TheStreet/status/1186324762483658756,False,,1,https://pbs.twimg.com/amplify_video_thumb/1186323659608199169/img/HBpGGpo_w5xe2lcb.jpg,,,,,,,[],,,,
1186309153180082176,1186309153180082176,2019-10-21 21:21:57 IST,2019-10-21,21:21:57,+0530,14886375,stocktwits,Stocktwits,,$HAL is up nearly 8% after their ER this AM. Here are the details:   https://t.co/JbRtUxp0LF  https://t.co/bQvU7XAZ9R,en,[],['https://stocktwits.com/DisruptiveTechnology/message/180914106'],['https://pbs.twimg.com/media/EHad4rFXUAElXVP.png'],0,2,4,[],['hal'],https://twitter.com/Stocktwits/status/1186309153180082176,False,,1,https://pbs.twimg.com/media/EHad4rFXUAElXVP.png,,,,,,,[],,,,
1186254936570564617,1186254936570564617,2019-10-21 17:46:31 IST,2019-10-21,17:46:31,+0530,15281391,thestreet,TheStreet,,.@BruceKamich digs into $HAL   https://t.co/20cEaOXSaj,en,"[{'screen_name': 'brucekamich', 'name': 'bruce kamich, cmt', 'id': '1410125744'}]",['https://buff.ly/2N5tIT0'],[],2,4,10,[],['hal'],https://twitter.com/TheStreet/status/1186254936570564617,False,,0,,,,,,,,[],,,,
1173630276842512384,1173630276842512384,2019-09-16 21:40:37 IST,2019-09-16,21:40:37,+0530,14115408,jonnajarian,Jon Najarian,,5:30am🚗🔥on way to ORD✈️Now ⏱️60 Seconds from ☕️coffee room with @petenajarian #OIL $OXY $HAL $PTEN $WLL $NOC $LMT #Airlines see you on @HalftimeReport  https://t.co/xfOIigOKwt,en,"[{'screen_name': 'petenajarian', 'name': 'pete najarian', 'id': '14292717'}, {'screen_name': 'halftimereport', 'name': 'cnbc halftime report', 'id': '234905402'}]",[],[],2,1,20,"['oil', 'airlines']","['oxy', 'hal', 'pten', 'wll', 'noc', 'lmt']",https://twitter.com/jonnajarian/status/1173630276842512384,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1173630181954768903/pu/img/-5mya4cgIkn9XtzK.jpg,,,,,,,[],,,,
1153357888691171328,1153357888691171328,2019-07-22 23:05:23 IST,2019-07-22,23:05:23,+0530,19546277,yahoofinance,Yahoo Finance,,Highlight: @ScottGamm at the NYSE is looking at $APPL and $HAL today:  https://t.co/1CdCKP6M4q,en,"[{'screen_name': 'scottgamm', 'name': 'scott gamm', 'id': '120664039'}]",[],[],0,2,5,[],"['appl', 'hal']",https://twitter.com/YahooFinance/status/1153357888691171328,False,,1,https://pbs.twimg.com/media/EAGM4RwU0AIxRtH.jpg,,,,,,,[],,,,
