id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1155540171229728769,1155540171229728769,2019-07-28 23:37:00 IST,2019-07-28,23:37:00,+0530,274233761,bradloncar,Brad Loncar,,Big week of earnings ahead.  M: $ILMN $NBIX $SNY T: $AMGN $GILD $INCY $MRK $PFE W: $ACAD $AMRN $EXEL $VRTX T: $BPMC $CLVS $IOVA $VKTX F: $IMGN  Full list here:  https://t.co/rkVR6KO4b7  https://t.co/fM7N4kAQLg,en,[],['https://www.loncarblog.com/july-29-earnings'],['https://pbs.twimg.com/media/EAgoy8DUYAAqfOB.jpg'],0,18,40,[],"['ilmn', 'nbix', 'sny', 'amgn', 'gild', 'incy', 'mrk', 'pfe', 'acad', 'amrn', 'exel', 'vrtx', 'bpmc', 'clvs', 'iova', 'vktx', 'imgn']",https://twitter.com/bradloncar/status/1155540171229728769,False,,1,https://pbs.twimg.com/media/EAgoy8DUYAAqfOB.jpg,,,,,,,[],,,,
1122547272485441536,1122547272485441536,2019-04-28 22:35:00 IST,2019-04-28,22:35:00,+0530,274233761,bradloncar,Brad Loncar,,Another big week of earnings coming up. Dan O'Day should be interesting on Thursday!  M: $MREO $NBIX T: $AMGN $EXAS $INCY $MRK W: $ACAD $AMRN $GSK T: $GILD $PTCT $SAGE $VKTX F: $IMGN $NVO  The full list:  https://t.co/5Rac7Jb1QT  https://t.co/03piSJRLn0,en,[],['https://www.loncarblog.com/april-29-earnings'],['https://pbs.twimg.com/media/D5NySktW4AUh5Yz.jpg'],1,12,36,[],"['mreo', 'nbix', 'amgn', 'exas', 'incy', 'mrk', 'acad', 'amrn', 'gsk', 'gild', 'ptct', 'sage', 'vktx', 'imgn', 'nvo']",https://twitter.com/bradloncar/status/1122547272485441536,False,,1,https://pbs.twimg.com/media/D5NySktW4AUh5Yz.jpg,,,,,,,[],,,,
1101458539376185344,1101445644210835456,2019-03-01 17:55:54 IST,2019-03-01,17:55:54,+0530,873399943,jacobplieth,Jacob Plieth,,...not to mention the previous lesson of $ECYT as to the suitability of the folate receptor as a target  https://t.co/gOr8Zn6JHJ $IMGN,en,[],['http://bit.ly/2GSPV64'],[],1,1,5,[],"['ecyt', 'imgn']",https://twitter.com/JacobPlieth/status/1101458539376185344,False,,0,,,,,,,,[],,,,
1101445644210835456,1101445644210835456,2019-03-01 17:04:40 IST,2019-03-01,17:04:40,+0530,873399943,jacobplieth,Jacob Plieth,,"Lots of lessons here: early signs of waning responses, trial design modifications, oh and the stock fell 20% two days ago... $IMGN",en,[],[],[],5,3,19,[],['imgn'],https://twitter.com/JacobPlieth/status/1101445644210835456,False,https://twitter.com/odibro/status/1101444698630225931,0,,,,,,,,[],,,,
1092135633693433857,1092135633693433857,2019-02-04 00:30:00 IST,2019-02-04,00:30:00,+0530,274233761,bradloncar,Brad Loncar,,Healthcare earnings ahead this week:  M: $ALXN $GILD T: $MYGN $VRTX W: $GSK $LLY $REGN T: $ALNY $SNY $SGEN F: $IMGN  The full schedule:  https://t.co/zhtjtiRI6c  https://t.co/o04yjKJZHS,en,[],['https://www.loncarblog.com/february-4-earnings'],['https://pbs.twimg.com/media/Dya57xfX0AoKZeB.jpg'],2,4,15,[],"['alxn', 'gild', 'mygn', 'vrtx', 'gsk', 'lly', 'regn', 'alny', 'sny', 'sgen', 'imgn']",https://twitter.com/bradloncar/status/1092135633693433857,False,,1,https://pbs.twimg.com/media/Dya57xfX0AoKZeB.jpg,,,,,,,[],,,,
1069449549964554242,1069449549964554242,2018-12-03 10:03:36 IST,2018-12-03,10:03:36,+0530,873399943,jacobplieth,Jacob Plieth,,#ASH18 stocks to watch when markets open tomorrow $GBT $BLUE $IMGN $ONCE $AUTL $REGN $XLRN $BLCM $MGTA $KPTI $JAZZ $FATE $BPMC $AFMD $BMRN,en,[],[],[],4,10,25,['ash18'],"['gbt', 'blue', 'imgn', 'once', 'autl', 'regn', 'xlrn', 'blcm', 'mgta', 'kpti', 'jazz', 'fate', 'bpmc', 'afmd', 'bmrn']",https://twitter.com/JacobPlieth/status/1069449549964554242,False,,0,,,,,,,,[],,,,
1068940400629436416,1068940400629436416,2018-12-02 00:20:26 IST,2018-12-02,00:20:26,+0530,873399943,jacobplieth,Jacob Plieth,,Can $IMGN attract $JAZZ ? #ASH18 hears its case. Via @Vantageanalysis  https://t.co/829GJsPYQX,en,"[{'screen_name': 'vantageanalysis', 'name': 'evaluate vantage', 'id': '3033767986'}]",['http://bit.ly/2QtBj15'],[],0,5,7,['ash18'],"['imgn', 'jazz']",https://twitter.com/JacobPlieth/status/1068940400629436416,False,,0,,,,,,,,[],,,,
998943705779392512,998943705779392512,2018-05-22 20:38:33 IST,2018-05-22,20:38:33,+0530,873399943,jacobplieth,Jacob Plieth,,"For lovers of ADC technologies: what to expect at #ASCO18 from $IMMU, $SGEN, $AZN, $PFE, $IMGN &amp; others. Via @EPVantage  https://t.co/c9sUJCdZKS",en,"[{'screen_name': 'epvantage', 'name': 'vantage', 'id': '841963175729856512'}]",['http://bit.ly/2IBezZX'],[],3,16,27,['asco18'],"['immu', 'sgen', 'azn', 'pfe', 'imgn']",https://twitter.com/JacobPlieth/status/998943705779392512,False,,0,,,,,,,,[],,,,
960226450027638784,960226450027638784,2018-02-05 00:30:00 IST,2018-02-05,00:30:00,+0530,274233761,bradloncar,Brad Loncar,,Another big week of earnings ahead:  M: $BMY $GWPH T: $AGN $GILD $SGEN W: $GSK $SNY T: $ALXN $ALNY $REGN F: $ARWR $IMGN  The full schedule:  https://t.co/jO962XXs2q  https://t.co/LrPkuTiIuu,en,[],['http://www.loncarblog.com/february-5-earnings'],['https://pbs.twimg.com/media/DVFt9CwVMAEWLfw.jpg'],2,16,34,[],"['bmy', 'gwph', 'agn', 'gild', 'sgen', 'gsk', 'sny', 'alxn', 'alny', 'regn', 'arwr', 'imgn']",https://twitter.com/bradloncar/status/960226450027638784,False,,1,https://pbs.twimg.com/media/DVFt9CwVMAEWLfw.jpg,,,,,,,[],,,,
903190383601086464,903190383601086464,2017-08-31 15:09:02 IST,2017-08-31,15:09:02,+0530,11247222,timothysykes,Timothy Sykes,, https://t.co/2tfTzznEsf - Posted a New Watchlist: 10 Hot Stocks To Watch Like $MGTI And $IMGN,en,[],['https://profit.ly/500Fxo'],[],0,2,20,[],"['mgti', 'imgn']",https://twitter.com/timothysykes/status/903190383601086464,False,,0,,,,,,,,[],,,,
