id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
995806567953035266,995806567953035266,2018-05-14 04:52:41 IST,2018-05-14,04:52:41,+0530,21328656,ibdinvestors,Investors.com,,Trump China Tweets Lift Futures; Keep An Eye On These Tech Stocks  https://t.co/kCLhS0yfnY $LITE $CIEN $FNSR $ACIA $OCLR  https://t.co/s5eBpn5UKS,en,[],['http://ow.ly/wjWV30jYDZd'],['https://pbs.twimg.com/media/DdHQy7bVwAIUJjT.jpg'],0,15,23,[],"['lite', 'cien', 'fnsr', 'acia', 'oclr']",https://twitter.com/IBDinvestors/status/995806567953035266,False,,1,https://pbs.twimg.com/media/DdHQy7bVwAIUJjT.jpg,,,,,,,[],,,,
973175090329407491,973175090329407491,2018-03-12 18:03:16 IST,2018-03-12,18:03:16,+0530,15971805,investorslive,Nathan Michaud,,$LITE $OCLR cash/stock deal so should be a trade --- nice range already on $LITE,en,[],[],[],0,1,6,[],"['lite', 'oclr', 'lite']",https://twitter.com/InvestorsLive/status/973175090329407491,False,,0,,,,,,,,[],,,,
892793897868558338,892793897868558338,2017-08-02 22:37:07 IST,2017-08-02,22:37:07,+0530,14886375,stocktwits,Stocktwits,,Yo it's about to get hyphy. Earnings TODAY at 4 PM ET  $TSLA ❗️ $SQ $DDD $ATVI $FIT $ZNGA $CRUS $TTWO $OCLR $MRO   https://t.co/BFIB5ETkro,en,[],['https://stocktwits.com/eWhispers/message/90666601'],[],1,28,21,[],"['tsla', 'sq', 'ddd', 'atvi', 'fit', 'znga', 'crus', 'ttwo', 'oclr', 'mro']",https://twitter.com/Stocktwits/status/892793897868558338,False,,0,,,,,,,,[],,,,
885482424003592192,885482424003592192,2017-07-13 18:23:56 IST,2017-07-13,18:23:56,+0530,19400611,cvpayne,Charles V Payne,,"Thanks Paul: I'll add more before the market opens.  Looking at compelling action, earnings reactions and news. Right now: $YNDX $TGT $OCLR  https://t.co/VxqnLScBtt",en,[],['https://twitter.com/paul_L_obrien/status/885481196171530240'],[],4,21,84,[],"['yndx', 'tgt', 'oclr']",https://twitter.com/cvpayne/status/885482424003592192,False,0,0,,,,,,,,[],,,,
776752573177028608,776752573177028608,2016-09-16 17:30:19 IST,2016-09-16,17:30:19,+0530,21328656,ibdinvestors,Investors.com,,U.S. Optical Firms Dominate Supercycle As Chinese Competition Lags  https://t.co/UROuIMZw3l $ACIA $LITE $FNSR $OCLR  https://t.co/BNbOeQTU6e,en,[],['http://ow.ly/3a6t304gYBQ'],['https://pbs.twimg.com/media/CseUWQ_WYAE7BIT.jpg'],0,4,5,[],"['acia', 'lite', 'fnsr', 'oclr']",https://twitter.com/IBDinvestors/status/776752573177028608,False,,1,https://pbs.twimg.com/media/CseUWQ_WYAE7BIT.jpg,,,,,,,[],,,,
770357457155678209,770357457155678209,2016-08-30 01:58:24 IST,2016-08-30,01:58:24,+0530,21328656,ibdinvestors,Investors.com,,Fiber-Optic Stocks Continue To Rally; Ciena Earnings Loom  https://t.co/kqbuBgHaUS $ACIA $LITE $CIEN $VZ $OCLR  https://t.co/WMDJImhLLQ,en,[],['http://ow.ly/qfqJ303HaCL'],['https://pbs.twimg.com/media/CrDcBXDWgAAWlET.jpg'],1,10,8,[],"['acia', 'lite', 'cien', 'vz', 'oclr']",https://twitter.com/IBDinvestors/status/770357457155678209,False,,1,https://pbs.twimg.com/media/CrDcBXDWgAAWlET.jpg,,,,,,,[],,,,
696034637223632897,696034637223632897,2016-02-06 23:46:03 IST,2016-02-06,23:46:03,+0530,20449296,barronsonline,Barron's,,Storm clouds in the tech sector  https://t.co/tGR47dphqR @BarronsTech $LNKD $CRM $WDAY $OCLR $LITE $VIAV $AMZN $MSFT  https://t.co/Nps5DU7mil,en,"[{'screen_name': 'barronstech', 'name': ""barron's"", 'id': '101504911'}]",['http://bit.ly/1VYAvtS'],['https://pbs.twimg.com/media/CaifjM7WwAAnIJi.jpg'],0,6,6,[],"['lnkd', 'crm', 'wday', 'oclr', 'lite', 'viav', 'amzn', 'msft']",https://twitter.com/barronsonline/status/696034637223632897,False,,1,https://pbs.twimg.com/media/CaifjM7WwAAnIJi.jpg,,,,,,,[],,,,
695271602477408257,695271602477408257,2016-02-04 21:14:02 IST,2016-02-04,21:14:02,+0530,11247222,timothysykes,Timothy Sykes,,Great #PennyStock volatility now on $VHC $GLUU $CLOW $NETE $GBSN $ASTI $BOOT $TMST $OCLR $TRXC $AVXL $XLIT $PGSY $VLTC I'm grateful for it!,en,[],[],[],6,30,95,['pennystock'],"['vhc', 'gluu', 'clow', 'nete', 'gbsn', 'asti', 'boot', 'tmst', 'oclr', 'trxc', 'avxl', 'xlit', 'pgsy', 'vltc']",https://twitter.com/timothysykes/status/695271602477408257,False,,0,,,,,,,,[],,,,
694968648532774912,694968648532774912,2016-02-04 01:10:12 IST,2016-02-04,01:10:12,+0530,11247222,timothysykes,Timothy Sykes,,Retweet/favorite this if you want a followup to  https://t.co/HSJ040Ouek on how to trade like a sniper on $MGT $AVXL $VLTC $BOOT $OCLR $GOVX,en,[],['http://tim.ly/answerstock10'],[],5,39,94,[],"['mgt', 'avxl', 'vltc', 'boot', 'oclr', 'govx']",https://twitter.com/timothysykes/status/694968648532774912,False,,0,,,,,,,,[],,,,
694724498394775553,694724498394775553,2016-02-03 09:00:02 IST,2016-02-03,09:00:02,+0530,11247222,timothysykes,Timothy Sykes,, https://t.co/XBN1vPfsst - Posted a New Watchlist: 12 Hot Stocks To Watch Tomorrow Like $AVXL And $OCLR,en,[],['http://profit.ly/5007b3'],[],2,6,21,[],"['avxl', 'oclr']",https://twitter.com/timothysykes/status/694724498394775553,False,,0,,,,,,,,[],,,,
