id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1212120819897376768,1212120819897376768,2020-01-01 02:48:18 IST,2020-01-01,02:48:18,+0530,1413027896,charliebilello,Charlie Bilello,,2019 Total Returns... Bitcoin: +90% Nasdaq 100 $QQQ: +39% Oil $USO: +33% S&amp;P 500 $SPY: +31% REITs $VNQ: +29% Small Caps $IWM: +25% EAFE $EFA: +22% EM $EEM: +18% Gold $GLD: +18% Investment Grade $LQD: +17% High Yield $HYG: +14% US Bonds $AGG: +8% US Dollar $UUP: +4% Cash $BIL: +2%,en,[],[],[],26,545,1213,[],"['qqq', 'uso', 'spy', 'vnq', 'iwm', 'efa', 'eem', 'gld', 'lqd', 'hyg', 'agg', 'uup', 'bil']",https://twitter.com/charliebilello/status/1212120819897376768,False,,0,,,,,,,,[],,,,
1211682342374273024,1211682342374273024,2019-12-30 21:45:57 IST,2019-12-30,21:45:57,+0530,15246621,alphatrends,"Brian Shannon, CMT",,"$SPY and $QQQ finding buyers at VWAP from 12/16 gap, also happens to be close to daily S3 and 10 DMA for both  https://t.co/lnMuAP3xn5",en,[],[],['https://pbs.twimg.com/media/ENDCquiU8AAE2ts.jpg'],1,7,37,[],"['spy', 'qqq']",https://twitter.com/alphatrends/status/1211682342374273024,False,,1,https://pbs.twimg.com/media/ENDCquiU8AAE2ts.jpg,,,,,,,[],,,,
1211659010933313537,1211659010933313537,2019-12-30 20:13:14 IST,2019-12-30,20:13:14,+0530,21328656,ibdinvestors,Investors.com,,"STOCKS NOW:  - Dow down 0.3%  - Nasdaq down 0.5%  - S&amp;P down 0.2%  ""I wouldn't add to my hedge against $QQQ unless we get a close below the 10-day or 21-day EMA,"" says @IBD_CGessel   #IBDLive",en,"[{'screen_name': 'ibd_cgessel', 'name': 'chris gessel', 'id': '1544385433'}]",[],[],0,3,6,['ibdlive'],['qqq'],https://twitter.com/IBDinvestors/status/1211659010933313537,False,,0,,,,,,,,[],,,,
1211657899740667906,1211657899740667906,2019-12-30 20:08:49 IST,2019-12-30,20:08:49,+0530,988955288,investingcom,Investing.com,,📈📈 Monday Morning's #Top10 Most Actively-Traded Stocks 📉📉     1. $NIO  2. $AMD  3. $AAPL   4. $TSLA  5. $MSFT  6. $ROKU 7. $BABA 8. $DIS 9. $FB 10. $AMZN  See the rest of today's trending stocks here:  https://t.co/ulWhJgJZgh  $DIA $SPY $QQQ  https://t.co/vUbosLzpdB,en,[],['https://www.investing.com/equities/united-states'],['https://pbs.twimg.com/media/ENCsbm8W4AAa8L-.png'],0,9,14,['top10'],"['nio', 'amd', 'aapl', 'tsla', 'msft', 'roku', 'baba', 'dis', 'fb', 'amzn', 'dia', 'spy', 'qqq']",https://twitter.com/Investingcom/status/1211657899740667906,False,,1,https://pbs.twimg.com/media/ENCsbm8W4AAa8L-.png,,,,,,,[],,,,
1211306294977683457,1211306294977683457,2019-12-29 20:51:40 IST,2019-12-29,20:51:40,+0530,7517052,howardlindzon,SPAC Lindzon,,Nasdaq 20k .... why not  https://t.co/J1S81eM8Xv   Fresh on my blog   $qqq $aapl,en,[],['https://howardlindzon.com/nasdaq-9000/'],[],1,2,11,[],"['qqq', 'aapl']",https://twitter.com/howardlindzon/status/1211306294977683457,False,,0,,,,,,,,[],,,,
1211273803474591750,1211273803474591750,2019-12-29 18:42:33 IST,2019-12-29,18:42:33,+0530,988955288,investingcom,Investing.com,,"#AnotherWeekAnotherShekel  Our Senior Analyst @JesseCohenInv gives us his #5Things to watch in the markets this week, including:  - New Year's Break - Fed Minutes - U.S. ISM Manufacturing Data - U.S. Consumer Confidence - China Manufacturing PMI  $DIA $SPY $SPX $ES_F $QQQ $NQ_F  https://t.co/DNpCkYZBoT",en,"[{'screen_name': 'jessecoheninv', 'name': 'jesse cohen', 'id': '19534637'}]",[],[],1,12,33,"['anotherweekanothershekel', '5things']","['dia', 'spy', 'spx', 'es_f', 'qqq', 'nq_f']",https://twitter.com/Investingcom/status/1211273803474591750,False,,1,https://pbs.twimg.com/media/EM9Ow5TXsAEF4Sp.jpg,,,,,,,[],,,,
1210699873407979523,1210699873407979523,2019-12-28 04:41:58 IST,2019-12-28,04:41:58,+0530,1413027896,charliebilello,Charlie Bilello,,2019 Returns... Bitcoin: +91% Nasdaq 100 $QQQ: +40% Oil $USO: +34% S&amp;P 500 $SPY: +32% REITs $VNQ: +28% Small Caps $IWM: +26% EAFE $EFA: +22% EM $EEM: +19% Investment Grade $LQD: +18% Gold $GLD: +17% High Yield $HYG: +14% US Bonds $AGG: +9% US Dollar $UUP: +5% Cash $BIL: +2%,en,[],[],[],43,538,1411,[],"['qqq', 'uso', 'spy', 'vnq', 'iwm', 'efa', 'eem', 'lqd', 'gld', 'hyg', 'agg', 'uup', 'bil']",https://twitter.com/charliebilello/status/1210699873407979523,False,,0,,,,,,,,[],,,,
1210672580765446144,1210672580765446144,2019-12-28 02:53:31 IST,2019-12-28,02:53:31,+0530,15246621,alphatrends,"Brian Shannon, CMT",,✍ VIDEO  https://t.co/R6eQnnEjck Stock Market Analysis 12/27/19 $SPY $QQQ $IWM $SMH $IBB $GLD,en,[],['http://bit.ly/39jR4hZ'],[],0,0,8,[],"['spy', 'qqq', 'iwm', 'smh', 'ibb', 'gld']",https://twitter.com/alphatrends/status/1210672580765446144,False,,0,,,,,,,,[],,,,
1210554097348333568,1210554097348333568,2019-12-27 19:02:42 IST,2019-12-27,19:02:42,+0530,14886375,stocktwits,Stocktwits,,Stocktwits Trending Tickers BMO 12/27/19    $AMZN Holiday sales rose 3.4%.  $TSLA To begin deliveries of China-made Model 3s on Dec. 30th.  $QQQ New all-time high.  $AAPL New all-time high.  $MSFT New all-time high.    et al.   https://t.co/doH8lVK1qM,en,[],['https://stocktwits.com/stream/trending'],[],0,16,25,[],"['amzn', 'tsla', 'qqq', 'aapl', 'msft']",https://twitter.com/Stocktwits/status/1210554097348333568,False,,0,,,,,,,,[],,,,
1210378221214146560,1210378221214146560,2019-12-27 07:23:50 IST,2019-12-27,07:23:50,+0530,455824771,reddogt3,Scott Redler,,BTW- this is VERY educational.  Watch the video $spx $spy $qqq,en,[],[],[],1,1,29,[],"['spx', 'spy', 'qqq']",https://twitter.com/RedDogT3/status/1210378221214146560,False,https://twitter.com/RedDogT3/status/1210377044653170689,0,,,,,,,,[],,,,
1210210365323264002,1210210365323264002,2019-12-26 20:16:50 IST,2019-12-26,20:16:50,+0530,988955288,investingcom,Investing.com,,📈📈 Thursday Morning's #Top10 Most Actively-Traded Stocks 📉📉    1. $AMD 2. $ROKU 3. $AAPL  4. $TSLA 5. $MSFT 6. $FB 7. $BA 8. $NVDA 9. $AMZN 10. $SHOP  See the rest of today's trending stocks here:  https://t.co/ulWhJgJZgh  $DIA $SPY $QQQ  https://t.co/2946EiYMFW,en,[],['https://www.investing.com/equities/united-states'],['https://pbs.twimg.com/media/EMuH4ZrXkAEHUfO.png'],0,19,36,['top10'],"['amd', 'roku', 'aapl', 'tsla', 'msft', 'fb', 'ba', 'nvda', 'amzn', 'shop', 'dia', 'spy', 'qqq']",https://twitter.com/Investingcom/status/1210210365323264002,False,,1,https://pbs.twimg.com/media/EMuH4ZrXkAEHUfO.png,,,,,,,[],,,,
1210209876112281600,1210209876112281600,2019-12-26 20:14:53 IST,2019-12-26,20:14:53,+0530,988955288,investingcom,Investing.com,,"* Stocks on Wall St. are slightly higher after the open, with the S&amp;P 500 and Nasdaq both inching up to new records as the year-end rally continues.  * $AMZN rose more than 1% after the e-commerce giant said the holiday shopping season broke all prior records.  $DIA $SPY $QQQ  https://t.co/DMGzMqBX47",en,[],[],['https://pbs.twimg.com/media/EMuG7W3WwAEMZ5B.png'],0,6,8,[],"['amzn', 'dia', 'spy', 'qqq']",https://twitter.com/Investingcom/status/1210209876112281600,False,,1,https://pbs.twimg.com/media/EMuG7W3WwAEMZ5B.png,,,,,,,[],,,,
1209473643450904579,1209473643450904579,2019-12-24 19:29:22 IST,2019-12-24,19:29:22,+0530,988955288,investingcom,Investing.com,,💥It's #TuesdayComic Time 💥  Merry Christmas &amp; Happy Holidays From  https://t.co/HMaYPuSux7!  Read our latest comic here: 👉  https://t.co/Dgij0pYkXm  👈   $DIA $SPY $SPX $ES_F $QQQ $NQ_F $IWM $VIX  #MerryChristmas #ChristmasEve #Christmas  https://t.co/zwicNdUCNS,en,[],"['http://Investing.com', 'https://invst.ly/p7ycf']",['https://pbs.twimg.com/media/EMjpbLHWkAEp51S.jpg'],0,10,24,"['tuesdaycomic', 'merrychristmas', 'christmaseve', 'christmas']","['dia', 'spy', 'spx', 'es_f', 'qqq', 'nq_f', 'iwm', 'vix']",https://twitter.com/Investingcom/status/1209473643450904579,False,,1,https://pbs.twimg.com/media/EMjpbLHWkAEp51S.jpg,,,,,,,[],,,,
