id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1212024150774222849,1212024149335523334,2019-12-31 20:24:10 IST,2019-12-31,20:24:10,+0530,102094857,adamfeuerstein,Adam Feuerstein,,"5. $SRPT -icons: “It’s true, we’re in it for the money.”  6. FDA scandal: @SteveFDA hacks @ScottGottliebMD, deletes all tweets.   7. @BagholderQuotes revealed to be burner account of @JMaraganore   8. @adamfeuerstein finally changes that stupid Twitter avatar",en,"[{'screen_name': 'stevefda', 'name': 'dr. stephen m. hahn', 'id': '2904169317'}, {'screen_name': 'scottgottliebmd', 'name': 'scott gottlieb, md', 'id': '40156330'}, {'screen_name': 'bagholderquotes', 'name': 'bag holder', 'id': '3424441204'}, {'screen_name': 'jmaraganore', 'name': 'john maraganore', 'id': '875447213878423552'}, {'screen_name': 'adamfeuerstein', 'name': 'adam feuerstein', 'id': '102094857'}]",[],[],4,1,38,[],['srpt'],https://twitter.com/adamfeuerstein/status/1212024150774222849,False,,0,,,,,,,,[],,,,
1209522876371611650,1209522876371611650,2019-12-24 22:45:00 IST,2019-12-24,22:45:00,+0530,44060322,benzinga,Benzinga,,10 Biotech M&amp;A Targets Under The Scanner For 2020 $CRSP $ALNY $AMRN $INCY $GBT $QURE $SRPT $RGNX $SLDB  https://t.co/1jKlmUDGaI,en,[],['https://benzinga.com/z/15034200#.XgIE9-9rBWU.twitter'],[],2,5,16,[],"['crsp', 'alny', 'amrn', 'incy', 'gbt', 'qure', 'srpt', 'rgnx', 'sldb']",https://twitter.com/Benzinga/status/1209522876371611650,False,,0,,,,,,,,[],,,,
1209514728751554560,1159549454858563584,2019-12-24 22:12:37 IST,2019-12-24,22:12:37,+0530,873399943,jacobplieth,Jacob Plieth,,THE BOYS THE BOYS!!! $SRPT  https://t.co/HZAoRCzV9H,en,[],[],['https://pbs.twimg.com/media/EMkPOzNX0AE5z22.jpg'],0,0,6,[],['srpt'],https://twitter.com/JacobPlieth/status/1209514728751554560,False,,1,https://pbs.twimg.com/media/EMkPOzNX0AE5z22.jpg,,,,,,,[],,,,
1209443607024951297,1159549454858563584,2019-12-24 17:30:00 IST,2019-12-24,17:30:00,+0530,873399943,jacobplieth,Jacob Plieth,,"Another $SRPT fan showing concern for ""the boys""  https://t.co/fFRGRowpWH",en,[],[],['https://pbs.twimg.com/media/EMitlbHWwAUfOFN.jpg'],3,0,7,[],['srpt'],https://twitter.com/JacobPlieth/status/1209443607024951297,False,,1,https://pbs.twimg.com/media/EMitlbHWwAUfOFN.jpg,,,,,,,[],,,,
1209121197503471616,1209121197503471616,2019-12-23 20:08:52 IST,2019-12-23,20:08:52,+0530,14115408,jonnajarian,Jon Najarian,,⏱️60 Seconds pre market $JD $SRPT $TSLA 🚀 $UBER 🚗 $TJX see you live here around noon more @MarketRebels leave questions if you have them  https://t.co/GW1Jbor3e3,en,"[{'screen_name': 'marketrebels', 'name': 'market rebellion', 'id': '817007725666242561'}]",[],[],2,2,17,[],"['jd', 'srpt', 'tsla', 'uber', 'tjx']",https://twitter.com/jonnajarian/status/1209121197503471616,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1209121038434521088/pu/img/kPZJLxVUQGtFnidf.jpg,,,,,,,[],,,,
1209092869950246912,1209092869950246912,2019-12-23 18:16:18 IST,2019-12-23,18:16:18,+0530,102094857,adamfeuerstein,Adam Feuerstein,,Sarepta sells international rights to Duchenne gene therapy to Roche  https://t.co/h8D7uS6Ad4 $SRPT $RHHBY,en,[],['https://www.statnews.com/2019/12/23/sarepta-sells-international-rights-duchenne-gene-therapy-roche/'],[],2,11,18,[],"['srpt', 'rhhby']",https://twitter.com/adamfeuerstein/status/1209092869950246912,False,,0,,,,,,,,[],,,,
1209041190148083712,1209041190148083712,2019-12-23 14:50:57 IST,2019-12-23,14:50:57,+0530,873399943,jacobplieth,Jacob Plieth,,All the crackpots who argued in favour of $SRPT Exondys approval today look like geniuses. Congratulations $RHHBY !,en,[],[],[],10,1,15,[],"['srpt', 'rhhby']",https://twitter.com/JacobPlieth/status/1209041190148083712,False,,0,,,,,,,,[],,,,
1208991182526799872,1208991182526799872,2019-12-23 11:32:14 IST,2019-12-23,11:32:14,+0530,274233761,bradloncar,Brad Loncar,,Whoa big news. Roche is licensing $SRPT's micro-dystrophin gene Tx for DMD outside of the United States. $750M upfront to Sarepta and a $400M equity stake.  https://t.co/35zCeqyv2q,en,[],['https://www.globenewswire.com/news-release/2019/12/23/1963846/0/en/Roche-enters-licensing-agreement-with-Sarepta-Therapeutics-to-improve-the-lives-of-patients-living-with-Duchenne-muscular-dystrophy.html'],[],5,52,130,[],['srpt'],https://twitter.com/bradloncar/status/1208991182526799872,False,,0,,,,,,,,[],,,,
1207321154182144001,1207321154182144001,2019-12-18 20:56:08 IST,2019-12-18,20:56:08,+0530,102094857,adamfeuerstein,Adam Feuerstein,,"Let’s look back at the top M&amp;A candidates from JP Morgan’s 2019 buyside survey (in order):  $SRPT, $NBIX, $SAGE, $CLVS, $AMRN, $TSRO, $ARGX, $ZGNX, $MDGL, $DVAX  Only one acquired $TSRO",en,[],[],[],5,10,50,[],"['srpt', 'nbix', 'sage', 'clvs', 'amrn', 'tsro', 'argx', 'zgnx', 'mdgl', 'dvax', 'tsro']",https://twitter.com/adamfeuerstein/status/1207321154182144001,False,https://twitter.com/AndyBiotech/status/1207319137128787968,0,,,,,,,,[],,,,
1205474757027733504,1205474757027733504,2019-12-13 18:39:13 IST,2019-12-13,18:39:13,+0530,102094857,adamfeuerstein,Adam Feuerstein,,A $SRPT column in which I discuss “weaponized patient advocacy.” See also: $AMRN    https://t.co/vA42nQ7SqU,en,[],['https://www.statnews.com/2019/12/13/the-good-the-bad-and-the-really-really-ugly-behind-sareptas-drug-approval/'],[],18,6,31,[],"['srpt', 'amrn']",https://twitter.com/adamfeuerstein/status/1205474757027733504,False,,0,,,,,,,,[],,,,
1205473362895609857,1205473362895609857,2019-12-13 18:33:40 IST,2019-12-13,18:33:40,+0530,44438256,matthewherper,Matthew Herper,,"Is the FDA spineless, asks @adamfeuerstein?   ""I’m not sure the FDA has the political will to say no or be the disciplinarian,"" Adam writes on $SRPT. ""That worries me.""    https://t.co/xXSeKxXsbV",en,"[{'screen_name': 'adamfeuerstein', 'name': 'adam feuerstein', 'id': '102094857'}]",['https://www.statnews.com/2019/12/13/the-good-the-bad-and-the-really-really-ugly-behind-sareptas-drug-approval/'],[],3,13,19,[],['srpt'],https://twitter.com/matthewherper/status/1205473362895609857,False,,0,,,,,,,,[],,,,
1205472629991387137,1205472629991387137,2019-12-13 18:30:46 IST,2019-12-13,18:30:46,+0530,102094857,adamfeuerstein,Adam Feuerstein,,"The good, the bad, and the really, really ugly behind $SRPT drug approval  https://t.co/vA42nQ7SqU From me. Includes thoughts on $BIIB aducanumab, too.",en,[],['https://www.statnews.com/2019/12/13/the-good-the-bad-and-the-really-really-ugly-behind-sareptas-drug-approval/'],[],4,14,31,[],"['srpt', 'biib']",https://twitter.com/adamfeuerstein/status/1205472629991387137,False,,0,,,,,,,,[],,,,
1205307181677105152,1205307181677105152,2019-12-13 07:33:20 IST,2019-12-13,07:33:20,+0530,102754598,johncendpts,John Carroll,,"The Sareptamaniacs are having the time of their lives tonight -- and why not, when the FDA seems determined to do their will? Having approved 1 DMD drug without data, why not 2?  $SRPT #goldstandarddontmakemelaugh",en,[],[],[],16,9,24,['goldstandarddontmakemelaugh'],['srpt'],https://twitter.com/JohnCendpts/status/1205307181677105152,False,,0,,,,,,,,[],,,,
