id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1170044522602127366,1170044522602127366,2019-09-07 00:12:07 IST,2019-09-07,00:12:07,+0530,3203314919,cararlombardo,Cara Lombardo,,.@wsj scoop w/ @danacimilluca: Another twist at Symantec as Permira and Advent return with a unique proposal $SYMC $AVGO  https://t.co/kOxG48GvIp,en,"[{'screen_name': 'wsj', 'name': 'the wall street journal', 'id': '3108351'}, {'screen_name': 'danacimilluca', 'name': 'dana cimilluca', 'id': '44470680'}]",['https://www.wsj.com/articles/buyout-firms-permira-advent-seek-to-acquire-symantec-11567794962?emailToken=b379bae423984ba52178a5690d5562e39r20x8n+P0jV3gE+AvUJs1rUZxQel9Svjv//mPJieNT8Rs1w9pT850fk92tRLBEHjZsp8ICdKTY0DwXvjDwQRSefldiqcU9A1sK0/G+H3urMfkIROtvDMFKxEEMATFaG&reflink=article_copyURL_share'],[],1,9,8,[],"['symc', 'avgo']",https://twitter.com/CaraRLombardo/status/1170044522602127366,False,,0,,,,,,,,[],,,,
1159574369829629961,1159574369829629961,2019-08-09 02:47:28 IST,2019-08-09,02:47:28,+0530,872519322077470721,tdanetwork,TD Ameritrade Network,,".@robertherjavec weighs in on the $AVGO, $SYMC deal:  “Two dinosaurs buying another dinosaur before both dinosaurs go out of business."" 🦖",en,"[{'screen_name': 'robertherjavec', 'name': 'robert herjavec', 'id': '39275966'}]",[],[],0,8,16,[],"['avgo', 'symc']",https://twitter.com/TDANetwork/status/1159574369829629961,False,,0,,,,,,,,[],,,,
1159559027161878528,1159559027161878528,2019-08-09 01:46:30 IST,2019-08-09,01:46:30,+0530,872519322077470721,tdanetwork,TD Ameritrade Network,,"#LIVE: @robertherjavec talks cybersecurity, $AVGO, $SYMC, $COF and more with @OJRenick.  https://t.co/17HRrtyyAB",en,"[{'screen_name': 'robertherjavec', 'name': 'robert herjavec', 'id': '39275966'}, {'screen_name': 'ojrenick', 'name': 'oliver renick', 'id': '1580555131'}]",['https://www.pscp.tv/w/cBx6njFsWkVwZ3pyUFBtam58MXlvS01Fd2pPUGRLUahtmhAPK8KYFVu7b2UhgPv1hnrk03U4zTDqpNPbrkwA'],[],0,3,8,['live'],"['avgo', 'symc', 'cof']",https://twitter.com/TDANetwork/status/1159559027161878528,False,,0,,,,,,,,[],,,,
1150778461671362560,1150778461671362560,2019-07-15 20:15:40 IST,2019-07-15,20:15:40,+0530,1979601391,edhammondny,ed hammond,,"Update on Broadcom-Symantec: I'm told deal was inked at $28.25 as recently as this weekend, with the intention to announce on Tuesday. Broadcom found some something in due diligence that meant they cut the price by btw $1.50 - $2.. We are trying to find out what $AVGO $SYMC",en,[],[],[],2,15,23,[],"['avgo', 'symc']",https://twitter.com/EdHammondNY/status/1150778461671362560,False,,0,,,,,,,,[],,,,
1150754899610804224,1150754899610804224,2019-07-15 18:42:02 IST,2019-07-15,18:42:02,+0530,1278852289,tradingnation,Trading Nation,,Symantec shares plunging in the premarket after a report from CNBC’s @DavidFaber that deal negotiations with Broadcom have ceased. $SYMC $AVGO  https://t.co/38AHv9cgxu,en,"[{'screen_name': 'davidfaber', 'name': 'david faber', 'id': '140912249'}]",[],['https://pbs.twimg.com/media/D_hNYz8XsAANrqK.jpg'],1,10,27,[],"['symc', 'avgo']",https://twitter.com/TradingNation/status/1150754899610804224,False,,1,https://pbs.twimg.com/media/D_hNYz8XsAANrqK.jpg,,,,,,,[],,,,
1148241346853036033,1148241346853036033,2019-07-08 20:14:05 IST,2019-07-08,20:14:05,+0530,475309726,tradestation,TradeStation,,Stocks begin July with a bang as fears evaporate! Technology still leading as S&amp;P 500 breaks out to new highs! $SYMC $WYNN $EWZ  https://t.co/pygr8TudwR,en,[],['https://bit.ly/2xCGDEm'],[],13,62,298,[],"['symc', 'wynn', 'ewz']",https://twitter.com/TradeStation/status/1148241346853036033,False,,0,,,,,,,,[],,,,
1147133114269032449,1147133114269032449,2019-07-05 18:50:21 IST,2019-07-05,18:50:21,+0530,44060322,benzinga,Benzinga,,48 Biggest Movers From Wednesday  https://t.co/WLsj4asQQu $OMN $KPTI $SYMC $AVGO $ZIOP $TEUM $TSLA #premarket,en,[],['https://benzinga.com/z/14033073#.XR9OZQFXLxI.twitter'],[],0,3,6,['premarket'],"['omn', 'kpti', 'symc', 'avgo', 'ziop', 'teum', 'tsla']",https://twitter.com/Benzinga/status/1147133114269032449,False,,0,,,,,,,,[],,,,
1146471722553630722,1146471722553630722,2019-07-03 23:02:13 IST,2019-07-03,23:02:13,+0530,106498703,squawkstreet,Squawk on the Street,,#FaberReport: Broadcom in talks to acquire Symantec  @davidfaber @jimcramer @CNBC $AVGO $SYMC  https://t.co/JwId0Cfuyv,en,"[{'screen_name': 'davidfaber', 'name': 'david faber', 'id': '140912249'}, {'screen_name': 'jimcramer', 'name': 'jim cramer', 'id': '14216123'}, {'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}]",[],[],0,6,16,['faberreport'],"['avgo', 'symc']",https://twitter.com/SquawkStreet/status/1146471722553630722,False,,1,https://pbs.twimg.com/media/D-kV9BwXsAAx2tn.jpg,,,,,,,[],,,,
1146455352873050112,1146455352873050112,2019-07-03 21:57:10 IST,2019-07-03,21:57:10,+0530,15281391,thestreet,TheStreet,,.@Sarge986 breaks down why $ZS is more of his cup of tea than #StockoftheDay $SYMC   https://t.co/5srSILFxqL,en,"[{'screen_name': 'sarge986', 'name': 'stephen guilfoyle', 'id': '378334234'}]",['https://buff.ly/2KXNAIM'],[],0,4,13,['stockoftheday'],"['zs', 'symc']",https://twitter.com/TheStreet/status/1146455352873050112,False,,0,,,,,,,,[],,,,
1146409492478910464,1146409492478910464,2019-07-03 18:54:56 IST,2019-07-03,18:54:56,+0530,14216123,jimcramer,Jim Cramer,,Buy $CGC and buy $SYMC? i think so...,en,[],[],[],14,6,40,[],"['cgc', 'symc']",https://twitter.com/jimcramer/status/1146409492478910464,False,https://twitter.com/richardred60/status/1146408610072858624,0,,,,,,,,[],,,,
1146400308161064960,1146400308161064960,2019-07-03 18:18:27 IST,2019-07-03,18:18:27,+0530,1278852289,tradingnation,Trading Nation,,Symantec shares soaring in the premarket after reports that the cybersecurity company is in talks to be acquired by Broadcom $SYMC $AVGO  https://t.co/NIIInm3oEs,en,[],[],['https://pbs.twimg.com/media/D-jU-L1WsAIw0Ff.jpg'],1,14,27,[],"['symc', 'avgo']",https://twitter.com/TradingNation/status/1146400308161064960,False,,1,https://pbs.twimg.com/media/D-jU-L1WsAIw0Ff.jpg,,,,,,,[],,,,
1129058934642364416,1129058934642364416,2019-05-16 21:50:01 IST,2019-05-16,21:50:01,+0530,475309726,tradestation,TradeStation,,"Investors looked past the #tradewar to embrace solid results from Cisco, Walmart and Coty. Symantec wasn’t so lucky. Click for this week’s key earnings. $CSCO $WMT $COTY $SYMC  https://t.co/gDdvmCk0gm",en,[],['https://bit.ly/2vYxjKm'],[],3,3,40,['tradewar'],"['csco', 'wmt', 'coty', 'symc']",https://twitter.com/TradeStation/status/1129058934642364416,False,,0,,,,,,,,[],,,,
1126841439189598208,1126841439189598208,2019-05-10 18:58:29 IST,2019-05-10,18:58:29,+0530,14292717,petenajarian,Pete Najarian,,"UP AFTER EARNINGS:  $VIAB, up 1%...  $JD, up 7%...  $DBX up 6%...  $ZG, up 15%... $CARG, up 7%.  DOWN AFTER EARNINGS:  $NBRV, down 1%...  $TRXC, down 31%...  $SYMC, down 15%...",en,[],[],[],1,1,11,[],"['viab', 'jd', 'dbx', 'zg', 'carg', 'nbrv', 'trxc', 'symc']",https://twitter.com/petenajarian/status/1126841439189598208,False,,0,,,,,,,,[],,,,
1115705868882829312,1115705868882829312,2019-04-10 01:29:42 IST,2019-04-10,01:29:42,+0530,21328656,ibdinvestors,Investors.com,,Where Is The Leadership In The Stock Market Now? $CYBR $ZS $OKTA $SYMC  https://t.co/6YyAZONPGY,en,[],['https://www.pscp.tv/w/b3zxLjFkclFla1dEZU5namJ8MU1uR252UnlXWE1HT-8fvB44A2VM_uisRksT7qWD16Ift2rvZfXaq15rhUkm'],[],1,5,12,[],"['cybr', 'zs', 'okta', 'symc']",https://twitter.com/IBDinvestors/status/1115705868882829312,False,,0,,,,,,,,[],,,,
1115373962417135621,1115373962417135621,2019-04-09 03:30:49 IST,2019-04-09,03:30:49,+0530,326315947,optionsaction,Options Action,,"Software stock Symantec soaring today, and one trader just bet $1.5 million the rally will continue. @Riskreversal breaks it down $SYMC  https://t.co/PI54DmLXz8",en,"[{'screen_name': 'riskreversal', 'name': 'dan nathan', 'id': '271211220'}]",[],[],4,5,37,[],['symc'],https://twitter.com/OptionsAction/status/1115373962417135621,False,,1,https://pbs.twimg.com/media/D3qatGyXoAAaNvS.jpg,,,,,,,[],,,,
1092216372485152768,1092216372485152768,2019-02-04 05:50:50 IST,2019-02-04,05:50:50,+0530,15971805,investorslive,Nathan Michaud,,"[FREE SCAN SUNDAY] Here's my watch list and game plan for tomorrow  https://t.co/jgprkYDqWh  $TMSR $CRON $SYMC $QTT $INFN $ZYNE $QTNT $BLFS $CORT $NIO and more.  If you want to join us in chat tomorrow, we're running a great sale! Check out the deals here  https://t.co/qgkKSUNpbJ  https://t.co/kBZLeNG26y",en,[],"['https://www.investorsunderground.com/free-scan-sunday-stocks-to-watch-for-monday-february-4-2019/', 'https://www.investorsunderground.com/super-savings/']",['https://pbs.twimg.com/media/DyhVAF7WwAEJoZL.jpg'],1,2,8,[],"['tmsr', 'cron', 'symc', 'qtt', 'infn', 'zyne', 'qtnt', 'blfs', 'cort', 'nio']",https://twitter.com/InvestorsLive/status/1092216372485152768,False,,1,https://pbs.twimg.com/media/DyhVAF7WwAEJoZL.jpg,,,,,,,[],,,,
1059920083949117440,1059920083949117440,2018-11-07 02:56:55 IST,2018-11-07,02:56:55,+0530,14292717,petenajarian,Pete Najarian,,$SYMC calls surge sixfold in days  https://t.co/IboTNVZSY1 via investitute,en,[],['http://zpr.io/65U3s'],[],0,1,6,[],['symc'],https://twitter.com/petenajarian/status/1059920083949117440,False,,0,,,,,,,,[],,,,
1059841918354513920,1059841918354513920,2018-11-06 21:46:18 IST,2018-11-06,21:46:18,+0530,26574283,cnbcnow,CNBC Now,,"JUST IN: Thoma Bravo has approved Symantec about a takeover, Reuters reports; $SYMC halted after spiking 13%  https://t.co/B9iKRYwt1L  https://t.co/XY0toeV8ef",en,[],['http://data.cnbc.com/quotes/SYMC'],['https://pbs.twimg.com/media/DrVQfYIX4AAWM2q.jpg'],3,21,24,[],['symc'],https://twitter.com/CNBCnow/status/1059841918354513920,False,,1,https://pbs.twimg.com/media/DrVQfYIX4AAWM2q.jpg,,,,,,,[],,,,
1030116673507020806,1030116673507020806,2018-08-16 21:08:48 IST,2018-08-16,21:08:48,+0530,14115408,jonnajarian,Jon Najarian,,Today's 60 Second video from @investitute $WMT $DDN $SYMC $BA $GSKY $AAPL Weekly calls see you on @HalftimeReport #60SEC  https://t.co/YrMgr2bmRU,en,"[{'screen_name': 'investitute', 'name': 'investitute', 'id': '1295683179412512768'}, {'screen_name': 'halftimereport', 'name': 'cnbc halftime report', 'id': '234905402'}]",[],[],2,7,10,['60sec'],"['wmt', 'ddn', 'symc', 'ba', 'gsky', 'aapl']",https://twitter.com/jonnajarian/status/1030116673507020806,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1030116483114778625/pu/img/4WRCUHg7XWbmH7Hx.jpg,,,,,,,[],,,,
1030075323621277696,1030075323621277696,2018-08-16 18:24:29 IST,2018-08-16,18:24:29,+0530,234905402,halftimereport,CNBC Halftime Report,,"Pre-market movers: • $JCP: greater-than-expected EPS loss, revenue miss, cuts guidance • $CSCO: EPS beat, revenue beat, strong guidance • $SYMC: Starboard Value takes a 5.8% stake - rpt • $WMT: EPS beat, revenue beat, raises guidance • $BA: UBS initiates coverage at ""buy""  https://t.co/EEnHHeLpRj",en,[],[],['https://pbs.twimg.com/media/DkuQCHGW0AAad51.jpg'],0,3,6,[],"['jcp', 'csco', 'symc', 'wmt', 'ba']",https://twitter.com/HalftimeReport/status/1030075323621277696,False,,1,https://pbs.twimg.com/media/DkuQCHGW0AAad51.jpg,,,,,,,[],,,,
1025413292163051520,1025413292163051520,2018-08-03 21:39:14 IST,2018-08-03,21:39:14,+0530,14115408,jonnajarian,Jon Najarian,,Today's 60 Second video from @investitute $SYMC $SQ $NBL $PBR $SHAK $ELY $TSRO Jan 50 calls  @HalftimeReport  https://t.co/SKJ2YMnTuC,en,"[{'screen_name': 'investitute', 'name': 'investitute', 'id': '1295683179412512768'}, {'screen_name': 'halftimereport', 'name': 'cnbc halftime report', 'id': '234905402'}]",[],[],2,7,17,[],"['symc', 'sq', 'nbl', 'pbr', 'shak', 'ely', 'tsro']",https://twitter.com/jonnajarian/status/1025413292163051520,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1025413198353027072/pu/img/ljRbEjzsoJqBbAcb.jpg,,,,,,,[],,,,
995848906448683008,995848906448683008,2018-05-14 07:40:55 IST,2018-05-14,07:40:55,+0530,168679374,muddywatersre,MuddyWatersResearch,,MW’s @Carson_C_Block with a cold read on Symantec $SYMC on his  https://t.co/i5FCesUJgG blog. Interesting PE angle here too.  https://t.co/txrLrUCODk,en,"[{'screen_name': 'carson_c_block', 'name': 'carson c block', 'id': '921794844799918081'}]","['http://Forbes.com', 'https://twitter.com/carson_c_block/status/995843020833538048']",[],4,8,26,[],['symc'],https://twitter.com/muddywatersre/status/995848906448683008,False,https://twitter.com/carson_c_block/status/995843020833538048,0,,,,,,,,[],,,,
