id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1210689095980265475,1210689095980265475,2019-12-28 03:59:08 IST,2019-12-28,03:59:08,+0530,16732770,cnbcfastmoney,CNBC's Fast Money,,Here's what the desk will be buying first thing on Monday. $PYPL $EEM $DIS $TLT  https://t.co/CLmRzceQIt,en,[],[],[],1,5,24,[],"['pypl', 'eem', 'dis', 'tlt']",https://twitter.com/CNBCFastMoney/status/1210689095980265475,False,,1,https://pbs.twimg.com/media/EM07T9WW4AILDhV.jpg,,,,,,,[],,,,
1205890954227585024,1205890954227585024,2019-12-14 22:13:02 IST,2019-12-14,22:13:02,+0530,24227424,harmongreg,Greg Harmon,,Dragonfly Capital - What to expect from the stock market this week  https://t.co/jEZDrQlSLT $SPY $IWM $QQQ $GLD $TLT and special holiday pricing  https://t.co/frbLrWkpjW,en,[],['http://dragonflycap.com/spy-trends-and-influencers-december-14-2019/'],['https://pbs.twimg.com/media/ELwvbm0X0AAVrAb.png'],0,1,8,[],"['spy', 'iwm', 'qqq', 'gld', 'tlt']",https://twitter.com/harmongreg/status/1205890954227585024,False,,1,https://pbs.twimg.com/media/ELwvbm0X0AAVrAb.png,,,,,,,[],,,,
1205516566030405632,1205516566030405632,2019-12-13 21:25:21 IST,2019-12-13,21:25:21,+0530,18378349,keithmccullough,Keith McCullough,,Treasuries $TLT ramp +1% on the day post a 7 month low in US Retail Sales ahead of Christmas,en,[],[],[],3,5,34,[],['tlt'],https://twitter.com/KeithMcCullough/status/1205516566030405632,False,,0,,,,,,,,[],,,,
1201961838080090114,1201961838080090114,2019-12-04 02:00:08 IST,2019-12-04,02:00:08,+0530,714051110,northmantrader,Sven Henrich,,If this ends up playing as a bull flag on $TLT then we got new lows in rates to come yet including perhaps another tag of the upper trend line.  https://t.co/sezHWR0doR,en,[],[],['https://pbs.twimg.com/media/EK4563FXsAIkfJr.png'],3,13,60,[],['tlt'],https://twitter.com/NorthmanTrader/status/1201961838080090114,False,,1,https://pbs.twimg.com/media/EK4563FXsAIkfJr.png,,,,,,,[],,,,
1201511712198975488,1201511712198975488,2019-12-02 20:11:29 IST,2019-12-02,20:11:29,+0530,19988458,dougkass,Dougie Kass,,"Trade of the Week on @realmoney  Its a ""pairs trade"" - Short $TLT, Short $SPY    https://t.co/yJkO8QtjRK  @jimcramer @tomkeene @business @lizclaman @Sarge986 @michaelsantoli @carlquintanilla",en,"[{'screen_name': 'realmoney', 'name': 'real money', 'id': '390812646'}, {'screen_name': 'jimcramer', 'name': 'jim cramer', 'id': '14216123'}, {'screen_name': 'tomkeene', 'name': 'tom keene', 'id': '25709609'}, {'screen_name': 'business', 'name': 'bloomberg', 'id': '34713362'}, {'screen_name': 'lizclaman', 'name': 'liz claman', 'id': '20707966'}, {'screen_name': 'sarge986', 'name': 'stephen guilfoyle', 'id': '378334234'}, {'screen_name': 'michaelsantoli', 'name': 'michael santoli', 'id': '898301664'}, {'screen_name': 'carlquintanilla', 'name': 'carl quintanilla', 'id': '114782468'}]",['https://realmoney.thestreet.com/dougs-daily-diary?published[value][date]=2019-12-02&author=All#what-has-changed-20191202'],[],0,1,12,[],"['tlt', 'spy']",https://twitter.com/DougKass/status/1201511712198975488,False,,0,,,,,,,,[],,,,
1200786665918345217,1200786665918345217,2019-11-30 20:10:25 IST,2019-11-30,20:10:25,+0530,24227424,harmongreg,Greg Harmon,,Dragonfly Capital - What to expect from the stock market this week  https://t.co/OFHc8JOBbU $SPY $IWM $QQQ $GLD $TLT and more  https://t.co/LGNqZ00be4,en,[],['http://dragonflycap.com/spy-trends-and-influencers-november-30-2019/'],['https://pbs.twimg.com/media/EKoNG9-X0AcQ-wp.png'],0,0,7,[],"['spy', 'iwm', 'qqq', 'gld', 'tlt']",https://twitter.com/harmongreg/status/1200786665918345217,False,,1,https://pbs.twimg.com/media/EKoNG9-X0AcQ-wp.png,,,,,,,[],,,,
1199338943600218112,1199338943600218112,2019-11-26 20:17:41 IST,2019-11-26,20:17:41,+0530,18378349,keithmccullough,Keith McCullough,,"Who panicked and sold Treasuries $TLT 2 weeks ago on ""charts""?",en,[],[],[],16,3,45,[],['tlt'],https://twitter.com/KeithMcCullough/status/1199338943600218112,False,,0,,,,,,,,[],,,,
1196828515829735424,1196828515829735424,2019-11-19 22:02:08 IST,2019-11-19,22:02:08,+0530,17213701,johnfcarter,John F. Carter,,"I know $SPX price action looks great and all, but $TLT and $ZB seem like they are trying to tell us something.",en,[],[],[],1,2,20,[],"['spx', 'tlt', 'zb']",https://twitter.com/johnfcarter/status/1196828515829735424,False,,0,,,,,,,,[],,,,
1195475613399867392,1195475613399867392,2019-11-16 04:26:11 IST,2019-11-16,04:26:11,+0530,326315947,optionsaction,Options Action,,.@RiskReversal bet on a bond breakout. Here's how he's trading the Treasury market now. $TLT  https://t.co/8mHbSVjBLX,en,"[{'screen_name': 'riskreversal', 'name': 'dan nathan', 'id': '271211220'}]",[],[],1,11,29,[],['tlt'],https://twitter.com/OptionsAction/status/1195475613399867392,False,,1,https://pbs.twimg.com/media/EJcuu1pWoAYLfXx.jpg,,,,,,,[],,,,
1192938904778936322,1192938904778936322,2019-11-09 04:26:13 IST,2019-11-09,04:26:13,+0530,271211220,riskreversal,Dan Nathan,,"More detail on this $TLT trade idea: 2.20%, 2.21% Whatever it Takes  https://t.co/Ln2OpIKScZ",en,[],['https://riskreversal.com/2019/11/08/2-20-2-21-whatever-it-takes-tlt/'],[],3,5,25,[],['tlt'],https://twitter.com/RiskReversal/status/1192938904778936322,False,https://twitter.com/OptionsAction/status/1192937283055497222,0,,,,,,,,[],,,,
