id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1202516731933208576,1202516731933208576,2019-12-05 14:45:05 IST,2019-12-05,14:45:05,+0530,3291221128,bernalnews,Bernal Institute,,"#BernalResearchDay2019  starts with “Career Development with Industry after PhD”, Industry Leaders will share their experiences &amp; attributes sought by employers at #bostonscientific #Clonmel, Analog Devices@ADI_News  Intel @Intel_IRL, #BecktonDickinson @BDandCo  https://t.co/xf7OI85z7A",en,"[{'screen_name': 'intel_irl', 'name': 'intel ireland', 'id': '126038991'}, {'screen_name': 'bdandco', 'name': 'bd', 'id': '92391733'}]",[],['https://pbs.twimg.com/media/ELAymAIXUAAPY8x.jpg'],0,3,5,"['bernalresearchday2019', 'bostonscientific', 'clonmel', 'becktondickinson']",[],https://twitter.com/BernalNews/status/1202516731933208576,False,,1,https://pbs.twimg.com/media/ELAymAIXUAAPY8x.jpg,,,,,,,[],,,,
1199700938061164545,1199700938061164545,2019-11-27 20:16:07 IST,2019-11-27,20:16:07,+0530,3075438393,iwfglobal,International Women's Forum,,"So excited for one of our own! Fellow alumna Dr. @susiewee has been appointed to the Board of Directors for Analog Devices, Inc. (@ADI_News). Congratulations!  https://t.co/kEImYt6oIj #IWFLeadsChange  https://t.co/PlZHgptszT",en,"[{'screen_name': 'susiewee', 'name': 'susie wee', 'id': '18431396'}, {'screen_name': 'adi_news', 'name': 'analog devices, inc.', 'id': '37722624'}]",['http://ow.ly/969950xm72I'],['https://pbs.twimg.com/media/EKYxpTfWwAAp-01.jpg'],2,2,20,['iwfleadschange'],[],https://twitter.com/IWFglobal/status/1199700938061164545,False,,1,https://pbs.twimg.com/media/EKYxpTfWwAAp-01.jpg,,,,,,,[],,,,
1199696263115104256,1199696263115104256,2019-11-27 19:57:33 IST,2019-11-27,19:57:33,+0530,16810559,chuckrobbins,Chuck Robbins,,"Congrats to @susiewee on her appointment to Analog Devices board of directors!  They are lucky to have you, Susie!  @Cisco @ADI_News  https://t.co/6UD0sVO7DH",en,"[{'screen_name': 'susiewee', 'name': 'susie wee', 'id': '18431396'}, {'screen_name': 'cisco', 'name': 'cisco', 'id': '15749983'}, {'screen_name': 'adi_news', 'name': 'analog devices, inc.', 'id': '37722624'}]",['https://www.businesswire.com/news/home/20191126005833/en/Analog-Devices-Appoints-Dr.-Susie-Wee-Board'],[],9,15,198,[],[],https://twitter.com/ChuckRobbins/status/1199696263115104256,False,,0,,,,,,,,[],,,,
1199319433572945926,1199319433572945926,2019-11-26 19:00:09 IST,2019-11-26,19:00:09,+0530,14772560,smartalix,"Alix, a progressive geek",,Jens Sorensen of Analog Devices explains their demo showing synchronized motion control over a Gigabit TSN network at #SPS  @ADI_News #sps_live #SPS19  https://t.co/5ZFGbg8wGj,en,"[{'screen_name': 'adi_news', 'name': 'analog devices, inc.', 'id': '37722624'}]",[],['https://pbs.twimg.com/media/EKTWpt2WsAgNvsk.jpg'],0,11,19,"['sps', 'sps_live', 'sps19']",[],https://twitter.com/smartalix/status/1199319433572945926,False,,1,https://pbs.twimg.com/media/EKTWpt2WsAgNvsk.jpg,,,,,,,[],,,,
1197007007343140866,1197007007343140866,2019-11-20 09:51:24 IST,2019-11-20,09:51:24,+0530,90854918,ulglobal,UL Global,,An amazing night in New York announcing the Peter Real Analog Devices USA Scholarships.These wonderful scholarships will help fund 3 UG students &amp; 1 PhD student coming to study @UL Thank You @ADI_News for your continued support in helping to educate the next generation #StudyAtUL  https://t.co/kPT5YzmwZU,en,"[{'screen_name': 'ul', 'name': 'university of limerick', 'id': '159108303'}, {'screen_name': 'adi_news', 'name': 'analog devices, inc.', 'id': '37722624'}]",[],['https://pbs.twimg.com/media/EJyfgZQWwAU8rRE.jpg'],0,1,8,['studyatul'],[],https://twitter.com/ULGlobal/status/1197007007343140866,False,,1,https://pbs.twimg.com/media/EJyfgZQWwAU8rRE.jpg,,,,,,,[],,,,
1196488839621160962,1196488839621160962,2019-11-18 23:32:23 IST,2019-11-18,23:32:23,+0530,37722624,adi_news,"Analog Devices, Inc.",,"For the third year in a row, Analog Devices has been named to the @BostonGlobe list of Top Places to Work in #Massachusetts.  https://t.co/cwSpIJLL3v  https://t.co/bRmiUgqxtx",en,"[{'screen_name': 'bostonglobe', 'name': 'the boston globe', 'id': '95431448'}]",['http://ow.ly/Msxa30pUe5l'],['https://pbs.twimg.com/media/EJrIQbBXYAE07Gy.jpg'],1,2,14,['massachusetts'],[],https://twitter.com/ADI_News/status/1196488839621160962,False,,1,https://pbs.twimg.com/media/EJrIQbBXYAE07Gy.jpg,,,,,,,[],,,,
1195052453466714118,1195052453466714118,2019-11-15 00:24:42 IST,2019-11-15,00:24:42,+0530,885467645922955264,echemirl,ElectroChem Ireland,,Ray Speer - Analog Devices Ireland - gave a great talk at the International Society of Electrochemistry regional student symposium hosted today by @swapnil___I in Tcd. Electrochemistry  important in so many industrial applications. ADI also sponsored the presentation prizes  https://t.co/uoBVlAmpbd,en,"[{'screen_name': 'swapnil___i', 'name': 'swapnil ingle', 'id': '2787528456'}]",[],['https://pbs.twimg.com/media/EJWt3pUWsAEuUnU.jpg'],0,1,9,[],[],https://twitter.com/eChemIRL/status/1195052453466714118,False,,1,https://pbs.twimg.com/media/EJWt3pUWsAEuUnU.jpg,,,,,,,[],,,,
1191734927403950081,1191734927403950081,2019-11-05 20:42:02 IST,2019-11-05,20:42:02,+0530,32420198,mouserelec,Mouser Electronics,,"Gather round for a story about the power of the wind and sun. These are gifts for us to enjoy, and Analog Devices is leading the way for humanity to harness their collective power through energy storage systems.   Mouser Bench Talk Blog:  https://t.co/7u5ikYi6DQ @ADI_News  https://t.co/2fSiD9xZdr",en,"[{'screen_name': 'adi_news', 'name': 'analog devices, inc.', 'id': '37722624'}]",['https://mou.sr/wind-and-sun-TW'],['https://pbs.twimg.com/media/EInkmWoWsAIF_Pp.jpg'],0,2,13,[],[],https://twitter.com/MouserElec/status/1191734927403950081,False,,1,https://pbs.twimg.com/media/EInkmWoWsAIF_Pp.jpg,,,,,,,[],,,,
1189623973295939585,1189623973295939585,2019-10-31 00:53:52 IST,2019-10-31,00:53:52,+0530,37722624,adi_news,"Analog Devices, Inc.",,"#ICYMI at #AES19: Analog Devices' A2B® digital audio bus technology has gone beyond automotive, providing distributed audio synchronization/control with deterministic low latency for #smartbuildings, consumer and other audio market challenges. Learn more:  https://t.co/UK0z9nS4pb  https://t.co/dpcxEV6xXH",en,[],['http://ow.ly/WxCG30pO3qX'],['https://pbs.twimg.com/media/EIJksnYWoAAj20z.jpg'],1,7,8,"['icymi', 'aes19', 'smartbuildings']",[],https://twitter.com/ADI_News/status/1189623973295939585,False,,1,https://pbs.twimg.com/media/EIJksnYWoAAj20z.jpg,,,,,,,[],,,,
1179751969214386176,1179751969214386176,2019-10-03 19:06:02 IST,2019-10-03,19:06:02,+0530,20731304,adafruit,adafruit industries,,The Unsung Beauty of Analog Devices Datasheets @ADI_News @neilpanchal  https://t.co/DqW0rvXKbR,en,"[{'screen_name': 'adi_news', 'name': 'analog devices, inc.', 'id': '37722624'}, {'screen_name': 'neilpanchal', 'name': 'neil panchal', 'id': '27247131'}]",['https://adafru.it/FYm'],[],1,3,6,[],[],https://twitter.com/adafruit/status/1179751969214386176,False,,0,,,,,,,,[],,,,
