id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1207377028573519873,1207377028573519873,2019-12-19 00:38:10 IST,2019-12-19,00:38:10,+0530,401575573,dividendc2,dividendc2,,Compañías US 34-35-36-37 años consecutivos aumentando el dividendo  Aflac $AFL  –  37  Air Products &amp; Chemicals $APD – 37  Cintas $CTAS  – 37  Sonoco Products $SON – 37  Exxon Mobil $XOM – 37  Atmos Energy $ATO – 36  Brown-Forman $BF.B  –  36  AT&amp;T $T  -  35  Brady $BRC  –  34,es,[],[],[],0,4,15,[],"['afl', 'apd', 'ctas', 'son', 'xom', 'ato', 'bf.b', 't', 'brc']",https://twitter.com/dividendc2/status/1207377028573519873,False,,0,,,,,,,,[],,,,
1191421658399158272,1191421658399158272,2019-11-04 23:57:13 IST,2019-11-04,23:57:13,+0530,401575573,dividendc2,dividendc2,,Compañías 35 - 36 años consecutivos aumento del dividendo  Aflac $AFL  –  36  Air Prod. &amp; Chem. $APD  –  36  Cintas $CTAS  –  36  Sonoco Products $SON  –  36  Exxon Mobil $XOM  –  36  Atmos Energy $ATO  –  35  Brown-Forman Class B $BF-B  –  35  Bemis Co. $BMS  – 35  AT&amp;T $T  – 35,es,[],[],[],0,3,11,[],"['afl', 'apd', 'ctas', 'son', 'xom', 'ato', 'bf', 'bms', 't']",https://twitter.com/dividendc2/status/1191421658399158272,False,,0,,,,,,,,[],,,,
1140155277276274688,1140155277276274688,2019-06-16 12:42:55 IST,2019-06-16,12:42:55,+0530,316983370,javieralfayate,📊Javier Alfayate Gallardo,,Pasando el buscador de mejores valores en EE.UU. Fíjate especialmente en las mejores (P&gt;95%): --- 📦 $BLL - Ball C. ☢️ $WM - Waste M. 🚘 $AZO - Autozone 🌮 $CMG - Chiplote M. 💸 $CINF - Cincinnati F. 💸 $AFL - Aflac 📡 $CHTR - Charter C. ⚡️ $ES - Energy S. 🛒 $WMT - WalMart ---  https://t.co/JUTt98sGm8,es,[],[],['https://pbs.twimg.com/media/D9Kj0KzXsAUUwYM.png'],4,8,47,[],"['bll', 'wm', 'azo', 'cmg', 'cinf', 'afl', 'chtr', 'es', 'wmt']",https://twitter.com/JavierAlfayate/status/1140155277276274688,False,,1,https://pbs.twimg.com/media/D9Kj0KzXsAUUwYM.png,,,,,,,[],,,,
1095394478674898944,1095394478674898944,2019-02-13 00:19:29 IST,2019-02-13,00:19:29,+0530,41516710,eddyelfenbein,Eddy Elfenbein,,"A year ago, AFLAC was the subject of an ugly hit piece. The Intercept claimed massive fraud by the duck stock. The share took a big hit. I thought the charges were greatly overblown.  Here we are more than a year later, and AFL just hit a new ATH.",en,[],[],[],2,2,19,[],[],https://twitter.com/EddyElfenbein/status/1095394478674898944,False,,0,,,,,,,,[],,,,
1044326201089814533,1044326201089814533,2018-09-25 02:12:23 IST,2018-09-25,02:12:23,+0530,14886375,stocktwits,Stocktwits,,"22 stocks hit all-time highs today.  Amgen $AMGN, Salesforce $CRM, Aflac $AFL, and Ross Stores $ROST all made the list. Here's who else made history:   https://t.co/np7vYBIJmz",en,[],['https://stocktwits.com/361Capital/message/138580956'],[],1,10,20,[],"['amgn', 'crm', 'afl', 'rost']",https://twitter.com/Stocktwits/status/1044326201089814533,False,,0,,,,,,,,[],,,,
1006973046291394560,1006973046291394560,2018-06-14 00:24:17 IST,2018-06-14,00:24:17,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$AFL AFLAC ...Ascending triangle. One last push could get it through the 2018 highs from late January.  https://t.co/3nI0twbdlE,en,[],[],['https://pbs.twimg.com/media/Dfl8pg3WsAAKmut.jpg'],1,3,16,[],['afl'],https://twitter.com/the_chart_life/status/1006973046291394560,False,,1,https://pbs.twimg.com/media/Dfl8pg3WsAAKmut.jpg,,,,,,,[],,,,
975734197859037184,975734197859037184,2018-03-19 19:32:15 IST,2018-03-19,19:32:15,+0530,41516710,eddyelfenbein,Eddy Elfenbein,,"AFLAC split 2-for-1 this morning so don't panic about the lower share price, you have more shares. $AFL",en,[],[],[],2,0,11,[],['afl'],https://twitter.com/EddyElfenbein/status/975734197859037184,False,,0,,,,,,,,[],,,,
960360734780678145,960360734780678145,2018-02-05 09:23:36 IST,2018-02-05,09:23:36,+0530,3226526628,summerfieldsinv,"Summer Fields Investments, LLC",,"$AFL Aflac dividend growth in the past few years shows the importance of patience in holding high quality dividend stocks. The past 5 years averaged approximately 6% growth rate annualized, but business conditions improved &amp; they raised over 20% this year.",en,[],[],[],0,5,7,[],['afl'],https://twitter.com/SummerFieldsInv/status/960360734780678145,False,,0,,,,,,,,[],,,,
959186883904450560,959186883904450560,2018-02-02 03:39:08 IST,2018-02-02,03:39:08,+0530,18589072,dividendgrowth,Dividend Growth Investor,,Aflac $AFL announced a 15.6% increase in the quarterly cash dividend to 52 cents/share. This dividend champion has raised dividends for 36 years in row,en,[],[],[],3,5,43,[],['afl'],https://twitter.com/DividendGrowth/status/959186883904450560,False,,0,,,,,,,,[],,,,
935167953175220224,935167953175220224,2017-11-27 20:56:29 IST,2017-11-27,20:56:29,+0530,37718217,thedomino,Dominic Chu,,Today's S&amp;P 500 RECORD HIGHS incl Google parent Alphabet $GOOGL Facebook $FB Adobe $ADBE Amazon $AMZN Home Depot $HD $CBOE Holdings Honeywell $HON Aflac $AFL Etc  @cnbc,en,"[{'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}]",[],[],0,2,8,[],"['googl', 'fb', 'adbe', 'amzn', 'hd', 'cboe', 'hon', 'afl']",https://twitter.com/TheDomino/status/935167953175220224,False,,0,,,,,,,,[],,,,
