id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1209159006016745472,1209159006016745472,2019-12-23 22:39:06 IST,2019-12-23,22:39:06,+0530,1054388419315580933,agn_foundation,The Allergan Foundation,,"Take a look into the Assistive Technology Exchange Center (ATEC) at @ocgoodwill! With support from the Allergan Foundation, ATEC provides assistive technology services &amp; solutions and technology devices to individuals with disabilities of all ages, their families and employers💻  https://t.co/U6aR8wNpw1",en,"[{'screen_name': 'ocgoodwill', 'name': 'goodwill of orange county', 'id': '18493144'}]",[],['https://pbs.twimg.com/media/EMfLtOLXUAAs6Kq.jpg'],0,1,9,[],[],https://twitter.com/AGN_Foundation/status/1209159006016745472,False,,1,https://pbs.twimg.com/media/EMfLtOLXUAAs6Kq.jpg,,,,,,,[],,,,
1206596891468808197,1206596891468808197,2019-12-16 20:58:11 IST,2019-12-16,20:58:11,+0530,700784500658208768,cheddar,Cheddar🧀,,"#BOTOX is thirty, flirty, and thriving this year. @Allergan is celebrating the 30th anniversary of the product and stopped by the @NYSE to discuss the longevity of the brand. #CheddarLive $AGN  https://t.co/EfKYjTRna9",en,"[{'screen_name': 'nyse', 'name': 'nyse 🏛', 'id': '21323268'}]",[],[],1,3,10,"['botox', 'cheddarlive']",['agn'],https://twitter.com/cheddar/status/1206596891468808197,False,,1,https://pbs.twimg.com/media/EL6xXVJWsAEl4qm.jpg,,,,,,,[],,,,
1206582145063342084,1206582145063342084,2019-12-16 19:59:35 IST,2019-12-16,19:59:35,+0530,21323268,nyse,NYSE 🏛,,NYSE Opening Bell 🔔: @Allergan (NYSE: $AGN) celebrates 30 years of BOTOX Innovation  https://t.co/hr8luR02cq,en,[],['https://www.pscp.tv/w/cMeMTzIyODE3NHwxQmRHWWVlQXdSQUdYOwoU5QIMkuOJrwtM-XbAw2eVe43exkCxj-_Np3rcygA='],[],1,13,31,[],['agn'],https://twitter.com/NYSE/status/1206582145063342084,False,,0,,,,,,,,[],,,,
1191701611455762432,1191701611455762432,2019-11-05 18:29:39 IST,2019-11-05,18:29:39,+0530,3241335078,barista4565,ばりすた◢￨⁴⁶,,"$AGN - Allergan Q3 revenues up 3%, non-GAAP EPS flat  https://t.co/r9iIX9JNLK  ""Merger with AbbVie expected to close in Q1 2020""",en,[],['https://seekingalpha.com/news/3514367-allergan-q3-revenues-3-percent-non-gaap-eps-flat?source=tweet'],[],0,1,10,[],['agn'],https://twitter.com/barista4565/status/1191701611455762432,False,,0,,,,,,,,[],,,,
1183380266330525698,1183380266330525698,2019-10-13 19:23:36 IST,2019-10-13,19:23:36,+0530,610365300,pipactiona,PIP Action Campaign,,#20days How much has #Allergan spent on US surgeons to ENDORSE+PROMOTE dangerous #NATRELLE #BIOCELL IMPLANTS in the past five years?  ANSWER : Almost $600MILLION #criminalinvestigation #implantCrimes #plasticsurgery @CommissionerHR $AGN @ICIJorg @BBCNews @SkyNews @jeremycorbyn  https://t.co/2i7HpB2otm,en,"[{'screen_name': 'commissionerhr', 'name': 'commissioner for human rights', 'id': '154183852'}, {'screen_name': 'icijorg', 'name': 'icij', 'id': '131935861'}, {'screen_name': 'bbcnews', 'name': 'bbc news (uk)', 'id': '612473'}, {'screen_name': 'skynews', 'name': 'sky news', 'id': '7587032'}, {'screen_name': 'jeremycorbyn', 'name': 'jeremy corbyn', 'id': '117777690'}]",[],['https://pbs.twimg.com/media/EGw2E8GW4AAgRVU.jpg'],0,3,6,"['20days', 'allergan', 'natrelle', 'biocell', 'criminalinvestigation', 'implantcrimes', 'plasticsurgery']",['agn'],https://twitter.com/PIPActionA/status/1183380266330525698,False,,1,https://pbs.twimg.com/media/EGw2E8GW4AAgRVU.jpg,,,,,,,[],,,,
1176408193423032320,1176408193423032320,2019-09-24 13:39:04 IST,2019-09-24,13:39:04,+0530,214095148,speedpakgroup,Speedpak Group,,"THANK YOU... Social &amp; Philanthropic Investors, Industry, State &amp; Community Partners  ...for helping us Transform Lives!    https://t.co/jFq2Ds5IfC  @Allergan @SInnovationIRL @pobal  @AGN_Foundation @TheIrelandFunds @SOLASFET   #CSR #SocialEnterprise #SDG4 #SDG8 #collaboration",en,"[{'screen_name': 'pobal', 'name': 'pobal', 'id': '22000429'}, {'screen_name': 'agn_foundation', 'name': 'the allergan foundation', 'id': '1054388419315580933'}, {'screen_name': 'theirelandfunds', 'name': 'the ireland funds', 'id': '253143684'}, {'screen_name': 'solasfet', 'name': 'solas #staysafe #holdfirm', 'id': '3054005098'}]",['https://www.youtube.com/watch?v=T3c0ddEewvE&t=38s'],[],0,2,6,"['csr', 'socialenterprise', 'sdg4', 'sdg8', 'collaboration']",[],https://twitter.com/SpeedpakGroup/status/1176408193423032320,False,,0,,,,,,,,[],,,,
1164583006335569920,1164583006335569920,2019-08-22 22:30:00 IST,2019-08-22,22:30:00,+0530,20119344,greenbackd,Tobias Carlisle,,"Top 10 positions in Seth Klarman's 6-30-2019 portfolio (value $11bb).  1 $LBTYK / Liberty Global (Class C) $1.1bb 2 $VSAT / ViaSat $1.1bb 3 $FOXA / Fox Corporation, Class A $1bb 4 $EBAY / eBay, Inc. $954mm 5 $LNG / Cheniere Energy $731mm 6 $AGN / Allergan $616mm 7 ...",en,[],[],[],1,4,17,[],"['lbtyk', 'vsat', 'foxa', 'ebay', 'lng', 'agn']",https://twitter.com/Greenbackd/status/1164583006335569920,False,https://twitter.com/acquirersx/status/1164479181528477696,0,,,,,,,,[],,,,
1156013804116856834,1156013804116856834,2019-07-30 06:59:03 IST,2019-07-30,06:59:03,+0530,1054388419315580933,agn_foundation,The Allergan Foundation,,"7 students were among 17 deserving winners of the 2019 Allergan Foundation Scholarship awards around the USA🇺🇲to support their 2019-2020 studies. Students were selected based on their academic records &amp; contributions to the school &amp; community, among other factors. Congrats!🎓📚  https://t.co/V25U0DuBsL",en,[],[],['https://pbs.twimg.com/media/EAr8bSXUIAAhg2H.jpg'],0,0,9,[],[],https://twitter.com/AGN_Foundation/status/1156013804116856834,False,,1,https://pbs.twimg.com/media/EAr8bSXUIAAhg2H.jpg,,,,,,,[],,,,
1153428008017027072,1153428008017027072,2019-07-23 03:44:01 IST,2019-07-23,03:44:01,+0530,1054388419315580933,agn_foundation,The Allergan Foundation,,The Allergan Foundation partnered with Agraj Seva Kendra to support the North Brunswick Township (NBT) Science Symposium. 100+ kids participate in the science fair. It's a fun way to showcase the talent of students in STEM 🔬💻⚙️➗  https://t.co/TSBArTMmFr,en,[],[],['https://pbs.twimg.com/media/EAHMqMzXsAIdMX1.jpg'],0,1,12,[],[],https://twitter.com/AGN_Foundation/status/1153428008017027072,False,,1,https://pbs.twimg.com/media/EAHMqMzXsAIdMX1.jpg,,,,,,,[],,,,
1153046722165334016,1153046722165334016,2019-07-22 02:28:55 IST,2019-07-22,02:28:55,+0530,1062378513502793728,momiage0088,もみあげ🇺🇸 米国株投資,,AbbVie's Acquisitions Report Card Shows Investors Have a Reason to Worry About the Allergan Buyout @themotleyfool #stocks $ABBV $AGN  https://t.co/Ro9wq0dJmA アッビィ買収について、アッビィの大型ディール経験の弱さを懸念。,ja,"[{'screen_name': 'themotleyfool', 'name': 'the motley fool', 'id': '15568127'}]",['https://www.fool.com/investing/2019/07/21/abbvies-acquisitions-report-card-shows-investors-h.aspx'],[],0,2,13,['stocks'],"['abbv', 'agn']",https://twitter.com/momiage0088/status/1153046722165334016,False,,0,,,,,,,,[],,,,
1150939108941979656,1150939108941979656,2019-07-16 06:54:01 IST,2019-07-16,06:54:01,+0530,1054388419315580933,agn_foundation,The Allergan Foundation,,"Check out the “Interns for a Day” at @Allergan's Madison, NJ campus. Students @jagnational at Weequahic High School spent the day w/ Allergan mentors to learn about career development. It's wonderful to be a part of this collaborative programming with the @NJChamberFdn!  https://t.co/caotVvnR3t",en,"[{'screen_name': 'jagnational', 'name': ""jobs for america's graduates"", 'id': '462258917'}, {'screen_name': 'njchamberfdn', 'name': 'njchamber foundation', 'id': '19165948'}]",[],['https://pbs.twimg.com/media/D_j1BLIXkAE6cTM.jpg'],0,2,10,[],[],https://twitter.com/AGN_Foundation/status/1150939108941979656,False,,1,https://pbs.twimg.com/media/D_j1BLIXkAE6cTM.jpg,,,,,,,[],,,,
1148998843243126791,1148998843243126791,2019-07-10 22:24:06 IST,2019-07-10,22:24:06,+0530,1054388419315580933,agn_foundation,The Allergan Foundation,,"For 20 yrs, Plasticos has provided reconstructive plastic surgical care to those in need. We are so happy to have a part in their meaningful work🏥 Thank you to the @Allergan team members who regularly volunteer their time &amp; talents with this impressive organization!👏  https://t.co/HIO1F9wTwq",en,[],[],['https://pbs.twimg.com/media/D_IQW46W4AU9DgX.jpg'],0,0,6,[],[],https://twitter.com/AGN_Foundation/status/1148998843243126791,False,,1,https://pbs.twimg.com/media/D_IQW46W4AU9DgX.jpg,,,,,,,[],,,,
1145046031048093696,1145046031048093696,2019-06-30 00:37:02 IST,2019-06-30,00:37:02,+0530,1054388419315580933,agn_foundation,The Allergan Foundation,,"“It’s hard to believe that Migraine and Headache Awareness Month is nearly over! We are grateful to the Allergan Foundation for supporting our patient education initiatives.”  Thanks, @NHF !😊 Check out all their amazing resources at  https://t.co/M2tIevPyCd  https://t.co/zD9B4x4SCO",en,"[{'screen_name': 'nhf', 'name': 'national headache foundation (nhf)', 'id': '17783676'}]",['http://headaches.org'],['https://pbs.twimg.com/media/D-QFS0xWwAEOAVw.jpg'],0,0,6,[],[],https://twitter.com/AGN_Foundation/status/1145046031048093696,False,,1,https://pbs.twimg.com/media/D-QFS0xWwAEOAVw.jpg,,,,,,,[],,,,
1143979594397179904,1143979594397179904,2019-06-27 01:59:24 IST,2019-06-27,01:59:24,+0530,1548736957,mfindustryfocus,Industry Focus,,"What does the megadeal between Allergan and AbbVie have in common with @TMFJMo?  They're both making appearance on this week's Industry Focus Healthcare podcast, with host Shannon Jones.  Don't miss out. Tune in wherever you get podcasts! $AGN $ABBV  https://t.co/ChpYEQbSQj",en,"[{'screen_name': 'tmfjmo', 'name': 'jason a. moser', 'id': '214479702'}]",[],[],0,4,9,[],"['agn', 'abbv']",https://twitter.com/MFIndustryFocus/status/1143979594397179904,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1143979544250109953/pu/img/REasOzbjq8bDjPzA.jpg,,,,,,,[],,,,
1143910135305256963,1143910135305256963,2019-06-26 21:23:23 IST,2019-06-26,21:23:23,+0530,2985017187,7innovator,Simon Erickson,,"1/6 I’m going to disagree with myself from yesterday and publicly change my mind.  After digging in deeper, I now see why AbbVie $ABBV is eager to acquire Allergan $AGN. And I think this deal makes sense for shareholders.    https://t.co/SFdj1dsVdl",en,[],['https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/allergan/abbvie-allergan-announcement.pdf'],[],7,2,8,[],"['abbv', 'agn']",https://twitter.com/7Innovator/status/1143910135305256963,False,,0,,,,,,,,[],,,,
1143880117342670851,1143880117342670851,2019-06-26 19:24:06 IST,2019-06-26,19:24:06,+0530,44438256,matthewherper,Matthew Herper,,How Brent Saunders’ Allergan experiment failed  https://t.co/N877J3QvwC  $AGN $ABBV. By Me.,en,[],['https://www.statnews.com/2019/06/26/how-brent-saunders-allergan-experiment-failed/'],[],8,23,49,[],"['agn', 'abbv']",https://twitter.com/matthewherper/status/1143880117342670851,False,,0,,,,,,,,[],,,,
1143875055073595393,1143875055073595393,2019-06-26 19:03:59 IST,2019-06-26,19:03:59,+0530,597078771,emmarcourt,Emma Court,,Hello please enjoy my curated collection of the corniest Wall Street takes on yesterday's $63 billion AbbVie-Allergan deal  The Ariana Grande reference is a personal fave  $abbv $agn  https://t.co/hhIQUZo6xG,en,[],[],"['https://pbs.twimg.com/media/D9_XxZIWwAA0tzD.png', 'https://pbs.twimg.com/media/D9_a22yWsAYYSKJ.png', 'https://pbs.twimg.com/media/D9_bQ2-WsAM5WoO.png', 'https://pbs.twimg.com/media/D9_byMHXsAAn3Fb.png']",1,8,31,[],"['abbv', 'agn']",https://twitter.com/emmarcourt/status/1143875055073595393,False,,1,https://pbs.twimg.com/media/D9_XxZIWwAA0tzD.png,,,,,,,[],,,,
