id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1113206528453087232,1113206528453087232,2019-04-03 03:58:13 IST,2019-04-03,03:58:13,+0530,301265115,jtgenter,JT Genter,,"US-based airlines gained over $3.3 billion in market share on Tuesday, with $DAL gaining over $2.1 billion by itself.   Also, $DAL is now worth more than the COMBINED value of: American Air $AAL, Alaska $ALK, JetBlue $JBLU, Spirit $SAVE, Allegiant $ALGT and Hawaiian Air $HA  https://t.co/7uVYP3qLXX",en,[],[],['https://pbs.twimg.com/media/D3Lmj7-XkAAy0T_.png'],6,19,39,[],"['dal', 'dal', 'aal', 'alk', 'jblu', 'save', 'algt', 'ha']",https://twitter.com/JTGenter/status/1113206528453087232,False,,1,https://pbs.twimg.com/media/D3Lmj7-XkAAy0T_.png,,,,,,,[],,,,
1072983308886335488,1072983308886335488,2018-12-13 04:05:30 IST,2018-12-13,04:05:30,+0530,16732770,cnbcfastmoney,CNBC's Fast Money,,"Are transports in trouble? FedEx, Alaska Air, American Airlines, and UPS have tumbled this month. $FDX $ALK $AAL $UPS  https://t.co/PF1aiHBPQH",en,[],[],['https://pbs.twimg.com/media/DuQAnLIUcAAeLqw.jpg'],1,6,14,[],"['fdx', 'alk', 'aal', 'ups']",https://twitter.com/CNBCFastMoney/status/1072983308886335488,False,,1,https://pbs.twimg.com/media/DuQAnLIUcAAeLqw.jpg,,,,,,,[],,,,
1031720986671046659,1022567837716684800,2018-08-21 07:23:46 IST,2018-08-21,07:23:46,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$ALK Alaska Air ...Nice pop today along with many other Airline names. $JETS  https://t.co/2gkjdKUEKM,en,[],[],['https://pbs.twimg.com/media/DlFomUnXoAUpsPz.jpg'],1,1,6,[],"['alk', 'jets']",https://twitter.com/the_chart_life/status/1031720986671046659,False,,1,https://pbs.twimg.com/media/DlFomUnXoAUpsPz.jpg,,,,,,,[],,,,
1022567837716684800,1022567837716684800,2018-07-27 01:12:25 IST,2018-07-27,01:12:25,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$ALK Alaska Air ...Breaking out from the falling wedge?  https://t.co/bb0gBfnvvL,en,[],[],['https://pbs.twimg.com/media/DjDkB1LU8AA8pdX.jpg'],2,1,6,[],['alk'],https://twitter.com/the_chart_life/status/1022567837716684800,False,,1,https://pbs.twimg.com/media/DjDkB1LU8AA8pdX.jpg,,,,,,,[],,,,
963941793292222464,963941793292222464,2018-02-15 06:33:27 IST,2018-02-15,06:33:27,+0530,15110357,reutersbiz,Reuters Business,,"JUST IN: Alaska Air Group, Virgin America and Association of Flight Attendants reached a tentative merger agreement that includes competitive pay raises, increase in retirement contributions and quality of life benefits $ALK $VA",en,[],[],[],1,12,10,[],"['alk', 'va']",https://twitter.com/ReutersBiz/status/963941793292222464,False,,0,,,,,,,,[],,,,
854810589952057345,854810589952057345,2017-04-20 03:05:00 IST,2017-04-20,03:05:00,+0530,56413858,foxbusiness,FOX Business,,Alaska Air targets the Dallas business-travel market $ALK   https://t.co/Cu5ZpqY5jb,en,[],['http://fxn.ws/2oMlGDC'],[],0,4,7,[],['alk'],https://twitter.com/FoxBusiness/status/854810589952057345,False,,0,,,,,,,,[],,,,
788849666599243776,788849666599243776,2016-10-20 02:39:51 IST,2016-10-20,02:39:51,+0530,20119344,greenbackd,Tobias Carlisle,,"Why Is Alaska Air Group, Inc. The Best Airline Stock in the U.S. $ALK  https://t.co/tJM7dz3vlm  https://t.co/TWVQOl5Qpy",en,[],['http://acquirersmultiple.com/2016/10/why-is-alaska-air-group-inc-the-best-airline-stock-in-the-u-s-alk/'],['https://pbs.twimg.com/media/CvKOlrRVYAAWf2j.jpg'],0,1,6,[],['alk'],https://twitter.com/Greenbackd/status/788849666599243776,False,,1,https://pbs.twimg.com/media/CvKOlrRVYAAWf2j.jpg,,,,,,,[],,,,
730145803130572801,730145803130572801,2016-05-11 02:51:39 IST,2016-05-11,02:51:39,+0530,26574283,cnbcnow,CNBC Now,,Alaska Air to replace SanDisk in S&amp;P 500 • $ALK $SNDK,en,[],[],[],1,14,8,[],"['alk', 'sndk']",https://twitter.com/CNBCnow/status/730145803130572801,False,,0,,,,,,,,[],,,,
716962147167825921,716962147167825921,2016-04-04 17:44:31 IST,2016-04-04,17:44:31,+0530,15764136,usatodaymoney,USA TODAY Money,,Shares of Virgin America surge 40% as Alaska Air drops almost 5% after deal announced. $ALK $VA  https://t.co/fERuUCAyNS,en,[],['http://usat.ly/1RTWVMG'],[],0,23,24,[],"['alk', 'va']",https://twitter.com/USATODAYmoney/status/716962147167825921,False,,0,,,,,,,,[],,,,
716644957952430080,716644957952430080,2016-04-03 20:44:07 IST,2016-04-03,20:44:07,+0530,19546277,yahoofinance,Yahoo Finance,,Alaska Air nears deal to buy Virgin America for over $2 billion: sources  https://t.co/kyumz7MFlO $ALK $VA  https://t.co/1ai16JMIu9,en,[],['http://yhoo.it/1RxhJug'],['https://pbs.twimg.com/media/CfH3GbLXIAAd6xN.jpg'],2,20,11,[],"['alk', 'va']",https://twitter.com/YahooFinance/status/716644957952430080,False,,1,https://pbs.twimg.com/media/CfH3GbLXIAAd6xN.jpg,,,,,,,[],,,,
