id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1209176252424298498,1209176252424298498,2019-12-23 23:47:38 IST,2019-12-23,23:47:38,+0530,845645402850414592,divyprincipal,The Dividend Principal,,Cashed out my chips on $BAC Bank of America with +138% profit. Was buying a few years back when it was 14 and a lot of drama swirling around it. #investing #financialliteracy,en,[],[],[],4,0,10,"['investing', 'financialliteracy']",['bac'],https://twitter.com/DivyPrincipal/status/1209176252424298498,False,,0,,,,,,,,[],,,,
1205579768814374912,1205579768814374912,2019-12-14 01:36:30 IST,2019-12-14,01:36:30,+0530,168883105,buildingbread,"Kevin L. Matthews II, M.S.",,I went Christmas shopping for my 19 month old son today and got him 9 shares of Bank of America ( $BAC).   This is the 6th stock in his portfolio.  Generational wealth is the gift that keeps on giving 💪🏾💵💪🏾.,en,[],[],[],3,0,19,[],['bac'],https://twitter.com/BuildingBread/status/1205579768814374912,False,,0,,,,,,,,[],,,,
1204518366045724673,1204518366045724673,2019-12-11 03:18:51 IST,2019-12-11,03:18:51,+0530,1413027896,charliebilello,Charlie Bilello,,2019 returns for the largest US banks... Citigroup $C: +50% JP Morgan $JPM: +42% Bank of America $BAC: +39% Goldman Sachs $GS: +36% US Bank $USB: +34% Morgan Stanley $MS: +29% Wells Fargo $WFC: +21%  https://t.co/IdQsfEqsvQ,en,[],[],['https://pbs.twimg.com/media/ELdOjatXsAIX83N.png'],9,95,169,[],"['c', 'jpm', 'bac', 'gs', 'usb', 'ms', 'wfc']",https://twitter.com/charliebilello/status/1204518366045724673,False,,1,https://pbs.twimg.com/media/ELdOjatXsAIX83N.png,,,,,,,[],,,,
1203825885591330818,1203825885591330818,2019-12-09 05:27:11 IST,2019-12-09,05:27:11,+0530,814893508066680832,tradewithninja,TheTradingNinja[14+30=Lotto King],,"I don’t have a mentor. I never had one in anything in life.  Honestly I surrounded myself with people who know more and are at their peak in life.  Since 18 I was in the city speaking to lawyers, bankers millionaires and my client was ex ceo of Bank of America ( $BAC )",en,[],[],[],1,0,30,[],['bac'],https://twitter.com/TradeWithNinja/status/1203825885591330818,False,,0,,,,,,,,[],,,,
1203310028398178305,1203310028398178305,2019-12-07 19:17:21 IST,2019-12-07,19:17:21,+0530,322226692,pekalalaw,Beverly A. Pekala,,Ready??? CookCounty says...raising taxes would hurt the economy. Wants #BankOfAmerica to pay for 'tax losses' due to foreclosures. One tiny problem. County's real estate taxes never declined. #NevaWillDecline #Chicago #realestate  #Illinois #homes $BAC  https://t.co/wPUv1765ZE,en,[],['https://cookcountyrecord.com/stories/520869595-cook-county-says-raising-taxes-would-hurt-economy-bank-of-america-owes-for-county-tax-losses-from-discriminatory-lending'],[],9,13,18,"['bankofamerica', 'nevawilldecline', 'chicago', 'realestate', 'illinois', 'homes']",['bac'],https://twitter.com/PekalaLaw/status/1203310028398178305,False,,0,,,,,,,,[],,,,
1200928622690877445,1200928622690877445,2019-12-01 05:34:30 IST,2019-12-01,05:34:30,+0530,401575573,dividendc2,dividendc2,,Las 10 acciones más poseídas SUPERINVESTORS  GOOG - Alphabet Inc. CL C WFC - Wells Fargo FB - Facebook Inc MSFT - Microsoft Corp GOOGL - Alphabet Inc BAC - Bank of America Corp BRK.B - Berkshire Hathaway CL B CMCSA - Comcast Corp C - Citigroup Inc JPM - JPMorgan Chase  dataroma,en,[],[],[],1,2,10,[],[],https://twitter.com/dividendc2/status/1200928622690877445,False,,0,,,,,,,,[],,,,
1200516088112582656,1200516088112582656,2019-11-30 02:15:14 IST,2019-11-30,02:15:14,+0530,34741114,mitchellkwarren,Mitchell Warren,,Bank of America $BAC has one of the notable monthly chart breakouts as trading wraps up for November (bullish MACD crossover as well).  https://t.co/ESD22zoQSI,en,[],[],['https://pbs.twimg.com/media/EKkXBGoX0AER3SY.jpg'],1,7,16,[],['bac'],https://twitter.com/MitchellKWarren/status/1200516088112582656,False,,1,https://pbs.twimg.com/media/EKkXBGoX0AER3SY.jpg,,,,,,,[],,,,
1198925515299708929,1198925515299708929,2019-11-25 16:54:52 IST,2019-11-25,16:54:52,+0530,322226692,pekalalaw,Beverly A. Pekala,,Cook County (Chicagoland) is suing Bank of America. Claiming 'tax-related losses' over foreclosure cases. One problem. County’s tax revenues never declined. #Chicago #lawsuits #BankOfAmerica $BAC  #Monday  https://t.co/ffJB3gHR1V,en,[],['https://cookcountyrecord.com/stories/520523326-judge-cook-county-demands-bank-of-america-pay-for-discriminatory-lending-but-did-county-actually-lose-tax-money'],[],2,2,10,"['chicago', 'lawsuits', 'bankofamerica', 'monday']",['bac'],https://twitter.com/PekalaLaw/status/1198925515299708929,False,,0,,,,,,,,[],,,,
1198548931224973312,1198548931224973312,2019-11-24 15:58:27 IST,2019-11-24,15:58:27,+0530,1193441340,stoffengg,Chris 🇸🇪,,"Bank Of America Corp, $BAC  Accumulation with 35-40% potential upside.  https://t.co/DMSHuKNHwd",en,[],[],['https://pbs.twimg.com/media/EKIZ5cfXsAUpCyK.png'],1,0,16,[],['bac'],https://twitter.com/stoffengg/status/1198548931224973312,False,,1,https://pbs.twimg.com/media/EKIZ5cfXsAUpCyK.png,,,,,,,[],,,,
1197653794340913152,1197653794340913152,2019-11-22 04:41:30 IST,2019-11-22,04:41:30,+0530,401575573,dividendc2,dividendc2,,Warren Buffett - Berkshire Hathaway Q2 2019 - 30 Jun 2019 TOP10  AAPL -Apple Inc. BAC -Bank of America Corp. KO -Coca Cola Co. WFC -Wells Fargo AXP -American Express KHC -Kraft Heinz Co. USB -U.S. Bancorp JPM -JPMorgan Chase &amp; Co. MCO -Moody's Corp. DAL -Delta Air Lines Inc.,en,[],[],[],1,4,21,[],[],https://twitter.com/dividendc2/status/1197653794340913152,False,,0,,,,,,,,[],,,,
