id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1192519709008302080,1192354203483672576,2019-11-08 00:40:29 IST,2019-11-08,00:40:29,+0530,471835353,alexios1201,Alex,,"@garvie_james @BigBiteNow Two areas surveyed, Liberator and Tain+possibly part of Serenity  Actually more than two  BHGE is Baker Hughes, #i3E   Maybe this is the survey done by both, i3E and others  https://t.co/e1g8ixI69W",en,[],[],"['https://pbs.twimg.com/media/EIyuUw_XYAAdAIX.jpg', 'https://pbs.twimg.com/media/EIyuVaAXUAAWTNA.jpg', 'https://pbs.twimg.com/media/EIyuV0hWoAAR22X.jpg', 'https://pbs.twimg.com/media/EIyuWc8WkAEJQkC.jpg']",0,0,5,['i3e'],[],https://twitter.com/Alexios1201/status/1192519709008302080,False,,1,https://pbs.twimg.com/media/EIyuUw_XYAAdAIX.jpg,,,,,,,"[{'screen_name': 'garvie_james', 'name': 'Marcus James Garvie', 'id': '780960632862543872'}, {'screen_name': 'BigBiteNow', 'name': 'BBN', 'id': '410966118'}]",,,,
1175048517372522500,1175048517372522500,2019-09-20 19:36:12 IST,2019-09-20,19:36:12,+0530,20946458,tomrand,Tom Rand,,"""Along with the funding, @Hydrostor announced a couple of strategic partnerships with infrastructure investor Meridiam and oilfield service company Baker Hughes (NYSE:BHGE). Meridiam will support the origination and development of Hydrostor projects""  The buried lede. ;)",en,"[{'screen_name': 'hydrostor', 'name': 'hydrostor', 'id': '277052231'}]",[],[],0,4,7,[],[],https://twitter.com/tomrand/status/1175048517372522500,False,https://twitter.com/tomrand/status/1175027664312250369,0,,,,,,,,[],,,,
1167434368937340930,1167434368937340930,2019-08-30 19:20:18 IST,2019-08-30,19:20:18,+0530,1016306832418201600,pandjlive,P&J Live,,"We are proud to announce that P&amp;J Live have secured @BHGECO Baker Hughes, a GE company (BHGE) as an official Partner!  They are the exclusive sponsor of the Exhibition and Conference Hub.  To read more about the partnership visit:  https://t.co/RN8nl5r1qj  https://t.co/QATdyzR0v7",en,[],['http://bit.ly/2ZrFKyI'],['https://pbs.twimg.com/media/EDOPXVVX4AEYMFw.jpg'],0,2,10,[],[],https://twitter.com/PandJLive/status/1167434368937340930,False,,1,https://pbs.twimg.com/media/EDOPXVVX4AEYMFw.jpg,,,,,,,[],,,,
1145942699406766082,1145942699406766082,2019-07-02 12:00:04 IST,2019-07-02,12:00:04,+0530,213065379,biggibuk,BigGib,,#I3E huge confidence from Baker Hughes and a good deal done by the BoD.   Sub 50p should be long gone this week.   FE Investegate |i3 Energy PLC Announcements | i3 Energy PLC: i3 contract with BHGE for Equipment and Service  https://t.co/ga3OcMOfKw,en,[],['https://www.investegate.co.uk/i3-energy-plc--i3e-/rns/i3-contract-with-bhge-for-equipment-and-service/201907020700101627E/'],[],1,11,22,['i3e'],[],https://twitter.com/BigGibUK/status/1145942699406766082,False,,0,,,,,,,,[],,,,
1145816225643139074,1145816225643139074,2019-07-02 03:37:31 IST,2019-07-02,03:37:31,+0530,4873701989,neil_saunders_,Neil Saunders,,Big day for OFE &amp; FPS...... Saudi Aramco and Baker Hughes sign MOU for non-metallic materials production facility in Saudi Arabia - Saudi Aramco ⁦@BHGECO⁩ ⁦@BHGE_MENAT⁩   https://t.co/zytx7cv6ZB,en,[],['https://www.saudiaramco.com/en/news-media/news/2019/aramco-mou-baker-hughes-non-metallic-materials-production-facility'],[],0,9,22,[],[],https://twitter.com/Neil_Saunders_/status/1145816225643139074,False,,0,,,,,,,,[],,,,
1141766440925782016,1141766440925782016,2019-06-20 23:25:07 IST,2019-06-20,23:25:07,+0530,239919844,genomeatlantic,Genome Atlantic,,Another great day at #ISMOS7 and Big Thanks to our sponsors: @DuPont @LuminUltra @MicrobeTweet @Nalco_Champion @COVE_Ocean @DNVGL @GenomeCanada @GenomeAlberta @UCalgary @NS_Energy_Mines Baker Hughes a GE company (BHGE) @DalhousieU @MemorialU @SMUScience  https://t.co/401bNByk8T,en,"[{'screen_name': 'dupont', 'name': 'dupont', 'id': '247468365'}, {'screen_name': 'luminultra', 'name': 'luminultra', 'id': '312627675'}, {'screen_name': 'microbetweet', 'name': 'microbial insights', 'id': '443048932'}, {'screen_name': 'nalco_champion', 'name': 'nalco champion', 'id': '3087468135'}, {'screen_name': 'cove_ocean', 'name': 'cove 🌊', 'id': '781259239058771968'}, {'screen_name': 'genomecanada', 'name': 'genome canada', 'id': '570261432'}, {'screen_name': 'genomealberta', 'name': 'genome alberta', 'id': '28336682'}, {'screen_name': 'ucalgary', 'name': 'u calgary', 'id': '16809022'}, {'screen_name': 'ns_energy_mines', 'name': 'ns energy and mines', 'id': '1465313792'}, {'screen_name': 'dalhousieu', 'name': 'dalhousie university', 'id': '42391676'}, {'screen_name': 'memorialu', 'name': 'memorial university', 'id': '27934648'}, {'screen_name': 'smuscience', 'name': 'smuscience', 'id': '322604226'}]",[],['https://pbs.twimg.com/media/D9hbUmQWwAcA3Ac.jpg'],0,3,6,['ismos7'],[],https://twitter.com/GenomeAtlantic/status/1141766440925782016,False,,1,https://pbs.twimg.com/media/D9hbUmQWwAcA3Ac.jpg,,,,,,,[],,,,
1140706888528683010,1140706888528683010,2019-06-18 01:14:50 IST,2019-06-18,01:14:50,+0530,19355454,bakerhughesco,Baker Hughes,,"#WeareBHGE! Baker Hughes (BHGE) earned the No. 10 spot on the @HoustonChron 100 list, and the No. 21 spot for top 100 employers in the Houston area. Check out our company spotlight:  https://t.co/RoRroOfOC0. #energyforward",en,"[{'screen_name': 'houstonchron', 'name': 'houston chronicle', 'id': '8940342'}]",['https://invent.ge/2Zt6vhV'],[],0,18,40,"['wearebhge', 'energyforward']",[],https://twitter.com/bakerhughesco/status/1140706888528683010,False,,0,,,,,,,,[],,,,
1073226865589006336,1073226865589006336,2018-12-13 20:13:19 IST,2018-12-13,20:13:19,+0530,2409370087,pdo_om,PDO | شركة تنمية نفط عمان,,Watch our video highlights of the opening ceremony of Baker Hughes’ first artificial lift systems assembly and repair facility in Oman in collaboration with #PDO.  @BHGE_MENAT  https://t.co/AguA11l8xM,en,[],[],[],0,7,23,['pdo'],[],https://twitter.com/PDO_OM/status/1073226865589006336,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1073226666166636545/pu/img/G517bAvUmU7NMv_r.jpg,,,,,,,[],,,,
1066363085240311808,1066363085240311808,2018-11-24 21:39:06 IST,2018-11-24,21:39:06,+0530,25163231,convertbond,Lawrence McDonald,,"Oil Patch Drawdowns from Highs  Transocean $RIG: -95% Baker Hughes $BHGE -77% Oil Services ETF $OIH: -68% National Oilwell $Nov -63% Schlumberger $SLB: -61% Halliburton $HAL -58%  *A decade ago we were lectured on ""peak oil."" Emerging markets growth engine.  v @BearTrapsReport",en,"[{'screen_name': 'beartrapsreport', 'name': 'the bear traps report', 'id': '3198452002'}]",[],[],1,20,35,[],"['rig', 'bhge', 'oih', 'nov', 'slb', 'hal']",https://twitter.com/Convertbond/status/1066363085240311808,False,,0,,,,,,,,[],,,,
1041970078886109185,1041970078886109185,2018-09-18 14:10:00 IST,2018-09-18,14:10:00,+0530,292758442,squawkboxeurope,Squawk Box Europe,,Baker Hughes GE CEO: We look to the future of BHGE  https://t.co/Qh8f7opSgr,en,[],['https://buff.ly/2D6riSb'],[],1,9,14,[],[],https://twitter.com/SquawkBoxEurope/status/1041970078886109185,False,,0,,,,,,,,[],,,,
