id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1211716474655690753,1211716474655690753,2019-12-31 00:01:34 IST,2019-12-31,00:01:34,+0530,66382509,evansequipment,"Evans Equipment, Inc",,Always impressive work out of our paint shop. #cat #caterpillar #evansrebuild  https://t.co/zRMhgcnVoj,en,[],[],['https://pbs.twimg.com/media/ENDhtdVWkAEsnGM.jpg'],0,0,16,"['cat', 'caterpillar', 'evansrebuild']",[],https://twitter.com/evansequipment/status/1211716474655690753,False,,1,https://pbs.twimg.com/media/ENDhtdVWkAEsnGM.jpg,,,,,,,[],,,,
1211661565323350016,1211661565323350016,2019-12-30 20:23:23 IST,2019-12-30,20:23:23,+0530,250926039,aratikadav,Arati Kadav,,My daughter just now made me tell her 10  back to back stories of “caterpillar police“ all extempore with “white puppy” &amp; “cat” as most common victims - I think by the time she slept I had overall figured out tropes in spy thrillers. But well the point is I totally need a drink.,en,[],[],[],1,0,9,[],[],https://twitter.com/AratiKadav/status/1211661565323350016,False,,0,,,,,,,,[],,,,
1211024831472455680,1211003420162822146,2019-12-29 02:13:14 IST,2019-12-29,02:13:14,+0530,818155,caro,caro by the sea 🌊,,"And of course Caterpillar, my first love. She would jump on my shoulders every day when I came home from work. She knew when you were sad, and she would give you a hug. We lost her too soon. What a special cat; I was so lucky to be able to know her. #Caturday  https://t.co/hg3BPa8x8c",en,[],[],['https://pbs.twimg.com/media/EM5sqOMXUAIDtg7.jpg'],1,0,18,['caturday'],[],https://twitter.com/caro/status/1211024831472455680,False,,1,https://pbs.twimg.com/media/EM5sqOMXUAIDtg7.jpg,,,,,,,[],,,,
1210878326371278849,1210878326371278849,2019-12-28 16:31:04 IST,2019-12-28,16:31:04,+0530,1186690631525109760,victori40350105,Victoria,,"Pip’s phonic: Letter “C” sound and the vocabulary that starts with c, such as: Cat🐈   caterpillar 🐛  Clown 🤡  Clock ⏰  etc.... @mduranoznacar @gkhnsntrkbk @BkOmerli @delibas_esin  https://t.co/uFpRZMoKdF",en,"[{'screen_name': 'mduranoznacar', 'name': 'mehmet duran öznacar', 'id': '223508633'}, {'screen_name': 'gkhnsntrkbk', 'name': 'gökhan şentürk', 'id': '1030184223720828929'}, {'screen_name': 'bkomerli', 'name': 'bk ömerli kampüsü', 'id': '964770782823047168'}, {'screen_name': 'delibas_esin', 'name': 'esin delibaş', 'id': '1063077875832811520'}]",[],"['https://pbs.twimg.com/media/EM3nWvKXUAAc930.jpg', 'https://pbs.twimg.com/media/EM3nWvCWsAAa88c.jpg', 'https://pbs.twimg.com/media/EM3nWwiWwAIK8jm.jpg', 'https://pbs.twimg.com/media/EM3nWxiX0AIJ9x4.jpg']",0,3,11,[],[],https://twitter.com/Victori40350105/status/1210878326371278849,False,,1,https://pbs.twimg.com/media/EM3nWvKXUAAc930.jpg,,,,,,,[],,,,
1210624910386593792,1210624910386593792,2019-12-27 23:44:05 IST,2019-12-27,23:44:05,+0530,1928423965,coach_jsanders,Joel Sanders,,Alternative language for Cat/Cow   Caterpillar 🐛   This cue simply “clicks” faster. It also gets athletes rolling through each segment rather than just hitting the end range positions.,en,[],[],[],0,0,9,[],[],https://twitter.com/Coach_JSanders/status/1210624910386593792,False,,0,,,,,,,,[],,,,
1210191111026827264,1210191111026827264,2019-12-26 19:00:19 IST,2019-12-26,19:00:19,+0530,2157701257,holt_cat,HOLT_CAT,,In 1964 Caterpillar employees and their families attend the first Power Parade. While there isn't a video from that parade check out this clip from the spectacular show in 1972. #ThrowbackThursday #HOLTCAT  https://t.co/IDckXectgs,en,[],[],[],0,1,5,"['throwbackthursday', 'holtcat']",[],https://twitter.com/HOLT_CAT/status/1210191111026827264,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1210191044312289280/pu/img/K2rrrwgpG1DszCg4.jpg,,,,,,,[],,,,
1209910895826145280,1209910895826145280,2019-12-26 00:26:51 IST,2019-12-26,00:26:51,+0530,216638006,tracybhamra,Tracy Bhamra,,"This sums up Christmas in our house today, cat hiding in discarded wrapping paper, yorkshire puddings and a Christmas Colin the Caterpillar. Hope you've all had a relaxing day!  https://t.co/f6maISzgwo",en,[],[],"['https://pbs.twimg.com/media/EMp3g-SXUAExWmb.jpg', 'https://pbs.twimg.com/media/EMp3hnDXUAAA7pw.jpg', 'https://pbs.twimg.com/media/EMp3iazWsAAU12W.jpg']",1,0,19,[],[],https://twitter.com/tracybhamra/status/1209910895826145280,False,,1,https://pbs.twimg.com/media/EMp3g-SXUAExWmb.jpg,,,,,,,[],,,,
1209565736034799616,1209565736034799616,2019-12-25 01:35:18 IST,2019-12-25,01:35:18,+0530,1901295914,knox_x_x_x,Karen Knox,,Told my uncle I was playing a cat burglar in a film in the new year and he thought I said caterpillar. I did not correct him.,en,[],[],[],0,2,80,[],[],https://twitter.com/knox_x_x_x/status/1209565736034799616,False,,0,,,,,,,,[],,,,
1209355625492295681,1209355625492295681,2019-12-24 11:40:24 IST,2019-12-24,11:40:24,+0530,1073629855642804224,dyeor_,‏ً,,i was eating boiled broccoli when i noticed that a dead caterpillar was lying in it. this poor creature just ruined my favorite meal n im cryin cos i killed a damn cat er pill arreghgsh  https://t.co/XPDBE82oA2,en,[],[],[],3,0,9,[],[],https://twitter.com/dyeor_/status/1209355625492295681,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1081684505847582721/pu/img/J4eGOFKjXtu1QGBB.jpg,,,,,,,[],,,,
1209283547694919680,1209283547694919680,2019-12-24 06:53:59 IST,2019-12-24,06:53:59,+0530,226965022,gaserranos,Gabriel Serrano,,Video: Mexican Navy POLA-Class ARM ‘Reformador’ Completes Acceptance Trials   https://t.co/SeuURzXvbc  #SEMAR #Marina #Mexico #Navy #MexicanNavy #POLA #Reformador #POLA101 #Damen #Thales #BAESystems #Boeing #Bofors #CAT #Caterpillar #Harris #Indar #Indra #Man #Navantia #Raytheon,en,[],['https://www.navalnews.com/naval-news/2019/12/video-mexican-navy-pola-class-arm-reformador-completes-acceptance-trials/'],[],0,7,17,"['semar', 'marina', 'mexico', 'navy', 'mexicannavy', 'pola', 'reformador', 'pola101', 'damen', 'thales', 'baesystems', 'boeing', 'bofors', 'cat', 'caterpillar', 'harris', 'indar', 'indra', 'man', 'navantia', 'raytheon']",[],https://twitter.com/gaserranos/status/1209283547694919680,False,,0,,,,,,,,[],,,,
1208555258701590528,1208555258701590528,2019-12-22 06:40:02 IST,2019-12-22,06:40:02,+0530,17213939,adriennefriend,adriennefriend,,"my baby cat is throwing her toys for herself, and just winked at me. she's attacking an old maroon bow, a caterpillar with bright tufty fur, and a weird orange crab with too-big legs. she just jumped up into my lap, purring.  so, despite being sick, I'm having a great evening.",en,[],[],[],2,0,25,[],[],https://twitter.com/adriennefriend/status/1208555258701590528,False,,0,,,,,,,,[],,,,
