id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1195817017435144193,1195817017435144193,2019-11-17 03:02:48 IST,2019-11-17,03:02:48,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$CBOE CBOE Global Markets ... Breaking out of the pennant. A decent amount left if it wants to get back to Jan 2018 highs.  https://t.co/ab4tD56378,en,[],[],['https://pbs.twimg.com/media/EJhlPOaXkAUY64B.jpg'],1,4,28,[],['cboe'],https://twitter.com/the_chart_life/status/1195817017435144193,False,,1,https://pbs.twimg.com/media/EJhlPOaXkAUY64B.jpg,,,,,,,[],,,,
1182632070503391237,1182632070503391237,2019-10-11 17:50:32 IST,2019-10-11,17:50:32,+0530,939560338248339456,robinbullbets,RobinBullBets,,"Cboe Global Markets Successfully Completes Major Technology Integration, Next Innovations Underway  - Migration completion unifies all Cboe options, equities, and futures markets onto single state-of-the-art technology platform  https://t.co/UnZLl28doa",en,[],['https://www.prnewswire.com/news-releases/cboe-global-markets-successfully-completes-major-technology-integration-next-innovations-underway-300934188.html?utm_campaign=Fintech%20-%20BZ%20Fintech%20Daily%20Beat&utm_source=hs_email&utm_medium=email&utm_content=77943178&_hsenc=p2ANqtz--GrCANmL4MerZENixEQI-Ky5aaIlKEB8LUUoW-0mCah0Jj7RHlw3bdR-liC_eDe5cMof2nfoFm0pxhiERYWboxTdpxow&_hsmi=77943178'],[],1,5,6,[],[],https://twitter.com/RobinBullBets/status/1182632070503391237,False,,0,,,,,,,,[],,,,
1181665542882648064,1181665542882648064,2019-10-09 01:49:54 IST,2019-10-09,01:49:54,+0530,16827489,cboe,Cboe,,"Cboe Global Markets Successfully Completes Major Technology Integration, Next Innovations Underway. See the press release,  https://t.co/QOFDTt3tGU. #definingmarkets  https://t.co/XoKecJbxSE",en,[],['https://bddy.me/2pYLGP5'],['https://pbs.twimg.com/media/EGYei2CXoAAFRdU.jpg'],1,2,5,['definingmarkets'],[],https://twitter.com/CBOE/status/1181665542882648064,False,,1,https://pbs.twimg.com/media/EGYei2CXoAAFRdU.jpg,,,,,,,[],,,,
1174006689252687872,1174006689252687872,2019-09-17 22:36:21 IST,2019-09-17,22:36:21,+0530,7313362,chicagotribune,Chicago Tribune,,Another major Chicago business is moving its headquarters to the Old Post Office: Cboe Global Markets  https://t.co/q8r81dxZbH,en,[],['https://trib.al/ssYB58n'],[],1,6,14,[],[],https://twitter.com/chicagotribune/status/1174006689252687872,False,,0,,,,,,,,[],,,,
1159346154548682752,1128435572568145921,2019-08-08 11:40:37 IST,2019-08-08,11:40:37,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$CBOE CBOE Global Markets ...Strong move stays strong. Still a few more bucks until the next area of resistance around $125.  https://t.co/1Lco45yeed,en,[],[],['https://pbs.twimg.com/media/EBbTLh3XsAEp14-.jpg'],0,0,6,[],['cboe'],https://twitter.com/the_chart_life/status/1159346154548682752,False,,1,https://pbs.twimg.com/media/EBbTLh3XsAEp14-.jpg,,,,,,,[],,,,
1157512169086435329,1157512169086435329,2019-08-03 10:13:01 IST,2019-08-03,10:13:01,+0530,7313362,chicagotribune,Chicago Tribune,,"Cboe Global Markets is nearing a deal to move its headquarters to the Old Post Office redevelopment along the Chicago River, which will open for tenants later this year.  https://t.co/COyHVjzOwV",en,[],['https://trib.al/RhnesNR'],[],2,4,9,[],[],https://twitter.com/chicagotribune/status/1157512169086435329,False,,0,,,,,,,,[],,,,
1143638163858108417,1142082275464687617,2019-06-26 03:22:40 IST,2019-06-26,03:22:40,+0530,79231168,pietercleppe,Pieter Cleppe,,"London-based trading venues run by UBS Group AG, Aquis Exchange Plc and CBOE Global Markets Inc. warn clients they will exclude securities by Swiss issuers starting next week if Switzerland is left to defend its stock market against punitive EU measures:  https://t.co/agxLUig1ZP",en,[],['https://www.swissinfo.ch/eng/bloomberg/swiss-spat-with-eu-prompts-london-curbs-on-country-s-shares/45054578'],[],5,26,24,[],[],https://twitter.com/pietercleppe/status/1143638163858108417,False,,0,,,,,,,,[],,,,
1137084598297550848,1137084598297550848,2019-06-08 01:21:08 IST,2019-06-08,01:21:08,+0530,540084285,cmoh_society,Congressional Medal of Honor Society,,"Medal of Honor Recipients Pat Brady, Sammy Davis, Melvin Morris and Bob Patterson rang the opening bell at Cboe Global Markets in Chicago today. 20 Medal of Honor Recipients are in Chicago for the Salute to the Medal of Honor. #SaluteChicago.  https://t.co/L5pMZTuKFD",en,[],[],"['https://pbs.twimg.com/media/D8e8aCRXkAY0uc1.jpg', 'https://pbs.twimg.com/media/D8e8aWjXsAEoeMw.jpg']",0,8,24,['salutechicago'],[],https://twitter.com/CMOH_Society/status/1137084598297550848,False,,1,https://pbs.twimg.com/media/D8e8aCRXkAY0uc1.jpg,,,,,,,[],,,,
1128435572568145921,1128435572568145921,2019-05-15 04:33:00 IST,2019-05-15,04:33:00,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$CBOE CBOE Global Markets ...Breaking through the DTL.  https://t.co/hGbEg2G2Ee,en,[],[],['https://pbs.twimg.com/media/D6kCJFGW0Ac3maR.png'],2,1,18,[],['cboe'],https://twitter.com/the_chart_life/status/1128435572568145921,False,,1,https://pbs.twimg.com/media/D6kCJFGW0Ac3maR.png,,,,,,,[],,,,
1115422717941936128,1115422717941936128,2019-04-09 06:44:34 IST,2019-04-09,06:44:34,+0530,930931380703305729,bitcoinmktjrnl,Bitcoin Market Journal,"{'type': 'Point', 'coordinates': [42.359305, -71.04309082]}",Cryptocurrency ETFs: What They Are and How to Invest in 2019: The recent news that Cboe Global Markets may be abandoning the crypto futures market reflects the challenges in green-lighting crypto exchange-traded funds. Cboe has announced it will…  https://t.co/eERaBAZQ2X #BMJ  https://t.co/VvDW8PoPG5,en,[],['http://bitly.com/2WUcN8X'],['https://pbs.twimg.com/media/D3rHDQtU4AARe5V.jpg'],0,2,7,['bmj'],[],https://twitter.com/BitcoinMktJrnl/status/1115422717941936128,False,,1,https://pbs.twimg.com/media/D3rHDQtU4AARe5V.jpg,,,,,,,[],,,,
