id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1192521909176393728,1192521909176393728,2019-11-08 00:49:13 IST,2019-11-08,00:49:13,+0530,21323268,nyse,NYSE 🏛,,"Chipotle Mexican Grill (NYSE: $CMG) has announced that they will be providing access to mental healthcare and financial wellness for more than 80,000 employees in 2020 through Employee Assistance Programs and enhanced benefits offerings",en,[],[],[],3,6,15,[],['cmg'],https://twitter.com/NYSE/status/1192521909176393728,False,,0,,,,,,,,[],,,,
1186974119574884353,1186974119574884353,2019-10-23 17:24:17 IST,2019-10-23,17:24:17,+0530,59393368,livesquawk,LiveSquawk,,Morgan Stanley Raises PT On Chipotle Mexican Grill To $797 From $746  $CMG,en,[],[],[],3,6,11,[],['cmg'],https://twitter.com/LiveSquawk/status/1186974119574884353,False,,0,,,,,,,,[],,,,
1186757606854942721,1186757606854942721,2019-10-23 03:03:57 IST,2019-10-23,03:03:57,+0530,913260122004086784,kessanman,米国株 決算マン,,チポトレ・メキシカン・グリル決算 Chipotle Mexican Grill (NYSE:CMG) Q3'19 EPS(Non-GAAP) $3.82 予想＋$0.60 売上 $1.4B (+14.6% Y/Y) 予想＋$20M  既存店売上高11%増(予:9.3%増) デジタル売上高+87.9%  時間外株価は一時プラスも-1.4%(now)  https://t.co/hUNSwwBIWT  https://t.co/4BnqiKuYPg,ja,[],['https://ir.chipotle.com/2019-10-22-Chipotle-Announces-Third-Quarter-2019-Results'],['https://pbs.twimg.com/media/EHg1dwHUYAEvfh3.png'],0,1,21,[],[],https://twitter.com/KessanMan/status/1186757606854942721,False,,1,https://pbs.twimg.com/media/EHg1dwHUYAEvfh3.png,,,,,,,[],,,,
1186737936609492992,1186737936609492992,2019-10-23 01:45:47 IST,2019-10-23,01:45:47,+0530,26574283,cnbcnow,CNBC Now,,EARNINGS: Chipotle Mexican Grill Q3 EPS $3.82 Adj. vs. $3.22 Est.; Q3 Revs. $1.40B vs. $1.38B Est. • $CMG   https://t.co/J5lalYEMPx  https://t.co/IGQomG18PS,en,[],['https://cnb.cx/2PcQc6T'],['https://pbs.twimg.com/media/EHgjzaxW4AINaxU.jpg'],3,11,15,[],['cmg'],https://twitter.com/CNBCnow/status/1186737936609492992,False,,1,https://pbs.twimg.com/media/EHgjzaxW4AINaxU.jpg,,,,,,,[],,,,
1186473555363581959,1186473555363581959,2019-10-22 08:15:13 IST,2019-10-22,08:15:13,+0530,563084750,traderscom,Traders Community,,"Tuesday $SPX $NDX $DJIA Earnings Include: McDonald’s $MCD Kimberly-Clark $KMB United Technologies $UTX Chipotle Mexican Grill $CMG $UPS Procter &amp; Gamble $PG Travelers $TRV Centene $CNC Lockheed Martin $LMT, Discover $DFS Hasbro $HAS  https://t.co/IcHu6oaLv5  https://t.co/wlUHXktWuL",en,[],['https://traderscommunity.com/index.php/market-talk/1777-market-weekly-october-20-26-2019'],['https://pbs.twimg.com/media/EHczaCNXYAMgJ7c.jpg'],0,4,9,[],"['spx', 'ndx', 'djia', 'mcd', 'kmb', 'utx', 'cmg', 'ups', 'pg', 'trv', 'cnc', 'lmt', 'dfs', 'has']",https://twitter.com/TradersCom/status/1186473555363581959,False,,1,https://pbs.twimg.com/media/EHczaCNXYAMgJ7c.jpg,,,,,,,[],,,,
1185338587505545216,1185338587505545216,2019-10-19 05:05:16 IST,2019-10-19,05:05:16,+0530,15808764,danfitzpatrick,"Stock Market Mentor, LLC",,Looking for a two day trade? #Chipotle Mexican Grill $CMG just might be what you’re looking for. Watch the rest of the video here:  https://t.co/qxmoO5S94U  https://t.co/1zMBiSZYIj,en,[],['https://stockmarketmentor.com/2019/10/looking-for-a-two-day-trade-chipotle-mexican-grill-cmg-just-might-be-what-youre-looking-for-october-18-2019/'],[],0,2,10,['chipotle'],['cmg'],https://twitter.com/DanFitzpatrick/status/1185338587505545216,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1185338531771637760/pu/img/U1mhS9MIj1nIetjz.jpg,,,,,,,[],,,,
1179052012392128513,1179052012392128513,2019-10-01 20:44:40 IST,2019-10-01,20:44:40,+0530,138778107,irvingcortes,Irving Cortés,,"La acción de Chipotle Mexican Grill $CMG ha subido 89% en 2019 y 225% desde que tomó posesión el CEO Brian Niccol, este cuatrimestre reportó incremento en ventas en tienda, online y ordenes desde el celular. #TRMX  https://t.co/KGYOJUy4lH",es,[],[],['https://pbs.twimg.com/media/EFzVjV0X0AEoka7.png'],0,1,6,['trmx'],['cmg'],https://twitter.com/IrvingCortes/status/1179052012392128513,False,,1,https://pbs.twimg.com/media/EFzVjV0X0AEoka7.png,,,,,,,[],,,,
1173932947608674306,1173932947608674306,2019-09-17 17:43:19 IST,2019-09-17,17:43:19,+0530,114782468,carlquintanilla,Carl Quintanilla,,"Sept 17 (Reuters) - Chipotle Mexican Grill Inc:   * INTRODUCING NEW STEAK OPTION, CARNE ASADA, NATIONALLY ON SEPTEMBER 19   $CMG",en,[],[],[],6,9,64,[],['cmg'],https://twitter.com/carlquintanilla/status/1173932947608674306,False,,0,,,,,,,,[],,,,
1171027661705089024,1171027661705089024,2019-09-09 17:18:45 IST,2019-09-09,17:18:45,+0530,801116888,cfromhertz,Christian Fromhertz,,$CMG Chipotle Upgraded to Outperform at Wedbush; PT $980  Wedbush  upgraded the recommendation on Chipotle Mexican Grill Inc. to outperform from neutral. PT raised to $980 from $780,en,[],[],[],3,7,12,[],['cmg'],https://twitter.com/cfromhertz/status/1171027661705089024,False,,0,,,,,,,,[],,,,
1169641342999261185,1169641342999261185,2019-09-05 21:30:01 IST,2019-09-05,21:30:01,+0530,20119344,greenbackd,Tobias Carlisle,,"Top positions in Bill Ackman 6-30-2019 portfolio ($6.7bb): 1. $CMG / Chipotle Mexican Grill $1.3bb 2. $QSR / Restaurant Brands International $1.1bb 3. $HLT / Hilton Worldwide $1.1bb 4. $LOW / Lowe’s Companies $898mm 5. $SBUX / Starbucks $781mm 6. $BRK.B / Berkshire, $749mm 7. ...",en,[],[],[],2,2,14,[],"['cmg', 'qsr', 'hlt', 'low', 'sbux', 'brk.b']",https://twitter.com/Greenbackd/status/1169641342999261185,False,https://twitter.com/acquirersx/status/1169553008549662720,0,,,,,,,,[],,,,
1169548604219908098,1169534184546680832,2019-09-05 15:21:31 IST,2019-09-05,15:21:31,+0530,15223409,raysawhill,Ray Sawhill,,“America's departure from the traditional family model also means more business for fast-casual restaurants like Chipotle Mexican Grill (CMG) and Starbucks (SBUX).“,en,[],[],[],0,0,6,[],[],https://twitter.com/raysawhill/status/1169548604219908098,False,,0,,,,,,,,[],,,,
1153773360641273856,1153773360641273856,2019-07-24 02:36:19 IST,2019-07-24,02:36:19,+0530,913260122004086784,kessanman,米国株 決算マン,,チポトレ・メキシカン・グリル決算 Chipotle Mexican Grill (NYSE:CMG) Q2'19 EPS(Non-GAAP) $3.99 予想 +$0.23 売上 $1.43B (+13.2% Y/Y) 予想 +$20M  (トータル店舗数はまだ増加しているが)不採算店舗の整理の結果も出て、既存店売上高+10%  株価は時間外で+3.6%  https://t.co/LvrSFXz9pS  https://t.co/mIaN9QenGY,ja,[],['https://ir.chipotle.com/2019-07-23-Chipotle-Announces-Second-Quarter-2019-Results'],['https://pbs.twimg.com/media/EAMGPfCUwAA9yLW.png'],1,4,14,[],[],https://twitter.com/KessanMan/status/1153773360641273856,False,,1,https://pbs.twimg.com/media/EAMGPfCUwAA9yLW.png,,,,,,,[],,,,
1153759902667595776,1153759902667595776,2019-07-24 01:42:51 IST,2019-07-24,01:42:51,+0530,26574283,cnbcnow,CNBC Now,,EARNINGS: Chipotle Mexican Grill Q2 EPS $3.99 Adj. vs. $3.76 Est.; Q2 Revs. $1.43B vs. $1.41B Est. • $CMG pop 5% after-hours  https://t.co/0rfNIuqNVF  https://t.co/UKOTW0Hidb,en,[],['https://cnb.cx/2Yl393O'],['https://pbs.twimg.com/media/EAL6aI2XkAITi_x.jpg'],10,47,82,[],['cmg'],https://twitter.com/CNBCnow/status/1153759902667595776,False,,1,https://pbs.twimg.com/media/EAL6aI2XkAITi_x.jpg,,,,,,,[],,,,
