id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1183778295491379201,1183778295491379201,2019-10-14 21:45:13 IST,2019-10-14,21:45:13,+0530,20119344,greenbackd,Tobias Carlisle,,"Rolfe argues that Berkshire missed investing big in several major winners that “should have been in Buffett’s wheelhouse.” He cites Visa ($V), Mastercard ($MA), Costco Wholesale ($COST), and Microsoft ($MSFT).",en,[],[],[],25,4,67,[],[],https://twitter.com/Greenbackd/status/1183778295491379201,False,https://twitter.com/barronsonline/status/1183777745685417984,0,,,,,,,,[],,,,
1180109189508718592,1180109189508718592,2019-10-04 18:45:30 IST,2019-10-04,18:45:30,+0530,44366481,hulkcapital,HULK👊,,$COST Bank of America maintains Costco Wholesale with a Buy and raises the price target from $310 to $320.,en,[],[],[],1,5,19,[],['cost'],https://twitter.com/HulkCapital/status/1180109189508718592,False,,0,,,,,,,,[],,,,
1179869608590938118,1179869608590938118,2019-10-04 02:53:30 IST,2019-10-04,02:53:30,+0530,16732770,cnbcfastmoney,CNBC's Fast Money,,Costco Wholesale hit by a wave of after-hours selling following tariff comments on its earnings call. @LesliePicker has the details. $COST  https://t.co/9HH8yTO5KN,en,"[{'screen_name': 'lesliepicker', 'name': 'leslie picker', 'id': '87098546'}]",[],[],4,5,14,[],['cost'],https://twitter.com/CNBCFastMoney/status/1179869608590938118,False,,1,https://pbs.twimg.com/media/EF-9J2FXUAI1Bva.jpg,,,,,,,[],,,,
1179852653867782144,1179852653867782144,2019-10-04 01:46:07 IST,2019-10-04,01:46:07,+0530,44366481,hulkcapital,HULK👊,,"$COST Costco Wholesale Q4 Adj. EPS $2.69 Beats $2.54 Estimate, Sales $46.45B Miss $47.61B Estimate",en,[],[],[],6,8,10,[],['cost'],https://twitter.com/HulkCapital/status/1179852653867782144,False,,0,,,,,,,,[],,,,
1170755565523472384,1170755565523472384,2019-09-08 23:17:33 IST,2019-09-08,23:17:33,+0530,44366481,hulkcapital,HULK👊,,Costco Wholesale $COST PT Raised to $325.00 at Robert W. Baird  https://t.co/ZLO4hi6mBf,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/ED9b-p2WsAAsn7P.jpg'],0,2,19,[],['cost'],https://twitter.com/HulkCapital/status/1170755565523472384,False,,1,https://pbs.twimg.com/tweet_video_thumb/ED9b-p2WsAAsn7P.jpg,,,,,,,[],,,,
1166754933061894145,1139385564975652866,2019-08-28 22:20:27 IST,2019-08-28,22:20:27,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$COST Costco Wholesale Corp. ...Monster.  https://t.co/wJd1zKm0MK,en,[],[],['https://pbs.twimg.com/media/EDElbFnXUAACdpz.jpg'],1,1,9,[],['cost'],https://twitter.com/the_chart_life/status/1166754933061894145,False,,1,https://pbs.twimg.com/media/EDElbFnXUAACdpz.jpg,,,,,,,[],,,,
1146662833662386176,1139385564975652866,2019-07-04 11:41:38 IST,2019-07-04,11:41:38,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$COST Costco Wholesale Corp. ...Really running hard.  https://t.co/qAUcP4WHX8,en,[],[],['https://pbs.twimg.com/media/D-nDuTAXoAAs5yF.jpg'],3,4,8,[],['cost'],https://twitter.com/the_chart_life/status/1146662833662386176,False,,1,https://pbs.twimg.com/media/D-nDuTAXoAAs5yF.jpg,,,,,,,[],,,,
1122209571861422080,1122209571861422080,2019-04-28 00:13:06 IST,2019-04-28,00:13:06,+0530,2723696479,dividendhike,dividend hike,,Costco Wholesale hikes dividend by 14.0 percent to 65 cents quarterly. $COST,en,[],[],[],0,1,15,[],['cost'],https://twitter.com/dividendhike/status/1122209571861422080,False,,0,,,,,,,,[],,,,
1114136650123055104,1114136650123055104,2019-04-05 17:34:11 IST,2019-04-05,17:34:11,+0530,44366481,hulkcapital,HULK👊,,"Costco Wholesale Co. $COST Director Acquires $727,950.00 in Stock.   I’m super bullish this stock if you haven’t noticed.  https://t.co/YJIOBm0da7",en,[],[],['https://pbs.twimg.com/media/D3Y1XknU8AADrC-.jpg'],0,1,12,[],['cost'],https://twitter.com/HulkCapital/status/1114136650123055104,False,,1,https://pbs.twimg.com/media/D3Y1XknU8AADrC-.jpg,,,,,,,[],,,,
1103774510006722560,1103774510006722560,2019-03-08 03:18:44 IST,2019-03-08,03:18:44,+0530,913260122004086784,kessanman,米国株 決算マン,,コストコ決算 Costco Wholesale (NASDAQ:COST) Q2 EPS $2.01 予想 +$0.31 売上 $35.4B (+7.3% Y/Y) 予想 -$280M  既存店売上高(調整後) +6.7%  株価は時間外で+3.7%  現在の店舗数(倉庫)770 (米国535店舗)  https://t.co/7arlJX7Xvy  https://t.co/cFj7lTwMjC,ja,[],['http://phx.corporate-ir.net/phoenix.zhtml?c=83830&p=irol-newsArticle&ID=2390584'],['https://pbs.twimg.com/media/D1FlD21VsAI5X3K.png'],1,10,34,[],[],https://twitter.com/KessanMan/status/1103774510006722560,False,,1,https://pbs.twimg.com/media/D1FlD21VsAI5X3K.png,,,,,,,[],,,,
