id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1205155348601925640,1205155348601925640,2019-12-12 21:30:00 IST,2019-12-12,21:30:00,+0530,20119344,greenbackd,Tobias Carlisle,,"Malone bought $75 million of Discovery $DISCA. And he said, “I ran my favorite screen, levered free cash flow and market cap, and, surprise, the top name is Discovery. So I bought $75 million worth."" Clearly he knows the business really well. But that’s a very simple approach.",en,[],[],[],2,6,48,[],['disca'],https://twitter.com/Greenbackd/status/1205155348601925640,False,https://twitter.com/acquirersx/status/1205053121136857089,0,,,,,,,,[],,,,
1199335946467983360,1199335946467983360,2019-11-26 20:05:46 IST,2019-11-26,20:05:46,+0530,287441095,ardavanh,Ardavan Homayounfar,,Very interesting interview with Discovery CEO David Zaslov: “We are not competing with other streaming content. People watch those to lose themselves. People watch our content to find themselves” $DISCA  https://t.co/u8uJA8ExYX,en,[],['https://finance.yahoo.com/news/discovery-ceo-predicts-carnage-in-streaming-wars-141300542.html'],[],0,2,7,[],['disca'],https://twitter.com/ArdavanH/status/1199335946467983360,False,,0,,,,,,,,[],,,,
1197596260729020416,1197596260729020416,2019-11-22 00:52:53 IST,2019-11-22,00:52:53,+0530,140912249,davidfaber,David Faber,,The market may not love shares of Discovery (up 6% this year) but John Malone keeps buying. $DISCA  https://t.co/HuligAAKrd,en,[],[],[],4,2,30,[],['disca'],https://twitter.com/davidfaber/status/1197596260729020416,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1197595500578512902/pu/img/1t01S0PHEVe1KgMd.jpg,,,,,,,[],,,,
1180233734605414401,1180233734605414401,2019-10-05 03:00:24 IST,2019-10-05,03:00:24,+0530,14992263,richlightshed,"Rich Greenfield, LightShed",,"Discovery's ""Zaslav used to talk about creating the “Netflix of Sports” in Europe, but Discovery quickly realized that a far better strategy was to go deep into an individual sport and super-serve a niche sport"" $DISCA $DIS  https://t.co/BLN2TLqGin  https://t.co/hLXphaiGEm",en,[],['https://lightshedtmt.com/2019/10/04/niche-is-still-niche-no-matter-how-many-sports-you-throw-into-an-svod-bundle/'],['https://pbs.twimg.com/media/EGEIUuNUwAAofVe.jpg'],0,5,17,[],"['disca', 'dis']",https://twitter.com/RichLightShed/status/1180233734605414401,False,,1,https://pbs.twimg.com/media/EGEIUuNUwAAofVe.jpg,,,,,,,[],,,,
1177337956429893632,1177337956429893632,2019-09-27 03:13:37 IST,2019-09-27,03:13:37,+0530,14992263,richlightshed,"Rich Greenfield, LightShed",,Discovery launching purpose-built utility to cook with famous chefs (from @gzchef to @KatieLeeKitchen to @bflay to YouTubers) in your kitchen powered by #Alexa voice control -- leveraging a brand that consumers know and trust  @FoodNetwork $DISCA cc: @peterfaricy  https://t.co/ki4FPk41Bj,en,"[{'screen_name': 'gzchef', 'name': 'geoffrey zakarian', 'id': '164122774'}, {'screen_name': 'katieleekitchen', 'name': 'katie lee', 'id': '23552214'}, {'screen_name': 'bflay', 'name': 'bobby flay', 'id': '27091468'}, {'screen_name': 'foodnetwork', 'name': 'food network', 'id': '20710809'}, {'screen_name': 'peterfaricy', 'name': 'peter faricy', 'id': '289288757'}]",[],['https://pbs.twimg.com/media/EFa-oPUXkAAA1SI.jpg'],0,0,10,['alexa'],['disca'],https://twitter.com/RichLightShed/status/1177337956429893632,False,,1,https://pbs.twimg.com/media/EFa-oPUXkAAA1SI.jpg,,,,,,,[],,,,
1171907028983435269,1171907028983435269,2019-09-12 03:33:03 IST,2019-09-12,03:33:03,+0530,3308427048,profgemmell,Neil Gemmell,,$DISCA Discovery : Travel Channel Reveals the Top Six Most Jaw-Dropping Loch Ness Monster Scandals of All Time - ...  https://t.co/AYoquuo1kj,en,[],['https://www.marketscreener.com/DISCOVERY-INC-9015/news/Discovery-Travel-Channel-Reveals-the-Top-Six-Most-Jaw-Dropping-Loch-Ness-Monster-Scandals-of-All-T-29182798/'],[],0,0,6,[],['disca'],https://twitter.com/ProfGemmell/status/1171907028983435269,False,,0,,,,,,,,[],,,,
1162428583635312641,1162428581915648001,2019-08-16 23:49:05 IST,2019-08-16,23:49:05,+0530,14992263,richlightshed,"Rich Greenfield, LightShed",,worth noting the idea of zigging while everyone else zags ties to how David Zaslav has tried to position Discovery over the past 18 months.  $DISCA,en,[],[],[],0,0,7,[],['disca'],https://twitter.com/RichLightShed/status/1162428583635312641,False,,0,,,,,,,,[],,,,
1158721418143703040,1158721418143703040,2019-08-06 18:18:08 IST,2019-08-06,18:18:08,+0530,14992263,richlightshed,"Rich Greenfield, LightShed",,"Discovery increasing ad load per Q2 2019 release 👀👇 $DISCA   “The increase in advertising revenues was primarily driven by increases in pricing and, to a lesser extent, inventory”  https://t.co/r1iylGEnVN",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EBSa_BOXkAAvADB.jpg'],3,1,8,[],['disca'],https://twitter.com/RichLightShed/status/1158721418143703040,False,,1,https://pbs.twimg.com/tweet_video_thumb/EBSa_BOXkAAvADB.jpg,,,,,,,[],,,,
1158717442513874946,1158717442513874946,2019-08-06 18:02:20 IST,2019-08-06,18:02:20,+0530,14992263,richlightshed,"Rich Greenfield, LightShed",,Discovery the rare legacy media company whose cable net sub trends are improving (for now) due to new carriage deals on @YouTubeTV @hulu and expansion on @Sling  $DISCA  https://t.co/41Xh8CIgHz,en,"[{'screen_name': 'youtubetv', 'name': 'youtube tv', 'id': '803263807489536000'}, {'screen_name': 'hulu', 'name': 'hulu', 'id': '15033883'}, {'screen_name': 'sling', 'name': 'sling', 'id': '175409819'}]",[],['https://pbs.twimg.com/media/EBSXXyiWwAUPBCw.jpg'],1,2,6,[],['disca'],https://twitter.com/RichLightShed/status/1158717442513874946,False,,1,https://pbs.twimg.com/media/EBSXXyiWwAUPBCw.jpg,,,,,,,[],,,,
1156263156991307777,1156263156991307777,2019-07-30 23:29:53 IST,2019-07-30,23:29:53,+0530,18639734,nasdaq,Nasdaq,,🦈A friendly reminder as we kick off #SharkWeek with our friends at @Discovery at the Closing Bell today. 🔔  $DISCA  https://t.co/VDlWMV9mIY,en,"[{'screen_name': 'discovery', 'name': 'discovery', 'id': '17842366'}]",[],['https://pbs.twimg.com/media/EAvfNQLWkAEU5Lu.jpg'],1,5,13,['sharkweek'],['disca'],https://twitter.com/Nasdaq/status/1156263156991307777,False,,1,https://pbs.twimg.com/media/EAvfNQLWkAEU5Lu.jpg,,,,,,,[],,,,
