id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1202343548038762496,1202343548038762496,2019-12-05 03:16:54 IST,2019-12-05,03:16:54,+0530,1075142947270742016,cj_johnson17th,Wealth Squad Chris ♻️,,"Adding Twitter, Beyond Meat and Dollar Tree to my son’s portfolio   $DLTR $89.26 $TWTR $30.00 $BYND $73.89",en,[],[],[],15,6,98,[],"['dltr', 'twtr', 'bynd']",https://twitter.com/CJ_Johnson17th/status/1202343548038762496,False,,0,,,,,,,,[],,,,
1200807258625650688,1200807258625650688,2019-11-30 21:32:15 IST,2019-11-30,21:32:15,+0530,857693619406467072,gualestrit,Gualestrit,,Ganancias en la última semana  🔺Arrowhead Pharma $ARWR +48.4% 🔺Nutanix $NTNX +27.5% 🔺Medicines Co $MDCO +22.8% 🔺Peloton $PTON +20.0% 🔺Zscaler $ZS +12.5%  🔻HP Enterprise $HPE -7.5% 🔻Palo Alto NW $PANW -8.0% 🔻Dell $DELL -9.6% 🔻Kirkland $KL -12.0% 🔻Dollar Tree $DLTR -16.1%,es,[],[],[],0,5,10,[],"['arwr', 'ntnx', 'mdco', 'pton', 'zs', 'hpe', 'panw', 'dell', 'kl', 'dltr']",https://twitter.com/gualestrit/status/1200807258625650688,False,,0,,,,,,,,[],,,,
1199451699183804416,1199451699183804416,2019-11-27 03:45:44 IST,2019-11-27,03:45:44,+0530,16732770,cnbcfastmoney,CNBC's Fast Money,,Dollar Tree and Best Buy are singing two different songs on tariffs. Who do you trust? $DLTR $BBY  https://t.co/PR2AjHA4Su,en,[],[],[],1,4,12,[],"['dltr', 'bby']",https://twitter.com/CNBCFastMoney/status/1199451699183804416,False,,1,https://pbs.twimg.com/media/EKVO9c-XYAEmhBA.jpg,,,,,,,[],,,,
1199379161665527808,1199379161665527808,2019-11-26 22:57:30 IST,2019-11-26,22:57:30,+0530,547139726,gretalwall,Greta Wall,,"#MarketWatch $DLTR plunges 16% after slashing holiday outlook.  Dollar Tree posted Q3 earnings of $1.08/share vs $1.13/share expected, $56.746 billion in revenue vs $56.742 billion expected.   Same store sales growth in line with estimates at 2.5%.",en,[],[],[],1,2,7,['marketwatch'],['dltr'],https://twitter.com/GretaLWall/status/1199379161665527808,False,,0,,,,,,,,[],,,,
1199355587005427713,1199355587005427713,2019-11-26 21:23:49 IST,2019-11-26,21:23:49,+0530,790546093,alantonelson,(((Alan Tonelson))),,Totally fascinating interview just now on #CNBC with #DollarTree's CEO on how #Trump's #China #tariffs are forcing the #retailer to become more efficient/productive.  $DLTR #tradewar #tariffshurt?,en,[],[],[],4,7,8,"['cnbc', 'dollartree', 'trump', 'china', 'tariffs', 'retailer', 'tradewar', 'tariffshurt']",['dltr'],https://twitter.com/AlanTonelson/status/1199355587005427713,False,,0,,,,,,,,[],,,,
1199309074183196673,1199309074183196673,2019-11-26 18:19:00 IST,2019-11-26,18:19:00,+0530,37718217,thedomino,Dominic Chu,,"Shares of Dollar Tree $DLTR -7% premarket after the discount retailer posts a profit and revenue beat, but its current quarter profit guidance falls short...due in part to the impact of tariffs, if they are fully implemented...   https://t.co/yWtC2s0isR  @cnbc",en,"[{'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}]",['https://www.cnbc.com/quotes/?symbol=dltr&qsearchterm=dltr'],[],1,2,7,[],['dltr'],https://twitter.com/TheDomino/status/1199309074183196673,False,,0,,,,,,,,[],,,,
1199099154707963905,1199099154707963905,2019-11-26 04:24:51 IST,2019-11-26,04:24:51,+0530,16732770,cnbcfastmoney,CNBC's Fast Money,,"Ahead of Dollar Tree earnings, XP Investments' Bonawyn Eison breaks down what investors expect. $DLTR  https://t.co/N9KZwWw6vU",en,[],[],[],0,5,17,[],['dltr'],https://twitter.com/CNBCFastMoney/status/1199099154707963905,False,,1,https://pbs.twimg.com/media/EKQOUrLW4AEL4dN.jpg,,,,,,,[],,,,
1172576914248220675,1172576914248220675,2019-09-13 23:54:56 IST,2019-09-13,23:54:56,+0530,758386485846544384,realwillmeade,Will Meade,,Dollar Tree $DLTR looks ready to explode. Do you know why LeBron James can't shop at Dollar Tree?  Because he only has 3 quarters,en,[],[],[],4,2,29,[],['dltr'],https://twitter.com/realwillmeade/status/1172576914248220675,False,,0,,,,,,,,[],,,,
1167039818603216896,1167039818603216896,2019-08-29 17:12:29 IST,2019-08-29,17:12:29,+0530,913260122004086784,kessanman,米国株 決算マン,,ダラーツリー決算 Dollar Tree (NASDAQ:DLTR) Q2'19 EPS $0.76 予想 +$0.01 　※会社予想レンジ$0.64~$0.73 売上 $5.74B (+3.9% Y/Y) 予想 +$20M  既存店売上高+2.4% 店舗数15115 (前年から42店舗純増)  ダラーゼネラルと2強のダラーストア大手。時間外株価+5.7%  https://t.co/zIw5fUtXCM  https://t.co/BfomIxRWey,ja,[],['https://www.dollartreeinfo.com/news-releases/news-release-details/dollar-tree-inc-reports-results-second-quarter-fiscal-2019'],"['https://pbs.twimg.com/media/EDIoN5WUcAAiL4h.png', 'https://pbs.twimg.com/media/EDIoO2DU0AMbTLQ.png']",0,3,18,[],[],https://twitter.com/KessanMan/status/1167039818603216896,False,,1,https://pbs.twimg.com/media/EDIoN5WUcAAiL4h.png,,,,,,,[],,,,
1166325070417006592,1166325070417006592,2019-08-27 17:52:20 IST,2019-08-27,17:52:20,+0530,2974029189,thevoz4real,Olivia Voz,,Stock market has a #drugproblem. Could $JNJ have settled for less? In the run-up OK Opioid trial $TEVA agreed to settle for $85m. Purdue Pharma $270m.   Side note: Dollar General and Dollar Tree fined $1.2 mil for selling expired drugs... $DG $DLTR.,en,[],[],[],2,3,8,['drugproblem'],"['jnj', 'teva', 'dg', 'dltr']",https://twitter.com/TheVoz4Real/status/1166325070417006592,False,,0,,,,,,,,[],,,,
1165297744019369984,1165297744019369984,2019-08-24 21:50:07 IST,2019-08-24,21:50:07,+0530,262183335,breadboxotc,Bread Box OTC Alerts,,"The most anticipated earnings releases scheduled for the week are Best Buy $BBY, Momo $MOMO, Okta $OKTA, Dollar General $DG, Veeva Systems #VEEV, ULTA Beauty $ULTA, OSI Systems $OSIS, Bilibili $BILI, Dollar Tree $DLTR, and Tiffany &amp; Co. $TIF.    https://t.co/T21SAaIRLQ  https://t.co/GjkxJzXOMC",en,[],['http://eps.sh/cal'],['https://pbs.twimg.com/media/ECv4HwyXoAIU3Wu.jpg'],0,8,9,['veev'],"['bby', 'momo', 'okta', 'dg', 'ulta', 'osis', 'bili', 'dltr', 'tif']",https://twitter.com/breadboxOTC/status/1165297744019369984,False,,1,https://pbs.twimg.com/media/ECv4HwyXoAIU3Wu.jpg,,,,,,,[],,,,
1134085888311537665,1134085888311537665,2019-05-30 18:45:20 IST,2019-05-30,18:45:20,+0530,1152105936,stockboardasset,Alastair Williamson,,"30 May - 09:14:48 AM  [RTRS] (DLTR.O) - DOLLAR TREE INC EXEC ON FAMILY DOLLAR -IN MAY, WE CLOSED 140 STORES, AND WE'LL CLOSE 150 BY THE END OF JULY  https://t.co/aYGzWYg0lJ",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/D70VGfUXkAESErY.jpg'],1,3,14,[],[],https://twitter.com/StockBoardAsset/status/1134085888311537665,False,,1,https://pbs.twimg.com/tweet_video_thumb/D70VGfUXkAESErY.jpg,,,,,,,[],,,,
1120336470739496960,1120336470739496960,2019-04-22 20:10:04 IST,2019-04-22,20:10:04,+0530,37718217,thedomino,Dominic Chu,,"10 S&amp;P 500 RECORD HIGHS so far in trading today, incl:  Microsoft $MSFT Procter &amp; Gamble $PG Union Pacific $UNP Norfolk Southern $NSC Waste Management $WM Dollar Tree $DLTR $MSCI Fastenal $FAST Global Payments $GPN Rollins $ROL  @cnbc",en,"[{'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}]",[],[],2,4,14,[],"['msft', 'pg', 'unp', 'nsc', 'wm', 'dltr', 'msci', 'fast', 'gpn', 'rol']",https://twitter.com/TheDomino/status/1120336470739496960,False,,0,,,,,,,,[],,,,
1114170214835470336,1114170214835470336,2019-04-05 19:47:34 IST,2019-04-05,19:47:34,+0530,37718217,thedomino,Dominic Chu,,"21 S&amp;P 500 RECORD HIGHS so far today, incl: Dollar General $DG Dollar Tree $DLTR O'Reilly Auto $ORLY  Starbucks $SBUX Costco $COST Ingersoll-Rand $IR Ecolab $ECL KLA Tencor $KLAC Dover $DOV Fastenal $FAST Tractor Supply $TSCO Etc  @cnbc",en,"[{'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}]",[],[],7,13,32,[],"['dg', 'dltr', 'orly', 'sbux', 'cost', 'ir', 'ecl', 'klac', 'dov', 'fast', 'tsco']",https://twitter.com/TheDomino/status/1114170214835470336,False,,0,,,,,,,,[],,,,
1113480627809136645,1113480627809136645,2019-04-03 22:07:23 IST,2019-04-03,22:07:23,+0530,104257356,briansozzi,Brian Sozzi,,Dollar Tree has secret cash -- here's where to find it @YahooFinance  https://t.co/u70p4JA379 $DLTR,en,"[{'screen_name': 'yahoofinance', 'name': 'yahoo finance', 'id': '19546277'}]",['https://yhoo.it/2Vh1OWL'],[],1,5,5,[],['dltr'],https://twitter.com/BrianSozzi/status/1113480627809136645,False,,0,,,,,,,,[],,,,
1103791557235245056,1103791557235245056,2019-03-08 04:26:29 IST,2019-03-08,04:26:29,+0530,957781891788296192,rickyanalog,RickyAnalog🐢,,Stress-free trade of the day was simply picking dollars up off the ground from the DollarTree! This thing had some major strength considering how bad the market was getting spanked. Swinging a piece to see if she wants higher. $DLTR  https://t.co/Ern9paXuSf,en,[],[],['https://pbs.twimg.com/media/D1F0kdgU8AEwgpd.jpg'],3,2,29,[],['dltr'],https://twitter.com/RickyAnalog/status/1103791557235245056,False,,1,https://pbs.twimg.com/media/D1F0kdgU8AEwgpd.jpg,,,,,,,[],,,,
1103791122512576513,1103791122512576513,2019-03-08 04:24:45 IST,2019-03-08,04:24:45,+0530,2409778663,rickyddigital,Ricky DDigital 🐢,,"$DLTR Trade - who TF said money doesn’t grow on trees? Sure as hell did today. DollarTree that is. 2nd day continuation play. Long from $100.49, sold 1/2 $102, 1/4 $103, and swinging the…  https://t.co/XXyXw7XIEq",en,[],['https://www.instagram.com/p/BuuX8yoFf3w/?utm_source=ig_twitter_share&igshid=3h81pxds88qo'],[],0,1,4,[],['dltr'],https://twitter.com/RickyDDigital/status/1103791122512576513,False,,0,,,,,,,,[],,,,
1103706924237885440,1103706924237885440,2019-03-07 22:50:11 IST,2019-03-07,22:50:11,+0530,14216123,jimcramer,Jim Cramer,,"I like the action in Dollar Tree ($DLTR) VMWare ($VMW) Palo Alto ($PANW) $EA, and $CRM.. Stay tuned here. Watch the witching hour 1-2 ...",en,[],[],[],4,0,25,[],"['ea', 'crm']",https://twitter.com/jimcramer/status/1103706924237885440,False,,0,,,,,,,,[],,,,
1103704988122009600,1103704988122009600,2019-03-07 22:42:29 IST,2019-03-07,22:42:29,+0530,829031723526668288,tsoh_investing,Science of Hitting,,New Article: An Update on Dollar Tree - $DLTR   https://t.co/3jxXt2PbOH,en,[],['https://www.gurufocus.com/news/828771'],[],0,0,5,[],['dltr'],https://twitter.com/TSOH_Investing/status/1103704988122009600,False,,0,,,,,,,,[],,,,
1103515030966939648,1103515030966939648,2019-03-07 10:07:40 IST,2019-03-07,10:07:40,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$DLTR Dollar Tree ...Nice base here. Looking for a breakout.  https://t.co/0PrngUgKzp,en,[],[],['https://pbs.twimg.com/media/D1B5EN-WwAIKjqg.jpg'],2,2,12,[],['dltr'],https://twitter.com/the_chart_life/status/1103515030966939648,False,,1,https://pbs.twimg.com/media/D1B5EN-WwAIKjqg.jpg,,,,,,,[],,,,
1103278753667534856,1103278753667534856,2019-03-06 18:28:47 IST,2019-03-06,18:28:47,+0530,42154393,katieperalta,Katie Peralta Soloff,,"Earnings day for Dollar Tree, which says it's doubling down on its Family Dollar commitment and will ""accelerate plans"" to improve the brand. That includes renovating 1,000 FDs &amp; adding a $1 Dollar Tree merch section, rebannering 200 FDs and closing up to 390 FD stores $DLTR",en,[],[],[],3,10,19,[],['dltr'],https://twitter.com/katieperalta/status/1103278753667534856,False,,0,,,,,,,,[],,,,
1096052384839729153,1096051250934829056,2019-02-14 19:53:46 IST,2019-02-14,19:53:46,+0530,21961258,hutchcpa_i,Jim Hutchinson,,"@awealthofcs Dollar Tree cards are a buck, or 2 for $1, and are just as insincere as the pricey ones. $DLTR",en,[],[],[],0,0,6,[],['dltr'],https://twitter.com/HutchCPA_I/status/1096052384839729153,False,,0,,,,,,,,"[{'screen_name': 'awealthofcs', 'name': 'Ben Carlson', 'id': '97530284'}]",,,,
