id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1204824439193513990,1204824439193513990,2019-12-11 23:35:05 IST,2019-12-11,23:35:05,+0530,67110451,de_randyw,Randy Wheeless,,Good day @DukeEnergy in #CLT checking out some #ElectricVehicles #ChevyBolt - DUK promoting #PEVs hard in NC; #energytwitter #ZEV #plugin  https://t.co/6PCLtzOKTz,en,"[{'screen_name': 'dukeenergy', 'name': 'duke energy', 'id': '81192849'}]",[],['https://pbs.twimg.com/media/ELhlZ6zXYAAg0OV.jpg'],0,2,7,"['clt', 'electricvehicles', 'chevybolt', 'pevs', 'energytwitter', 'zev', 'plugin']",[],https://twitter.com/DE_RandyW/status/1204824439193513990,False,,1,https://pbs.twimg.com/media/ELhlZ6zXYAAg0OV.jpg,,,,,,,[],,,,
1204135123664408578,1204135123664408578,2019-12-10 01:55:59 IST,2019-12-10,01:55:59,+0530,401575573,dividendc2,dividendc2,,Quiere usted compañías con baja volatilidad para el largo plazo? aquí un grupo de ellas:  Duke Energy $DUK Republic Services $RSG Nextera Energy $NEE WEC Energy $WEC Equity Residential $EQR Waste Management $WM PepsiCo $PEP Mcdonald's $MCD Atmos Energy $ATO Procter &amp; Gamble $PG,es,[],[],[],0,9,33,[],"['duk', 'rsg', 'nee', 'wec', 'eqr', 'wm', 'pep', 'mcd', 'ato', 'pg']",https://twitter.com/dividendc2/status/1204135123664408578,False,,0,,,,,,,,[],,,,
1203389150239641600,1203389150239641600,2019-12-08 00:31:45 IST,2019-12-08,00:31:45,+0530,758386485846544384,realwillmeade,Will Meade,,According to this propietary chart pattern recognition software I'm beta testing. 72% of inverse head and shoulders patterns meet their price target in a bull market. Based on a sample size of 4300. Utility Duke Energy $DUK was flagged on Friday as a bullish inverse H&amp;S,en,[],[],[],3,8,59,[],['duk'],https://twitter.com/realwillmeade/status/1203389150239641600,False,,0,,,,,,,,[],,,,
1191835946066599942,1186024459670609920,2019-11-06 03:23:27 IST,2019-11-06,03:23:27,+0530,1092242275449651200,crymestammy,Tammy Hackworth Crymes,,"@wulfette @realTT2020 @Rn10Bama @TammyParry @freezebrand44 @sjorolan @OrtaineDevian @HB04920973 @cmcdittmer @Jennife31060429 @MarcMooney10 @TaniaBurgessTX @sparkleloung @AlanAshton10 @RaeAnon @TexasDeplorabl4 @FashionabAnon @PWeepingAngel @cummings2020 @KalanuRaven @DRottiemom @GenFlynn @TWITMO_INMATE @Bluepopcorn8 @volarconalas @ladydwinter @lafleurjmmyp @LadyStephC @IPOT1776 @ZNEWSNET @PhilZantos @LavenderLives @lenlucas46 @slconine @ChristinePolon1 @paulacblades001 @CylantJustice @MagaGlam @T_WWG1WGA @HH_kathy @MissesJ3 @GroundsGalen123 @chic_savage @TreyGibbs28 @GmanFan45 Yes that why I been fighting with Duke energy, look under stock market under(DUK) they all fall under the same thing . Why do you think they want the smart meters on every house . They meaning to do this in every state while they are under ground in the DUMBS",en,[],[],[],2,0,2,[],[],https://twitter.com/CrymesTammy/status/1191835946066599942,False,,0,,,,,,,,"[{'screen_name': 'wulfette', 'name': 'Bad Axe for a girl', 'id': '28977441'}, {'screen_name': 'realTT2020', 'name': 'Fake News Crime Fighter', 'id': '832763991487164416'}, {'screen_name': 'Rn10Bama', 'name': '🙏🇺🇸♥️The Best Is Yet To Come♥️🇺🇸🙏', 'id': '1077053367485120512'}, {'screen_name': 'TammyParry', 'name': 'Tammy Towers Parry, MD', 'id': '565669356'}, {'screen_name': 'freezebrand44', 'name': 'cowboy', 'id': '816474741196193793'}, {'screen_name': 'sjorolan', 'name': 'TrumpRocker 🎭 ⭐️⭐️⭐️', 'id': '389069923'}, {'screen_name': 'OrtaineDevian', 'name': 'Ortaine Devian 🇺🇸', 'id': '2202087336'}, {'screen_name': 'HB04920973', 'name': 'Fouru2get2no1776', 'id': '1143588853665751040'}, {'screen_name': 'cmcdittmer', 'name': 'CMC', 'id': '1549008109'}, {'screen_name': 'MarcMooney10', 'name': 'NavyVet88🪐', 'id': '931072357497794560'}, {'screen_name': 'sparkleloung', 'name': '#WarMachine❤️🇺🇸☮️💥', 'id': '132787784'}, {'screen_name': 'AlanAshton10', 'name': 'Americanist Al', 'id': '4012734315'}, {'screen_name': 'RaeAnon', 'name': 'Scorpio Queen ♏️ #Patriot', 'id': '1132402733045100544'}, {'screen_name': 'TexasDeplorabl4', 'name': 'Texas Deplorable⭐️⭐️⭐️', 'id': '1020752857757376519'}, {'screen_name': 'FashionabAnon', 'name': 'FashionablyAnon', 'id': '4848096432'}, {'screen_name': 'PWeepingAngel', 'name': '@WeepingAngel on Parler', 'id': '757380297482768385'}, {'screen_name': 'cummings2020', 'name': 'Cummings for Congress', 'id': '1151532573501399041'}, {'screen_name': 'KalanuRaven', 'name': 'Raven', 'id': '1027567121906249728'}, {'screen_name': 'DRottiemom', 'name': '💥President Elect💥RottieMom✝️🇺🇲✝️', 'id': '2381446142'}, {'screen_name': 'GenFlynn', 'name': 'General Flynn', 'id': '240454812'}, {'screen_name': 'TWITMO_INMATE', 'name': 'TWITMO INMATE ⭐️⭐️⭐️', 'id': '1001560210769670150'}, {'screen_name': 'Bluepopcorn8', 'name': 'Blue_popcorn ⭐⭐⭐', 'id': '1096479510046953473'}, {'screen_name': 'volarconalas', 'name': 'FRAUD VITIATES EVERYTHING 🇺🇸 ༺𝓦𝓲𝓷𝒈𝓼༻ ®', 'id': '2879986864'}, {'screen_name': 'ladydwinter', 'name': '🙏🏻RoseWarrior⭐️⭐️⭐️🦅', 'id': '700630947'}, {'screen_name': 'lafleurjmmyp', 'name': 'Patricia La Fleur⭐️⭐️⭐️', 'id': '780182844375113728'}, {'screen_name': 'LadyStephC', 'name': '~Steph~', 'id': '890417191'}, {'screen_name': 'IPOT1776', 'name': 'IPOT (Sir Patrick Kracken)', 'id': '984705766945767424'}, {'screen_name': 'PhilZantos', 'name': '410-128 Zantos 🇺🇸🇺🇸🇺🇸⭐️⭐️⭐️', 'id': '2872309405'}, {'screen_name': 'LavenderLives', 'name': 'Florida Lavender 🎋', 'id': '36858350'}, {'screen_name': 'lenlucas46', 'name': '🇺🇸Love it, Lucas⭐⭐⭐', 'id': '1899052010'}, {'screen_name': 'ChristinePolon1', 'name': 'LadyWarAnon⭐⭐⭐', 'id': '1026684533364547594'}, {'screen_name': 'paulacblades001', 'name': 'Paula Loves Children ❤️ #SaveTheChildren', 'id': '986462159663017984'}, {'screen_name': 'CylantJustice', 'name': 'Cylant Justice ([V])⭐⭐⭐', 'id': '967071616520900609'}, {'screen_name': 'MagaGlam', 'name': 'Maggie Maga', 'id': '32686268'}, {'screen_name': 'HH_kathy', 'name': '⭐️⭐️⭐️@KatRN on Parler #ReleaseTheKraken', 'id': '2887220254'}, {'screen_name': 'MissesJ3', 'name': ""MissJennWilson (here for research, don't mind me)"", 'id': '1149479951617253376'}, {'screen_name': 'GroundsGalen123', 'name': 'Galen H Grounds[🌟🌟🌟]', 'id': '892816234227609609'}, {'screen_name': 'chic_savage', 'name': 'Chic Savage ⭐️⭐️⭐️ 🇺🇸 ⭐️⭐️⭐️', 'id': '1689837192'}, {'screen_name': 'TreyGibbs28', 'name': 'Trey Gibbs ( AK) ⭐⭐⭐🇺🇸', 'id': '3320883763'}, {'screen_name': 'GmanFan45', 'name': 'GmanFan45', 'id': '4158758146'}]",,,,
1178403833937973248,1178403833937973248,2019-09-30 01:49:02 IST,2019-09-30,01:49:02,+0530,4719757718,quakes99,John Quakes,,US Utility Duke #Energy $DUK announces that it will seek to renew 11 #nuclear reactor licenses for an additional 20 operating years to support its carbon reduction goals 🌞⚛️↗️ #Uranium #U3O8 #CleanEnergy #CarbonFree #CleanAir #TideTurning 🏄‍♂️🌊 #USA 🇺🇸  https://t.co/zZkxGtCW8o,en,[],['https://news.duke-energy.com/releases/duke-energy-will-seek-to-renew-nuclear-plant-licenses-to-support-its-carbon-reduction-goals?utm_source=TWITTER&utm_medium=DukeEnergy&utm_term=--multimedia&utm_content=2655659602-20190919-20190919140400&utm_campaign=Evergreen#.XYOYTqw9W6w.twitter'],[],1,7,34,"['energy', 'nuclear', 'uranium', 'u3o8', 'cleanenergy', 'carbonfree', 'cleanair', 'tideturning', 'usa']",['duk'],https://twitter.com/quakes99/status/1178403833937973248,False,,0,,,,,,,,[],,,,
1174701393216602112,1174701393216602112,2019-09-19 20:36:51 IST,2019-09-19,20:36:51,+0530,4719757718,quakes99,John Quakes,,US Utility Duke #Energy $DUK announces today it will seek to renew 11 #nuclear reactor licenses for an additional 20 operating years to support its carbon reduction goals 🌞⚛️↗️ #Uranium #U3O8 #CleanEnergy #CarbonFree #CleanAir #TideTurning 🌊 #USA🇺🇸   https://t.co/zZkxGtCW8o,en,[],['https://news.duke-energy.com/releases/duke-energy-will-seek-to-renew-nuclear-plant-licenses-to-support-its-carbon-reduction-goals?utm_source=TWITTER&utm_medium=DukeEnergy&utm_term=--multimedia&utm_content=2655659602-20190919-20190919140400&utm_campaign=Evergreen#.XYOYTqw9W6w.twitter'],[],0,5,34,"['energy', 'nuclear', 'uranium', 'u3o8', 'cleanenergy', 'carbonfree', 'cleanair', 'tideturning', 'usa']",['duk'],https://twitter.com/quakes99/status/1174701393216602112,False,,0,,,,,,,,[],,,,
1174695956048228352,1174695956048228352,2019-09-19 20:15:15 IST,2019-09-19,20:15:15,+0530,16689633,djysrv,Dan Yurman,,Duke Energy (NYSE: DUK) announced today it will seek to renew the operating licenses of the 11 reactors it operates at six nuclear stations in the Carolinas for an additional 20 years.  https://t.co/eKyVJj6PYs,en,[],['http://bit.ly/2ABkvM1'],[],3,7,17,[],[],https://twitter.com/djysrv/status/1174695956048228352,False,,0,,,,,,,,[],,,,
1169072101665452033,1166946260483547137,2019-09-04 07:48:04 IST,2019-09-04,07:48:04,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$DUK Duke Energy ...  https://t.co/RUglbcPyCx,no,[],[],['https://pbs.twimg.com/media/EDlg4FTWsAAYFz3.png'],0,1,8,[],['duk'],https://twitter.com/the_chart_life/status/1169072101665452033,False,,1,https://pbs.twimg.com/media/EDlg4FTWsAAYFz3.png,,,,,,,[],,,,
1166946260483547137,1166946260483547137,2019-08-29 11:00:43 IST,2019-08-29,11:00:43,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$DUK Duke Energy ...Nice breakout here above ~$91.  https://t.co/PMS59QKlQz,en,[],[],['https://pbs.twimg.com/media/EDHTb9vXoAAltp3.png'],2,3,13,[],['duk'],https://twitter.com/the_chart_life/status/1166946260483547137,False,,1,https://pbs.twimg.com/media/EDHTb9vXoAAltp3.png,,,,,,,[],,,,
1148960794740219904,1148960794740219904,2019-07-10 19:52:54 IST,2019-07-10,19:52:54,+0530,44776017,travisfain,Travis Fain,,Those questioning that s559 would make $ for Duke Energy: Wall St is tracking the bill. From BofA/Merrill Lynch: “We maintain our Underperform rating on DUK as unsuccessful passage could further weigh on shares given expectations had been running higher in recent weeks.” #ncga,en,[],[],[],3,12,12,['ncga'],[],https://twitter.com/TravisFain/status/1148960794740219904,False,,0,,,,,,,,[],,,,
