id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1101150032487743488,1101150032487743488,2019-02-28 21:30:00 IST,2019-02-28,21:30:00,+0530,20119344,greenbackd,Tobias Carlisle,,Seth Klarman's top holdings as at year-end 2018 (market value $11.5bb.)  1. $FOX / Twenty-First Century $2.5bb 2. $LNG / Cheniere Energy $0.8bb 3. $FOXA / Twenty-First Century Fox $0.8bb 4. $VSAT / ViaSat$0.8bb 5. $QRVO / Qorvo $0.6bb 6. $AGN / Allergan $0.6bb,en,[],[],[],1,3,16,[],"['fox', 'lng', 'foxa', 'vsat', 'qrvo', 'agn']",https://twitter.com/Greenbackd/status/1101150032487743488,False,https://twitter.com/acquirersx/status/1101041630788886528,0,,,,,,,,[],,,,
1098421222092820482,1097337335644069890,2019-02-21 08:46:41 IST,2019-02-21,08:46:41,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$FOXA Twenty-First Century Fox ...There it goes!  https://t.co/nKHZKvOkAy,en,[],[],['https://pbs.twimg.com/media/Dz5gNkAWsAERwEv.png'],3,2,9,[],['foxa'],https://twitter.com/the_chart_life/status/1098421222092820482,False,,1,https://pbs.twimg.com/media/Dz5gNkAWsAERwEv.png,,,,,,,[],,,,
1027285034762469378,1027285034762469378,2018-08-09 01:36:52 IST,2018-08-09,01:36:52,+0530,26574283,cnbcnow,CNBC Now,,EARNINGS: Twenty-First Century Fox Q4 EPS $0.57 Adj. vs. $0.54 Est.; Q4 Revs. $7.94B vs. $7.56B Est. • $FOXA  https://t.co/UdETPWXHBO  https://t.co/chtbWDId0F,en,[],['https://cnb.cx/2vWUbJV'],['https://pbs.twimg.com/media/DkGmSUAXcAA1l6Y.jpg'],2,11,14,[],['foxa'],https://twitter.com/CNBCnow/status/1027285034762469378,False,,1,https://pbs.twimg.com/media/DkGmSUAXcAA1l6Y.jpg,,,,,,,[],,,,
1019924406691352576,1019924406691352576,2018-07-19 18:08:22 IST,2018-07-19,18:08:22,+0530,18176740,nolter,nolter,,"$CMCSA drops out of $FOXA bidding. “Comcast does not intend to pursue further the acquisition of the Twenty-First Century Fox assets and, instead, will focus on our recommended offer for Sky.”",en,[],[],[],0,5,9,[],"['cmcsa', 'foxa']",https://twitter.com/nolter/status/1019924406691352576,False,,0,,,,,,,,[],,,,
1017389611973111809,1017389611973111809,2018-07-12 18:16:00 IST,2018-07-12,18:16:00,+0530,1652541,reuters,Reuters,,"WATCH: Comcast raises bid for Sky, topping bid from Rupert Murdoch’s Twenty-First Century Fox  https://t.co/Aj2GvxMhSA via @ReutersTV $CMCSA $SKYB $FOXA  https://t.co/Dr79sWJOL4",en,"[{'screen_name': 'reuterstv', 'name': 'reuters tv', 'id': '2561597334'}]",['https://reut.rs/2KQupRP'],[],3,20,13,[],"['cmcsa', 'skyb', 'foxa']",https://twitter.com/Reuters/status/1017389611973111809,False,,1,https://pbs.twimg.com/media/Dh4q-KkWsAENLTV.jpg,,,,,,,[],,,,
1017358169524330497,1017358169524330497,2018-07-12 16:11:03 IST,2018-07-12,16:11:03,+0530,15110357,reutersbiz,Reuters Business,,"Comcast raises bid for Sky to $34 billion, topping a raised bid from Rupert Murdoch’s Twenty-First Century Fox  https://t.co/sinPlCGRoU via @paulsandle @kholtonreuters $CMCSA $SKYB $FOXA  https://t.co/tpy9Q2EZwe",en,"[{'screen_name': 'paulsandle', 'name': 'paul sandle', 'id': '102706695'}, {'screen_name': 'kholtonreuters', 'name': 'kate holton', 'id': '156997553'}]",['https://reut.rs/2KMwAFX'],"['https://pbs.twimg.com/media/Dh5h22QVMAAqDLT.jpg', 'https://pbs.twimg.com/media/Dh5h3B0UYAA9b9g.jpg', 'https://pbs.twimg.com/media/Dh5h3QpVAAAOP4x.jpg']",0,2,8,[],"['cmcsa', 'skyb', 'foxa']",https://twitter.com/ReutersBiz/status/1017358169524330497,False,,1,https://pbs.twimg.com/media/Dh5h22QVMAAqDLT.jpg,,,,,,,[],,,,
1017357949117894658,1017357949117894658,2018-07-12 16:10:11 IST,2018-07-12,16:10:11,+0530,1652541,reuters,Reuters,,"Comcast raises bid for Sky to $34 billion, topping a raised bid from Rupert Murdoch’s Twenty-First Century Fox  https://t.co/Gv3Ifp1Uan by @paulsandle @kholtonreuters $CMCSA $SKYB $FOXA  https://t.co/nhxLnW3zNY",en,"[{'screen_name': 'paulsandle', 'name': 'paul sandle', 'id': '102706695'}, {'screen_name': 'kholtonreuters', 'name': 'kate holton', 'id': '156997553'}]",['https://reut.rs/2udzwRp'],"['https://pbs.twimg.com/media/Dh5hqAgVAAA4x8-.jpg', 'https://pbs.twimg.com/media/Dh5hqMhVMAAPKss.jpg', 'https://pbs.twimg.com/media/Dh5hqa9UwAAeiiE.jpg']",1,13,16,[],"['cmcsa', 'skyb', 'foxa']",https://twitter.com/Reuters/status/1017357949117894658,False,,1,https://pbs.twimg.com/media/Dh5hqAgVAAA4x8-.jpg,,,,,,,[],,,,
1011996208167047168,1011996208167047168,2018-06-27 21:04:32 IST,2018-06-27,21:04:32,+0530,2746667072,at09_trader,AT09,,$FOXA $DIS  BREAKING: Justice Dept. expected to approve Walt Disney's proposed takeover of most of Twenty-First Century Fox as soon as today,en,[],[],[],1,0,15,[],"['foxa', 'dis']",https://twitter.com/AT09_Trader/status/1011996208167047168,False,,0,,,,,,,,[],,,,
1010072921077899264,1010072921077899264,2018-06-22 13:42:05 IST,2018-06-22,13:42:05,+0530,1652541,reuters,Reuters,,Walt Disney willing to divest more Twenty-First Century Fox assets to get a regulatory nod for the deal  https://t.co/jtCNwoB3jv by @RuniB_ $DIS $FOXA  https://t.co/YrIKhyJweF,en,"[{'screen_name': 'runib_', 'name': 'arunima banerjee 🤦\u200d♀️', 'id': '148703049'}]",['https://reut.rs/2MccJMI'],['https://pbs.twimg.com/media/DgR_9-NWsAAUhqz.jpg'],5,17,19,[],"['dis', 'foxa']",https://twitter.com/Reuters/status/1010072921077899264,False,,1,https://pbs.twimg.com/media/DgR_9-NWsAAUhqz.jpg,,,,,,,[],,,,
1009705250209652736,1009705250209652736,2018-06-21 13:21:05 IST,2018-06-21,13:21:05,+0530,1652541,reuters,Reuters,,"Disney raises bid for the bulk of Twenty-First Century Fox’s film and television assets to $71.3 billion, sweetening its deal with cash as it looks to upend Comcast’s offer  https://t.co/jUI6OFoctg by @MunsifV $DIS $FOXA $CMCSA  https://t.co/F7K89FMLFR",en,"[{'screen_name': 'munsifv', 'name': 'munsif vengattil', 'id': '544754721'}]",['https://reut.rs/2tg018m'],['https://pbs.twimg.com/media/DgMxkuhU8AA049i.jpg'],2,22,34,[],"['dis', 'foxa', 'cmcsa']",https://twitter.com/Reuters/status/1009705250209652736,False,,1,https://pbs.twimg.com/media/DgMxkuhU8AA049i.jpg,,,,,,,[],,,,
