id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1166814064204558338,1166814064204558338,2019-08-29 02:15:25 IST,2019-08-29,02:15:25,+0530,1134628105,hrblocknews,H&R Block News,,"As H&amp;R Block enters into the second year of its strategic journey, the company is positioned for success. $HRB  https://t.co/TMbFniJDtM",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EDFQZkUXUAAiDfS.jpg'],0,9,9,[],['hrb'],https://twitter.com/HRBlockNews/status/1166814064204558338,False,,1,https://pbs.twimg.com/tweet_video_thumb/EDFQZkUXUAAiDfS.jpg,,,,,,,[],,,,
1138426940078137344,1138426940078137344,2019-06-11 18:15:08 IST,2019-06-11,18:15:08,+0530,1134628105,hrblocknews,H&R Block News,,".@WaveHQ is highly compatible with H&amp;R Block and will expand the company’s product and client portfolio, allowing us to serve more clients in more ways. $HRB  https://t.co/iz2JfTckxy",en,"[{'screen_name': 'wavehq', 'name': 'wave hq', 'id': '97727000'}]",[],['https://pbs.twimg.com/media/D8wObDdXoAAcZ2y.jpg'],0,16,41,[],['hrb'],https://twitter.com/HRBlockNews/status/1138426940078137344,False,,1,https://pbs.twimg.com/media/D8wObDdXoAAcZ2y.jpg,,,,,,,[],,,,
1138426197333950464,1138426197333950464,2019-06-11 18:12:11 IST,2019-06-11,18:12:11,+0530,1134628105,hrblocknews,H&R Block News,,"To accelerate small business strategy &amp; provide new growth opportunities, H&amp;R Block signed an agreement to acquire @WaveHQ, a rapidly growing financial solutions platform focused on changing the way small businesses manage their finances:  https://t.co/gbhGtL2AMX $HRB",en,"[{'screen_name': 'wavehq', 'name': 'wave hq', 'id': '97727000'}]",['https://hrblock.io/2WsczoV'],[],6,19,25,[],['hrb'],https://twitter.com/HRBlockNews/status/1138426197333950464,False,,0,,,,,,,,[],,,,
1138243047731449857,1138243047731449857,2019-06-11 06:04:24 IST,2019-06-11,06:04:24,+0530,563084750,traderscom,Traders Community,,Earnings Tuesday June 10 $SPX $NDX  Before Open $CHS Chico's Fas  $HDS Hd Supply  $HRB H&amp;R Block $JW.A John Wiley  $CBKC Christopher &amp; Bank $HDB Hdfc Bank  $JAPAY Japan Tob   $VLVLY Ab #Volvo  $SSKN Strata Skin  $SMMT Summit  $LIOPF Lion Corp  https://t.co/TFZaaEjGoc  https://t.co/Yod4iH09NG,en,[],['https://traderscommunity.com/index.php/market-talk/1554-market-weekly-june-3-june-9-2020'],['https://pbs.twimg.com/media/D8vZ_CgX4AAd3JX.png'],0,5,7,['volvo'],"['spx', 'ndx', 'chs', 'hds', 'hrb', 'jw.a', 'cbkc', 'hdb', 'japay', 'vlvly', 'sskn', 'smmt', 'liopf']",https://twitter.com/TradersCom/status/1138243047731449857,False,,1,https://pbs.twimg.com/media/D8vZ_CgX4AAd3JX.png,,,,,,,[],,,,
1006896196181544961,1006896196181544961,2018-06-13 19:18:55 IST,2018-06-13,19:18:55,+0530,114782468,carlquintanilla,Carl Quintanilla,,"H&amp;R Block (green) down 21%, getting crushed by Intuit (orange), as company’s guidance this am suggests brick &amp; mortar “just not working”, per @jimcramer   $HRB @CNBC  @SquawkStreet  https://t.co/8VdZbcQWvr",en,"[{'screen_name': 'jimcramer', 'name': 'jim cramer', 'id': '14216123'}, {'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}, {'screen_name': 'squawkstreet', 'name': 'squawk on the street', 'id': '106498703'}]",[],['https://pbs.twimg.com/media/Dfk2v4fV4AIajpH.jpg'],4,5,18,[],['hrb'],https://twitter.com/carlquintanilla/status/1006896196181544961,False,,1,https://pbs.twimg.com/media/Dfk2v4fV4AIajpH.jpg,,,,,,,[],,,,
1006885598391611392,1006885598391611392,2018-06-13 18:36:48 IST,2018-06-13,18:36:48,+0530,20562637,businessinsider,Business Insider,,H&amp;R Block is tumbling hard because of Trump's tax plan $HRB  https://t.co/IF6QW4eyfW,en,[],['https://read.bi/2sZ7E2a'],[],1,9,8,[],['hrb'],https://twitter.com/BusinessInsider/status/1006885598391611392,False,,0,,,,,,,,[],,,,
953342197864321025,953342197864321025,2018-01-17 00:34:26 IST,2018-01-17,00:34:26,+0530,20402945,cnbc,CNBC,,"$HRB shares pop after the tax preparation company says it will become the ""exclusive DIY desktop tax software provider available at Walmart stores"", Walmart will also sell H&amp;R Block software on its website.  https://t.co/J6BjXR3Xz9  https://t.co/qDH76TZQBe",en,[],['https://www.cnbc.com/quotes/?symbol=HRB'],['https://pbs.twimg.com/media/DTrzoa2WsAAOBRL.png'],1,6,10,[],['hrb'],https://twitter.com/CNBC/status/953342197864321025,False,,1,https://pbs.twimg.com/media/DTrzoa2WsAAOBRL.png,,,,,,,[],,,,
953342197511974912,953342197511974912,2018-01-17 00:34:26 IST,2018-01-17,00:34:26,+0530,26574283,cnbcnow,CNBC Now,,"$HRB shares pop after the tax preparation company says it will become the ""exclusive DIY desktop tax software provider available at Walmart stores"", Walmart will also sell H&amp;R Block software on its website.  https://t.co/rwuTR97xif  https://t.co/j43ojdIjut",en,[],['https://www.cnbc.com/quotes/?symbol=HRB'],['https://pbs.twimg.com/media/DTrzodQW0AE_Lbf.png'],0,7,9,[],['hrb'],https://twitter.com/CNBCnow/status/953342197511974912,False,,1,https://pbs.twimg.com/media/DTrzodQW0AE_Lbf.png,,,,,,,[],,,,
899980853987692544,899980853987692544,2017-08-22 18:35:31 IST,2017-08-22,18:35:31,+0530,3108351,wsj,The Wall Street Journal,,"H&amp;R Block names former Uber, Target exec Jeff Jones president &amp; CEO $HRB  https://t.co/a24mPSob1R",en,[],['http://on.wsj.com/2ilSuBW'],[],0,22,16,[],['hrb'],https://twitter.com/WSJ/status/899980853987692544,False,,0,,,,,,,,[],,,,
876905052312489984,876905052312489984,2017-06-20 02:20:31 IST,2017-06-20,02:20:31,+0530,52166809,traderstewie,Traderstewie,,Added $HRB (H&amp;R Block) to the #PowerEarningsGap watchlist  https://t.co/KmmTgj7bmD,en,[],[],['https://pbs.twimg.com/media/DCtkc_bVwAEUJz3.jpg'],0,2,17,['powerearningsgap'],['hrb'],https://twitter.com/traderstewie/status/876905052312489984,False,,1,https://pbs.twimg.com/media/DCtkc_bVwAEUJz3.jpg,,,,,,,[],,,,
