id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1196867729053147136,1196867729053147136,2019-11-20 00:37:57 IST,2019-11-20,00:37:57,+0530,401575573,dividendc2,dividendc2,,Compañías 11 años consecutivos aumentando el dividendo  American Water Works $AWK 11  Brookfield Infrastructure $BIP 11  Comcast $CMCSA 11  Hubbell $HUBB 11  Quaker Chemical $KWR 11  Mckesson $MCK 11  Phillip Morris $PM 11  Quant Oak Bancorp $QNTO 11  Visa $V 11,es,[],[],[],0,3,11,[],"['awk', 'bip', 'cmcsa', 'hubb', 'kwr', 'mck', 'pm', 'qnto', 'v']",https://twitter.com/dividendc2/status/1196867729053147136,False,,0,,,,,,,,[],,,,
1192894334208823297,1192894334208823297,2019-11-09 01:29:06 IST,2019-11-09,01:29:06,+0530,2716357517,profstevehoward,Steve Howard,,With McKesson colleagues from across Europe before speaking at PHR Conference tomorrow. Love being part of the McK family @McKessonEurope @McKessonUK,en,"[{'screen_name': 'mckessoneurope', 'name': 'mckesson europe', 'id': '96128123'}, {'screen_name': 'mckessonuk', 'name': 'mckesson uk', 'id': '2882626197'}]",[],[],0,1,8,[],[],https://twitter.com/profstevehoward/status/1192894334208823297,False,,0,,,,,,,,[],,,,
1189511044529577984,1189511044529577984,2019-10-30 17:25:07 IST,2019-10-30,17:25:07,+0530,3043828834,cgrantwsj,Charley Grant,,"So McKesson, one of the main defendants in the opioid MDL, has bought back $1.4 billion of stock in first 6 months of fiscal 2020. ($1.6 billion in entirety of fiscal 2019). $MCK",en,[],[],[],2,4,27,[],['mck'],https://twitter.com/CGrantWSJ/status/1189511044529577984,False,,0,,,,,,,,[],,,,
1189510210869780480,1189510210869780480,2019-10-30 17:21:48 IST,2019-10-30,17:21:48,+0530,563084750,traderscom,Traders Community,,"Wednesday $SPX $DJIA $QQQ Earnings Include:  Apple, $AAPL Yum Brands, $YUM GE, $GE Cirrus Logic, $CRUS McKesson, $MCK Hyatt hotels $H Starbucks, $SBUX Facebook Total $TOT $FB  https://t.co/2khG7kKGEh  https://t.co/AR8gM9SERw",en,[],['https://traderscommunity.com/index.php/market-talk/1791-market-weekly-october-27-november-2-2019'],['https://pbs.twimg.com/media/EIH9O0iW4AAGn8L.png'],1,6,5,[],"['spx', 'djia', 'qqq', 'aapl', 'yum', 'ge', 'crus', 'mck', 'h', 'sbux', 'tot', 'fb']",https://twitter.com/TradersCom/status/1189510210869780480,False,,1,https://pbs.twimg.com/media/EIH9O0iW4AAGn8L.png,,,,,,,[],,,,
1184224584737968129,1184224584737968129,2019-10-16 03:18:37 IST,2019-10-16,03:18:37,+0530,16732770,cnbcfastmoney,CNBC's Fast Money,,"Opioid makers Cardinal Health, AmerisourceBergen and McKesson surging higher after hours on reports they are close to an $18 billion settlement. @megtirrell breaks down the headlines. $CAH $MCK $ABC  https://t.co/y8q91gYGVJ",en,"[{'screen_name': 'megtirrell', 'name': 'meg tirrell', 'id': '47678782'}]",[],[],4,10,16,[],"['cah', 'mck', 'abc']",https://twitter.com/CNBCFastMoney/status/1184224584737968129,False,,1,https://pbs.twimg.com/media/EG81-tlX0AE_HJM.jpg,,,,,,,[],,,,
1116316234675630080,1116316234675630080,2019-04-11 17:55:05 IST,2019-04-11,17:55:05,+0530,25998862,drugchannels,Adam J. Fein,,And here's advice from @McKesson $MCK to help #hospital #pharmacies maximize profits from #specialty #drugs under the #340B program  https://t.co/oRLqf6wcfJ  P.S. @McKesson offers #340B consulting and owns #contract #pharmacy software company @macrohelix,en,"[{'screen_name': 'mckesson', 'name': 'mckesson corporation', 'id': '148872151'}, {'screen_name': 'mckesson', 'name': 'mckesson corporation', 'id': '148872151'}, {'screen_name': 'macrohelix', 'name': 'macro helix', 'id': '354619673'}]",['https://drugch.nl/2G6iT0D'],[],0,3,14,"['hospital', 'pharmacies', 'specialty', 'drugs', '340b', '340b', 'contract', 'pharmacy']",['mck'],https://twitter.com/DrugChannels/status/1116316234675630080,False,,0,,,,,,,,[],,,,
1092953476928339968,1092953476928339968,2019-02-06 06:39:49 IST,2019-02-06,06:39:49,+0530,906328017986899968,the_chart_life,"Ian McMillan, CMT",,$MCK McKesson ...Breaking the DTL.  https://t.co/clEgkvZT6A,en,[],[],['https://pbs.twimg.com/media/DyrzVWrX4AEpRt6.jpg'],0,1,8,[],['mck'],https://twitter.com/the_chart_life/status/1092953476928339968,False,,1,https://pbs.twimg.com/media/DyrzVWrX4AEpRt6.jpg,,,,,,,[],,,,
1075178746532036608,1075178746532036608,2018-12-19 05:29:23 IST,2018-12-19,05:29:23,+0530,253168011,marknewtoncmt,Mark Newton,,"$MCK McKesson broke down under 2016 lows today, last 2 days of selling have been as heavy as since 12/6-#IBDPartner While Obamacare decision might be reversed, for now, addtl selling likely Wed-Friday before any real support &amp; Healthcare weak near-term @Marketsmith @IBDinvestors  https://t.co/Y8Ex3SGEo2",en,"[{'screen_name': 'marketsmith', 'name': 'marketsmith', 'id': '272125054'}, {'screen_name': 'ibdinvestors', 'name': 'investors.com', 'id': '21328656'}]",[],['https://pbs.twimg.com/media/DuvM5UbW0AY7A5P.jpg'],0,2,8,['ibdpartner'],['mck'],https://twitter.com/MarkNewtonCMT/status/1075178746532036608,False,,1,https://pbs.twimg.com/media/DuvM5UbW0AY7A5P.jpg,,,,,,,[],,,,
1058148831391571968,1058148831391571968,2018-11-02 05:38:35 IST,2018-11-02,05:38:35,+0530,1205191056,teamstersdc,IBT Cap Strategies,,McKesson just moved to independent chair following #teamster proposal - Hammergren quit company #corpgov $MCK #opioidcrisis. Two of 3 big drug distributors now moved two independent chair model following #teamster proposals,en,[],[],[],1,6,6,"['teamster', 'corpgov', 'opioidcrisis', 'teamster']",['mck'],https://twitter.com/TeamstersDC/status/1058148831391571968,False,,0,,,,,,,,[],,,,
1022633932574142465,1022633932574142465,2018-07-27 05:35:03 IST,2018-07-27,05:35:03,+0530,25998862,drugchannels,Adam J. Fein,,"Hmm: Lots of happy talk on @McKesson $MCK earnings call this morning. CEO Hammergren said #drug manufacturers ""never ... indicate a desire to reduce the economics to McKesson."" (Full quote below.) Never? Even for high-list/high-rebate drugs? I'm skeptical.  https://t.co/mccCggN4oO  https://t.co/PXS3QQJfWj",en,"[{'screen_name': 'mckesson', 'name': 'mckesson corporation', 'id': '148872151'}]",['https://drugch.nl/2AfF9nS'],['https://pbs.twimg.com/media/DjEgJFoW4AA49L0.jpg'],6,2,15,['drug'],['mck'],https://twitter.com/DrugChannels/status/1022633932574142465,False,,1,https://pbs.twimg.com/media/DjEgJFoW4AA49L0.jpg,,,,,,,[],,,,
1020061079651733506,1020061079651733506,2018-07-20 03:11:27 IST,2018-07-20,03:11:27,+0530,2303995390,melrx2905,Melrx,,This is how McKesson takes care of Independent pharmacies. Their thousands of employees must go to CVS store to fill maintenance drugs after on refill. Guess they are trying to steal CVS as a client away from Cardinal - McK customers- call and complain,en,[],[],[],6,21,34,[],[],https://twitter.com/Melrx2905/status/1020061079651733506,False,https://twitter.com/TruthRX/status/1020027569230565376,0,,,,,,,,[],,,,
1017011169524092928,1017011169524092928,2018-07-11 17:12:12 IST,2018-07-11,17:12:12,+0530,25998862,drugchannels,Adam J. Fein,,"Good analysis from @matthewherper of @pfizer $PFE #drug price reversal due to @realDonaldTrump and @SecAzar pressure. Also notes (correctly, IMHO) that slower list price inflation hurts #wholesalers @McKesson $MCK @cardinalhealth $CAH @Healthcare_ABC $ABC  https://t.co/5gnD3Q0qfZ",en,"[{'screen_name': 'matthewherper', 'name': 'matthew herper', 'id': '44438256'}, {'screen_name': 'pfizer', 'name': 'pfizer inc.', 'id': '56488059'}, {'screen_name': 'realdonaldtrump', 'name': 'donald j. trump', 'id': '25073877'}, {'screen_name': 'secazar', 'name': 'alex azar', 'id': '956283913835614208'}, {'screen_name': 'mckesson', 'name': 'mckesson corporation', 'id': '148872151'}, {'screen_name': 'cardinalhealth', 'name': 'cardinal health', 'id': '256225105'}, {'screen_name': 'healthcare_abc', 'name': 'amerisourcebergen', 'id': '288863891'}]",['https://drugch.nl/2uhS6qW'],[],2,7,11,"['drug', 'wholesalers']","['pfe', 'mck', 'cah', 'abc']",https://twitter.com/DrugChannels/status/1017011169524092928,False,,0,,,,,,,,[],,,,
