id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1208394157695201280,1208393701577252865,2019-12-21 19:59:52 IST,2019-12-21,19:59:52,+0530,167903718,shepardambellas,Shepard Ambellas 🎙,,"""Mandalay Bay ... is owned and operated by MGM Resorts International. One of the property's towers operates as the Delano; the Four Seasons Hotel is independently operated within the Mandalay Bay tower, occupying five floors (35–39).""  https://t.co/aq2qQ2sifG",en,[],['https://en.wikipedia.org/wiki/Mandalay_Bay'],[],1,5,7,[],[],https://twitter.com/ShepardAmbellas/status/1208394157695201280,False,,0,,,,,,,,[],,,,
1206966061335302146,1206966061335302146,2019-12-17 21:25:08 IST,2019-12-17,21:25:08,+0530,463053212,culinary226,The Culinary Union,,"#YesGeo: “Ms. Argüello-Kline is highly qualified for this position and will be an asset to the Stadium Authority Board. 🙋🏻‍♂️I respectfully recommend her appointment to its board of directors.” - Jim Murren, CEO of MGM Resorts International  https://t.co/KUAM6nvsyc",en,[],[],['https://pbs.twimg.com/media/EMABPF_WkAENb-M.jpg'],0,3,5,['yesgeo'],[],https://twitter.com/Culinary226/status/1206966061335302146,False,,1,https://pbs.twimg.com/media/EMABPF_WkAENb-M.jpg,,,,,,,[],,,,
1206784850595848192,1206784850595848192,2019-12-17 09:25:04 IST,2019-12-17,09:25:04,+0530,463053212,culinary226,The Culinary Union,,"📝CEO of MGM Resorts International, Jim Murren: “I am writing you today to express my support for Geoconda Argüello-Kline, Secretary-Treasurer of the Culinary Union, for the Las Vegas Stadium Authority Board of Directors vacancy.” #YesGeo  https://t.co/6aAZdHuinr",en,[],[],['https://pbs.twimg.com/media/EL9cbOGW4AEjEJH.jpg'],0,3,8,['yesgeo'],[],https://twitter.com/Culinary226/status/1206784850595848192,False,,1,https://pbs.twimg.com/media/EL9cbOGW4AEjEJH.jpg,,,,,,,[],,,,
1206777491429433347,1206771698646880258,2019-12-17 08:55:49 IST,2019-12-17,08:55:49,+0530,14529929,jaketapper,Jake Tapper,,This comes with some other recent-ish news about that horrific Vegas shooting. In October MGM Resorts International reached a settlement agreement of up to $800 million for claimants who choose to participate.    https://t.co/pPuBCyZkd7,en,[],['https://investors.mgmresorts.com/investors/news-releases/press-release-details/2019/MGM-Resorts-International-and-Plaintiffs-Counsel-Reach-Agreement-to-Settle-1-October-Litigation/default.aspx'],[],1,21,58,[],[],https://twitter.com/jaketapper/status/1206777491429433347,False,,0,,,,,,,,[],,,,
1206755948024520704,1206755948024520704,2019-12-17 07:30:13 IST,2019-12-17,07:30:13,+0530,463053212,culinary226,The Culinary Union,,"📣 Jim Murren, CEO of MGM Resorts International, says #YesGeo for the Stadium Authority Board.   ⭐️“Ms. Argüello-Kline serves as the Secretary-Treasurer of the largest union in our state and is very knowledgeable in the field of hospitality.”  https://t.co/ddpzYOOcaD",en,[],[],['https://pbs.twimg.com/media/EL9CI5yXYAAZhGX.jpg'],0,2,8,['yesgeo'],[],https://twitter.com/Culinary226/status/1206755948024520704,False,,1,https://pbs.twimg.com/media/EL9CI5yXYAAZhGX.jpg,,,,,,,[],,,,
1206733274153926662,1206733274153926662,2019-12-17 06:00:07 IST,2019-12-17,06:00:07,+0530,16184358,cnnbusiness,CNN Business,,"""Congressional passage of the United States-Mexico-Canada Agreement trade agreement would be welcome news to the travel and tourism industry,"" write MGM Resorts International CEO Jim Murren and US Travel Association CEO Roger Dow  https://t.co/cGTHh1Rvn0",en,[],['https://cnn.it/2En1fDU'],[],2,5,4,[],[],https://twitter.com/CNNBusiness/status/1206733274153926662,False,,0,,,,,,,,[],,,,
1205522261748453376,1205520755401867271,2019-12-13 21:47:59 IST,2019-12-13,21:47:59,+0530,94892021,marcusanz,Marcus Anzengruber,,"@mikeddano @GeoverseLte Las Vegas hotel giant @MGMResortsIntl MGM Resorts International appears to be planning to build a massive private CBRS network that it could use for a variety of services, including improved ""visibility of guests."" - private 5G networks in casinos is key.👌 @anshelsag",en,"[{'screen_name': 'mgmresortsintl', 'name': 'mgm resorts', 'id': '2216675940'}, {'screen_name': 'anshelsag', 'name': 'anshel sag', 'id': '8308222'}]",[],[],1,5,9,[],[],https://twitter.com/marcusanz/status/1205522261748453376,False,,0,,,,,,,,"[{'screen_name': 'mikeddano', 'name': 'Mike Dano', 'id': '1152026371'}, {'screen_name': 'GeoverseLte', 'name': 'Geoverse Private LTE', 'id': '1003426221928017920'}]",,,,
1202968449703698433,1202968449703698433,2019-12-06 20:40:03 IST,2019-12-06,20:40:03,+0530,2963274313,vegaschipguy,Johnny Vegas,,Opened 1973 - This chip issued in 1973  Owned by MGM Resorts International  And one of the smallest casinos on the strip and only has slots and electronic table games.  https://t.co/ViE42bEtQX,en,[],[],['https://pbs.twimg.com/media/ELHNaslXkAAgNjb.jpg'],2,2,16,[],[],https://twitter.com/VegasChipGuy/status/1202968449703698433,False,,1,https://pbs.twimg.com/media/ELHNaslXkAAgNjb.jpg,,,,,,,[],,,,
1198672637649543168,1198672637649543168,2019-11-25 00:10:01 IST,2019-11-25,00:10:01,+0530,949613886335893505,_mrjackpots_,♤Mr. Jackpots♤,,"1/5 The operator of land-based casinos MGM Resorts International chose Cammegh as the supplier of gambling equipment. The company will supply the operator with its Mercury 360 and Billboard displays in Las Vegas. Cammegh roulette wheels, electronic games and other equipment will",en,[],[],[],1,4,13,[],[],https://twitter.com/_MrJackpots_/status/1198672637649543168,False,https://twitter.com/3RMAC/status/1198572128678883329,0,,,,,,,,[],,,,
1198572128678883329,1198572128678883329,2019-11-24 17:30:38 IST,2019-11-24,17:30:38,+0530,1519110222,3rmac,乇尺爪卂匚,,Date: 10/10/2015 - Cammegh will supply gambling equipment at MGM Resorts International Casino  Really shows how big #Cammegh are in the gambling world:   https://t.co/ix154blZZ7,en,[],['https://newsofgambling.com/cammegh-dogovor-mgm/'],[],2,9,25,['cammegh'],[],https://twitter.com/3RMAC/status/1198572128678883329,False,,0,,,,,,,,[],,,,
