id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1205517617550757889,1205517617550757889,2019-12-13 21:29:32 IST,2019-12-13,21:29:32,+0530,18378349,keithmccullough,Keith McCullough,,Retailer Stocks $XRT down -1.4% on Retail Sales #Slowing  Oracle $ORCL down -2.7% on #GrowthSlowing report last night   Much more to come ... much more @realDonaldTrump,en,"[{'screen_name': 'realdonaldtrump', 'name': 'donald j. trump', 'id': '25073877'}]",[],[],5,4,28,"['slowing', 'growthslowing']","['xrt', 'orcl']",https://twitter.com/KeithMcCullough/status/1205517617550757889,False,,0,,,,,,,,[],,,,
1205237293071491072,1205237293071491072,2019-12-13 02:55:37 IST,2019-12-13,02:55:37,+0530,913260122004086784,kessanman,米国株 決算マン,,オラクル決算 Oracle (NYSE:ORCL) Q2'20 EPS(Non-GAAP) $0.90 予想＋$0.01 売上 $9.61B (+0.5% Y/Y) 予想－$40M  時間外株価-2.3%  部分的にはクラウドシフトしFusion ERPクラウド売上+37%、NetSuite ERP売上+29%  https://t.co/4fy24XY8m1  https://t.co/QRtWAQiAhs,ja,[],['https://investor.oracle.com/financial-news/financial-news-details/2019/Q2-FY20-GAAP-EPS-UP-14-TO-069-and-NON-GAAP-EPS-UP-12-TO-090/default.aspx'],['https://pbs.twimg.com/media/ELnc0QgUEAAKXaY.png'],0,8,30,[],[],https://twitter.com/KessanMan/status/1205237293071491072,False,,1,https://pbs.twimg.com/media/ELnc0QgUEAAKXaY.png,,,,,,,[],,,,
1204779881957072896,1204779881957072896,2019-12-11 20:38:02 IST,2019-12-11,20:38:02,+0530,958059227855060993,uhdtrader,UHD,,$VERB -💰💰 @VerbTech_Co a #Digital #RecurringRevenue #SAAS #CRM w/ #InteractiveVideo &amp; Now Making $ZM @zoom_us Obsolete w/ #Interactive #LiveWebcasts! Deals w/ #Salesforce $CRM #microsoft $MSFT #Oracle $ORCL #Adobe $ADBE $IT #Shopify $SHOP Analyst Price Targets @ $2.75 @$5.35  https://t.co/dCs7n9a92A,en,"[{'screen_name': 'verbtech_co', 'name': 'verb', 'id': '1861240566'}, {'screen_name': 'zoom_us', 'name': 'zoom redirect', 'id': '1355303991643492353'}]",[],"['https://pbs.twimg.com/media/ELg8rz0WkAE3prH.jpg', 'https://pbs.twimg.com/media/ELg8rz7WoAQoqgS.jpg', 'https://pbs.twimg.com/media/ELg8rzxX0AU1Sti.jpg', 'https://pbs.twimg.com/media/ELg8rzxXUAEyPcE.jpg']",1,14,16,"['digital', 'recurringrevenue', 'saas', 'crm', 'interactivevideo', 'interactive', 'livewebcasts', 'salesforce', 'microsoft', 'oracle', 'adobe', 'shopify']","['verb', 'zm', 'crm', 'msft', 'orcl', 'adbe', 'it', 'shop']",https://twitter.com/UHDTrader/status/1204779881957072896,False,,1,https://pbs.twimg.com/media/ELg8rz0WkAE3prH.jpg,,,,,,,[],,,,
1204758264589799424,1204758264589799424,2019-12-11 19:12:08 IST,2019-12-11,19:12:08,+0530,14115408,jonnajarian,Jon Najarian,,"Because of “street conditions” read; human feces, and costs, Oracle will move its annual OpenWorld conference from San Francisco to Las Vegas  @CNBC @levynews $ORCL   https://t.co/Sv38nDsJ7K",en,"[{'screen_name': 'cnbc', 'name': 'cnbc', 'id': '20402945'}, {'screen_name': 'levynews', 'name': 'ari levy', 'id': '140872924'}]",['https://www.cnbc.com/2019/12/10/oracle-moving-openworld-from-san-francisco-to-las-vegas-caesars-forum.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter'],[],9,20,58,[],['orcl'],https://twitter.com/jonnajarian/status/1204758264589799424,False,,0,,,,,,,,[],,,,
1204143421029519362,1202147638541459456,2019-12-10 02:28:58 IST,2019-12-10,02:28:58,+0530,48328418,plemartret,Patrick LE MARTRET,,@Oracle_France @CRiP_asso @ManonMancel @Chabliconseils @KarimZein_ORCL @AlexandraBNL @ProustNicolas @rocsy01 @quentin_fs @MCastruccioB @KarineP_Oracle Hello rdv le 15 Janvier alors @CRiP_asso ☝️,fr,"[{'screen_name': 'crip_asso', 'name': 'crip - décideurs it', 'id': '207595951'}]",[],[],0,1,7,[],[],https://twitter.com/plemartret/status/1204143421029519362,False,,0,,,,,,,,"[{'screen_name': 'Oracle_France', 'name': 'Oracle France', 'id': '962954390'}, {'screen_name': 'CRiP_asso', 'name': 'CRiP - Décideurs IT', 'id': '207595951'}, {'screen_name': 'ManonMancel', 'name': 'Manon Mancel', 'id': '1170758863727091712'}, {'screen_name': 'Chabliconseils', 'name': 'Bruno Blahic', 'id': '4824419869'}, {'screen_name': 'KarimZein_ORCL', 'name': 'Karim ZEIN', 'id': '921935341'}, {'screen_name': 'AlexandraBNL', 'name': 'Alexandra', 'id': '67570916'}, {'screen_name': 'ProustNicolas', 'name': 'Nicolas Proust', 'id': '1192615399'}, {'screen_name': 'rocsy01', 'name': '🐞sylvie roche', 'id': '57338680'}, {'screen_name': 'quentin_fs', 'name': 'Quentin FRANCOIS', 'id': '2865521038'}, {'screen_name': 'MCastruccioB', 'name': 'Monique Castruccio', 'id': '3061874048'}, {'screen_name': 'KarineP_Oracle', 'name': 'Karine Picard', 'id': '40845260'}]",,,,
1204045111526481921,1204045111526481921,2019-12-09 19:58:19 IST,2019-12-09,19:58:19,+0530,130096425,riopon1028,りおぽん東に西に,,Oracle（ORCL）の目標株価を２社が設定した。Goldman Sachsが62ドル、UBSが57ドル。先週末の終値は54ドル83セントだった。,ja,[],[],[],0,0,6,[],[],https://twitter.com/riopon1028/status/1204045111526481921,False,,0,,,,,,,,[],,,,
1202602665617903616,1202602665617903616,2019-12-05 20:26:33 IST,2019-12-05,20:26:33,+0530,89416721,oraclehellas,Oracle Hellas,,"Ο Πυθαγόρας Παπαδημητρίου (@pythagoras_orcl), Alliances &amp; Channels Sales Senior Director Systems, @Oracle και ο Νώντας Πασχαλίδης (@nodaspas), CEO @NeurosoftSA, Oracle Gold Partner, καλωσόρισαν το πρωί την έναρξη του 1ου #Systems Advantage Forum στην Αθήνα #OracleSystemsAdvantage  https://t.co/KJ6fvm3HcG",und,"[{'screen_name': 'oracle', 'name': 'oracle', 'id': '809273'}, {'screen_name': 'nodaspas', 'name': 'nodas paschalidis', 'id': '489311144'}, {'screen_name': 'neurosoftsa', 'name': 'neurosoft s.a', 'id': '944330671903952901'}]",[],"['https://pbs.twimg.com/media/ELCAvr9W4AAKE-o.jpg', 'https://pbs.twimg.com/media/ELCAwBeXUAApcWt.jpg']",0,0,12,"['systems', 'oraclesystemsadvantage']",[],https://twitter.com/OracleHellas/status/1202602665617903616,False,,1,https://pbs.twimg.com/media/ELCAvr9W4AAKE-o.jpg,,,,,,,[],,,,
1201521402660212736,1201521402660212736,2019-12-02 20:50:00 IST,2019-12-02,20:50:00,+0530,962954390,oracle_france,Oracle France,,⚡️@Oracle #OpenWorld revient du 12 au 13 février 2020 à Londres  👀Découvrez le programme et les speakers dédiés à cet événement et réservez vos places !  👉🏻En savoir plus :  https://t.co/uZM5t2WZOR  👋🏻@KarimZein_ORCL @KarineP_Oracle @plemartret @montfeu @Bastwins @ProustNicolas  https://t.co/OPyOAOlVVZ,fr,"[{'screen_name': 'oracle', 'name': 'oracle', 'id': '809273'}, {'screen_name': 'karimzein_orcl', 'name': 'karim zein', 'id': '921935341'}, {'screen_name': 'karinep_oracle', 'name': 'karine picard', 'id': '40845260'}, {'screen_name': 'plemartret', 'name': 'patrick le martret', 'id': '48328418'}, {'screen_name': 'montfeu', 'name': 'de montvallon valeri', 'id': '426789465'}, {'screen_name': 'bastwins', 'name': 'bastien rousseau', 'id': '310183254'}, {'screen_name': 'proustnicolas', 'name': 'nicolas proust', 'id': '1192615399'}]",['http://bit.ly/2Dn7JlJ'],[],0,17,22,['openworld'],[],https://twitter.com/Oracle_France/status/1201521402660212736,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1200056880925683713/pu/img/4EhUJa24g-x8KbdJ.jpg,,,,,,,[],,,,
1200438075790368769,1200438075790368769,2019-11-29 21:05:14 IST,2019-11-29,21:05:14,+0530,310183254,bastwins,Bastien Rousseau,,"Agree with you, @KarimZein_ORCL : ""No #data, no business""... and no #BlackFriday !!! 😉 #DigitalTransformation #Digital #Retail #CX Cc @Oracle_France @SayadOracle @ProustNicolas @LSAconsommation @jeromepar",en,"[{'screen_name': 'karimzein_orcl', 'name': 'karim zein', 'id': '921935341'}, {'screen_name': 'oracle_france', 'name': 'oracle france', 'id': '962954390'}, {'screen_name': 'sayadoracle', 'name': 'sandrine ayad oracle', 'id': '1229444334'}, {'screen_name': 'proustnicolas', 'name': 'nicolas proust', 'id': '1192615399'}, {'screen_name': 'lsaconsommation', 'name': 'lsa commerce & conso', 'id': '39508332'}, {'screen_name': 'jeromepar', 'name': 'parigi jérôme', 'id': '314546538'}]",[],[],0,3,4,"['data', 'blackfriday', 'digitaltransformation', 'digital', 'retail', 'cx']",[],https://twitter.com/Bastwins/status/1200438075790368769,False,https://twitter.com/SayadOracle/status/1199693899222134784,0,,,,,,,,[],,,,
1199999843906805760,1199999843906805760,2019-11-28 16:03:52 IST,2019-11-28,16:03:52,+0530,310183254,bastwins,Bastien Rousseau,,"#Multicloud, #cloud 2e génération, #Autonomous, #ERPCloud… Selon @LeMagIT, ""@Oracle monte en puissance et se donne les moyens de ses ambitions"" ➡️ https://t.co/OzoOZReWX4 Cc @KarineP_Oracle @KarimZein_ORCL @Oracle_France @AnnieLichtner #TransfoNum #IaaS #PaaS #SaaS #Data #Digital",fr,"[{'screen_name': 'lemagit', 'name': 'lemagit', 'id': '14623301'}, {'screen_name': 'oracle', 'name': 'oracle', 'id': '809273'}, {'screen_name': 'karinep_oracle', 'name': 'karine picard', 'id': '40845260'}, {'screen_name': 'karimzein_orcl', 'name': 'karim zein', 'id': '921935341'}, {'screen_name': 'oracle_france', 'name': 'oracle france', 'id': '962954390'}, {'screen_name': 'annielichtner', 'name': 'annie abela-lichtner', 'id': '930078331'}]",['https://bit.ly/37MYl8X'],[],0,9,11,"['multicloud', 'cloud', 'autonomous', 'erpcloud', 'transfonum', 'iaas', 'paas', 'saas', 'data', 'digital']",[],https://twitter.com/Bastwins/status/1199999843906805760,False,,0,,,,,,,,[],,,,
