id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1209080009895424001,1209080009895424001,2019-12-23 17:25:12 IST,2019-12-23,17:25:12,+0530,785531131366109184,micheldoepke,Michel Doepke,,$SGMO Announces Early Completion of Transfer to Pfizer of SB-525 Hemophilia A Gene Therapy IND and an Earned $25 Million Milestone Payment $PFE  https://t.co/nohR9rxQHa,en,[],['https://www.businesswire.com/news/home/20191223005185/en/'],[],1,12,27,[],"['sgmo', 'pfe']",https://twitter.com/MichelDoepke/status/1209080009895424001,False,,0,,,,,,,,[],,,,
1209000916818501632,1209000916818501632,2019-12-23 12:10:55 IST,2019-12-23,12:10:55,+0530,4859660471,_b_i_o_t_e_c_h_,🅱🅸🅾🆃🅴🅲🅷,,roche $SRPT deal: ...revisiting the $PFE transcript from back then:  Pfizer might want to go $SGMO #DMD now finaly ? (Sangamo said they have the #DMD sulution ready in the fridge already)  https://t.co/NBdkHtjV8G,en,[],[],['https://pbs.twimg.com/media/EMc7xS6WsAAZNcd.jpg'],1,6,8,"['dmd', 'dmd']","['srpt', 'pfe', 'sgmo']",https://twitter.com/_B_I_O_T_E_C_H_/status/1209000916818501632,False,,1,https://pbs.twimg.com/media/EMc7xS6WsAAZNcd.jpg,,,,,,,[],,,,
1206904170894286848,1206903715220856832,2019-12-17 17:19:12 IST,2019-12-17,17:19:12,+0530,3426014292,semodough,dough,,"IND transfer to $PFE  for SB-525 hemophilia gene therapy is substantially completed; Pfizer is advancing SB-525 into a Phase 3 registrational study in 2020 also introducing new gene therapy genome regulation programs for addressing highly prevalent diseases,with IND targets 2021",en,[],[],[],1,1,10,[],['pfe'],https://twitter.com/semodough/status/1206904170894286848,False,,0,,,,,,,,[],,,,
1206783830939635713,1206783830939635713,2019-12-17 09:21:00 IST,2019-12-17,09:21:00,+0530,627498274,dividendhawk,DH,,Pfizer (PFE) Increased Their Dividend by 5.6%  https://t.co/AMTOOM2lSX via @MoreDividends,en,"[{'screen_name': 'moredividends', 'name': 'jason from moredividends', 'id': '743807151441797121'}]",['https://buff.ly/2EljDgG'],[],0,2,6,[],[],https://twitter.com/DividendHawk/status/1206783830939635713,False,,0,,,,,,,,[],,,,
1206774349522460672,1206774349522460672,2019-12-17 08:43:20 IST,2019-12-17,08:43:20,+0530,2499229069,dvdnddiplomats,Dividend Diplomats,,"Pfizer increased their dividend 5.5% today while BA maintained their current dividend.   Not too surprised with BA's announcement, especially given the bad 737-MAX news.    But as a $PFE shareholder, I'm excited!    https://t.co/zjvAxa02I9",en,[],['https://www.dividenddiplomats.com/expected-dividend-increases-in-december-2019/'],[],3,2,16,[],['pfe'],https://twitter.com/DvdndDiplomats/status/1206774349522460672,False,,0,,,,,,,,[],,,,
1206587634132377606,1206587634132377606,2019-12-16 20:21:23 IST,2019-12-16,20:21:23,+0530,2723696479,dividendhike,dividend hike,,#Pfizer just hiked its dividend for the 10th consecutive year with a 5.8 percent increase to $0.38 quarterly. $PFE #dividends #correction :D  https://t.co/wUkjsTMbx9,en,[],[],['https://pbs.twimg.com/media/EL6pDqYWoAASqd3.png'],1,5,28,"['pfizer', 'dividends', 'correction']",['pfe'],https://twitter.com/dividendhike/status/1206587634132377606,False,,1,https://pbs.twimg.com/media/EL6pDqYWoAASqd3.png,,,,,,,[],,,,
1206248123246534657,1206248123246534657,2019-12-15 21:52:18 IST,2019-12-15,21:52:18,+0530,2499229069,dvdnddiplomats,Dividend Diplomats,,Pfizer $PFE and Boeing $BA YOU'RE UP NEXT!  I am betting Pfizer does a $0.02 increase per quarter or 5.56% and Boeing does a $0.05 increase per quarter.  Just 2 names for the...Expected Dividend Increases - December 2019  #Dividends #Invest #Money #Coffee  https://t.co/zjvAxa02I9,en,[],['https://www.dividenddiplomats.com/expected-dividend-increases-in-december-2019/'],[],3,0,8,"['dividends', 'invest', 'money', 'coffee']","['pfe', 'ba']",https://twitter.com/DvdndDiplomats/status/1206248123246534657,False,,0,,,,,,,,[],,,,
1204900959614189568,1204900959614189568,2019-12-12 04:39:09 IST,2019-12-12,04:39:09,+0530,22446818,ianlopuch,Ian Lopuch,,"Someone on my personal Facebook talked smack about my beloved $PFE. CEO pay, this &amp; that. They are no longer my friend. As a shareholder, thank you @pfizer for allowing me to #invest in medical innovation &amp; bettering society’s health. Much love! ❤️ (Disclosure: I am long PFE)",en,"[{'screen_name': 'pfizer', 'name': 'pfizer inc.', 'id': '56488059'}]",[],[],6,0,39,['invest'],['pfe'],https://twitter.com/ianlopuch/status/1204900959614189568,False,,0,,,,,,,,[],,,,
1203931181127020549,1203931181127020549,2019-12-09 12:25:36 IST,2019-12-09,12:25:36,+0530,4859660471,_b_i_o_t_e_c_h_,🅱🅸🅾🆃🅴🅲🅷,,Credit Suisse $BMRN Sangamo/Pfizer’s SB-525 (Hemophilia A Gene Therapy) Continues to Look Viable we think this update is encouraging and suggests $SGMO $PFE SB-525 may be a strong contender among hem A gene therapies in development.,en,[],[],[],0,7,12,[],"['bmrn', 'sgmo', 'pfe']",https://twitter.com/_B_I_O_T_E_C_H_/status/1203931181127020549,False,,0,,,,,,,,[],,,,
1203820177512706053,1203820177512706053,2019-12-09 05:04:30 IST,2019-12-09,05:04:30,+0530,35789155,fwpharma,FirstWord Pharma,,"Pfizer, Sangamo's haemophilia A gene therapy SB-525 continues to show sustained increased FVIII levels  https://t.co/uO3gIs0E5N $PFE $SGMO #ASH19",en,[],['https://www.firstwordpharma.com/node/1686240'],[],0,3,11,['ash19'],"['pfe', 'sgmo']",https://twitter.com/fwpharma/status/1203820177512706053,False,,0,,,,,,,,[],,,,
