id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1210696540794314757,1210696540794314757,2019-12-28 04:28:43 IST,2019-12-28,04:28:43,+0530,1370906497,maisacorp,MAISA,,$MAISA #biotech candidates for #2020_Buyout  * $ALXN Alexion  * $AMRN Amarin $BMRN BioMarin $BLUE bluebird bio * $CLVS Clovis  * $INCY Incyte * $NBIX Neurocrine Biosciences * $SGEN Seattle Genetics * $SRPT Sarepta Therapeutics $SAGE Sage Therapeutics * $VRTX Vertex  *owned,en,[],[],[],0,6,20,"['biotech', '2020_buyout']","['maisa', 'alxn', 'amrn', 'bmrn', 'blue', 'clvs', 'incy', 'nbix', 'sgen', 'srpt', 'sage', 'vrtx']",https://twitter.com/MaisaCorp/status/1210696540794314757,False,,0,,,,,,,,[],,,,
1208994300366934016,1208994300366934016,2019-12-23 11:44:37 IST,2019-12-23,11:44:37,+0530,4859660471,_b_i_o_t_e_c_h_,🅱🅸🅾🆃🅴🅲🅷,,"#ROCHE $SRPT SAREPTA  THERAPEUTICS - TO RECEIVE UPFRONT PAYMENT OF $1.15 BLN, COMPRISING $750  MLN IN CASH AND $400 MLN IN SAREPTA STOCK, PRICED AT $158.59 PER SHARE",en,[],[],[],1,5,13,['roche'],['srpt'],https://twitter.com/_B_I_O_T_E_C_H_/status/1208994300366934016,False,,0,,,,,,,,[],,,,
1207339785985122304,1207339785985122304,2019-12-18 22:10:10 IST,2019-12-18,22:10:10,+0530,3426014292,semodough,dough,,"Baird Sarepta Therapeutics $SRPT) Competitor's $SLDB AAV9 DMD GT Falls Flat, Widening Sarepta's Lead-Based on the totality of the evidence presented to date we believe it is clear that SRP-9001 is safer and more effective vector as compared to the AAV9-based competitors.",en,[],[],[],0,6,30,[],"['srpt', 'sldb']",https://twitter.com/semodough/status/1207339785985122304,False,,0,,,,,,,,[],,,,
1205480920100175872,1205480920100175872,2019-12-13 19:03:42 IST,2019-12-13,19:03:42,+0530,1063180083769176064,msollender,Michelle Solly,,$SRPT Sarepta Therapeutics Announces $250 Million of Non-Dilutive Senior Secured Loan Financing   https://t.co/qP2BOLXBL8,en,[],['http://www.globenewswire.com/news-release/2019/12/13/1960416/0/en/Sarepta-Therapeutics-Announces-250-Million-of-Non-Dilutive-Senior-Secured-Loan-Financing.html'],[],1,3,8,[],['srpt'],https://twitter.com/MSollender/status/1205480920100175872,False,,0,,,,,,,,[],,,,
1205458529160769536,1205458529160769536,2019-12-13 17:34:44 IST,2019-12-13,17:34:44,+0530,818081647,analystwire,SIAnalystWire,,Sarepta Therapeutics $SRPT PT Raised to $210 at Piper Jaffray  https://t.co/ydSBxtxrYy,en,[],['http://streetinsider.com/r/16241267'],[],0,4,6,[],['srpt'],https://twitter.com/AnalystWire/status/1205458529160769536,False,,0,,,,,,,,[],,,,
1205267654635872256,1205267654635872256,2019-12-13 04:56:16 IST,2019-12-13,04:56:16,+0530,3426014292,semodough,dough,,$SRPT Sarepta Therapeutics Announces FDA Approval of VYONDYS 53™ (golodirsen) Injection for the Treatment of Duchenne Muscular Dystrophy (DMD) in Patients Amenable to Skipping Exon 53 | Sarepta Therapeutics  https://t.co/vXRPoYtlUx,en,[],['https://investorrelations.sarepta.com/news-releases/news-release-details/sarepta-therapeutics-announces-fda-approval-vyondys-53tm'],[],1,6,16,[],['srpt'],https://twitter.com/semodough/status/1205267654635872256,False,,0,,,,,,,,[],,,,
1196819835373654016,1196819835373654016,2019-11-19 21:27:39 IST,2019-11-19,21:27:39,+0530,2301447628,tazman9tazman,Tazman,,"Sarepta Therapeutics, Inc. (SRPT) Institutional Ownership &amp; Holdings -  https://t.co/XinLum1jRs $srpt been waiting for the results Big players are updated except for one at the bottom from June to September there’s been an increase from 96.87 to99.7   https://t.co/hLMhIzHgDe",en,[],"['http://NASDAQ.com', 'https://old.nasdaq.com/symbol/srpt/institutional-holdings']",[],2,1,12,[],['srpt'],https://twitter.com/Tazman9Tazman/status/1196819835373654016,False,,0,,,,,,,,[],,,,
1196417424809218048,1196417424809218048,2019-11-18 18:48:37 IST,2019-11-18,18:48:37,+0530,14314271,sgonzalezyanes,Sebastian Gonzalez,,$Srpt Sarepta Therapeutics,tl,[],[],[],0,0,16,[],['srpt'],https://twitter.com/sgonzalezyanes/status/1196417424809218048,False,https://twitter.com/jennmcnary/status/1194235158838366208,0,,,,,,,,[],,,,
1192573739143225344,1192573739143225344,2019-11-08 04:15:11 IST,2019-11-08,04:15:11,+0530,102094857,adamfeuerstein,Adam Feuerstein,,Sarepta Therapeutics CEO playing nice with FDA over rejection of Duchenne drug  https://t.co/8ZwvYdFnjb $SRPT,en,[],['https://www.statnews.com/2019/11/07/sarepta-therapeutics-ceo-fda-duchenne-drug/'],[],4,7,14,[],['srpt'],https://twitter.com/adamfeuerstein/status/1192573739143225344,False,,0,,,,,,,,[],,,,
1187468676695355392,1187468676695355392,2019-10-25 02:09:29 IST,2019-10-25,02:09:29,+0530,223589965,gantosj,Joe,,"$SRPT Sarepta Therapeutics to Announce Third Quarter 2019 Financial Results and Recent Corporate Developments on November 7, 2019 after the market close &amp; CC  at 4:30pm ET  https://t.co/jHD97UAuGo",en,[],['https://investorrelations.sarepta.com/news-releases/news-release-details/sarepta-therapeutics-announce-third-quarter-2019-financial'],[],0,0,14,[],['srpt'],https://twitter.com/GantosJ/status/1187468676695355392,False,,0,,,,,,,,[],,,,
