id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1203138990016212994,1203138990016212994,2019-12-07 07:57:43 IST,2019-12-07,07:57:43,+0530,9547482,peterhimler,Peter Himler,,"This is one (must-read) piece from @profgalloway:   https://t.co/a5gDEvIw7s As a fellow $TWTR shareholder and an increasingly disillusioned @Twitter fan, I share in his pain.",en,"[{'screen_name': 'profgalloway', 'name': 'scott galloway', 'id': '9273802'}, {'screen_name': 'twitter', 'name': 'twitter', 'id': '783214'}]",['https://profgalloway.com/twtr-enough-already'],[],6,9,40,[],['twtr'],https://twitter.com/PeterHimler/status/1203138990016212994,False,,0,,,,,,,,[],,,,
1201563236212072448,1201563236212072448,2019-12-02 23:36:14 IST,2019-12-02,23:36:14,+0530,60204807,kr00ney,Kate Rooney,,"Square &amp; Twitter CEO @jack Dorsey's planned move to Africa divides investors..  $SQ analysts see Africa as the future of payments &amp; crypto with huge upside. But for $TWTR, it's a U.S. election year likely bringing more social media scrutiny. More here 👇 https://t.co/j3jON1Q6kS",en,"[{'screen_name': 'jack', 'name': 'jack', 'id': '12'}]",['https://cnb.cx/2OHAeRK'],[],11,34,94,[],"['sq', 'twtr']",https://twitter.com/Kr00ney/status/1201563236212072448,False,,0,,,,,,,,[],,,,
1199791866142744577,1199791866142744577,2019-11-28 02:17:26 IST,2019-11-28,02:17:26,+0530,430421961,susanlitv,Susan Li,,#Wikipedia founder #jimmywales says #Twitter should BAN  @realdonaldtrump who gets away with more than others! But $twtr says #Trump has not broken any of its' rules!  Tho @jack is banning all #political ads! #foxnews Love it when  @danaperino finishes off my reports #Rocky #tech  https://t.co/P4iuFncDaj,en,"[{'screen_name': 'realdonaldtrump', 'name': 'donald j. trump', 'id': '25073877'}, {'screen_name': 'jack', 'name': 'jack', 'id': '12'}, {'screen_name': 'danaperino', 'name': 'dana perino', 'id': '27311044'}]",[],[],8,17,93,"['wikipedia', 'jimmywales', 'twitter', 'trump', 'political', 'foxnews', 'rocky', 'tech']",['twtr'],https://twitter.com/SusanLiTV/status/1199791866142744577,False,,1,https://pbs.twimg.com/amplify_video_thumb/1199789806986895361/img/4_-63mVdBjWie7Bi.jpg,,,,,,,[],,,,
1195395099800158208,1195395099800158208,2019-11-15 23:06:15 IST,2019-11-15,23:06:15,+0530,349249475,gerberkawasaki,Ross Gerber,,Twitter went public over 5 years ago and has never gone up. In fact you lost a lot of money if you bought the first day it was public. $twtr,en,[],[],[],7,6,28,[],['twtr'],https://twitter.com/GerberKawasaki/status/1195395099800158208,False,,0,,,,,,,,[],,,,
1192209316218060800,1192209316218060800,2019-11-07 04:07:05 IST,2019-11-07,04:07:05,+0530,16732770,cnbcfastmoney,CNBC's Fast Money,,"Twitter's stock dipping in extended trading after the Justice Department charged two former employees with spying for Saudi Arabia. @LesliePicker brings us the latest, and the traders react. $TWTR  https://t.co/og24bCrCPP",en,"[{'screen_name': 'lesliepicker', 'name': 'leslie picker', 'id': '87098546'}]",[],[],8,20,39,[],['twtr'],https://twitter.com/CNBCFastMoney/status/1192209316218060800,False,,1,https://pbs.twimg.com/media/EIuUDSVWsAAIcl_.jpg,,,,,,,[],,,,
1192080243340611591,1192080243340611591,2019-11-06 19:34:12 IST,2019-11-06,19:34:12,+0530,349249475,gerberkawasaki,Ross Gerber,,Does your twitter feed just jump around without you touching it sometimes? @jack twitter glitch. $twtr,en,"[{'screen_name': 'jack', 'name': 'jack', 'id': '12'}]",[],[],28,10,129,[],['twtr'],https://twitter.com/GerberKawasaki/status/1192080243340611591,False,,0,,,,,,,,[],,,,
1190392862686535682,1190392862686535682,2019-11-02 03:49:09 IST,2019-11-02,03:49:09,+0530,1041353138,theaceofspaeder,Ryan M. Spaeder,,"People are leaving or being banned from twitter, $twtr stock is plummeting, twitter has increased promoted tweets in what is likely an attempt to recoup revenue, promoted tweets are making people sick of twitter... go back to start.",en,[],[],[],7,2,30,[],['twtr'],https://twitter.com/theaceofspaeder/status/1190392862686535682,False,,0,,,,,,,,[],,,,
1190237997054083072,1190237997054083072,2019-11-01 17:33:46 IST,2019-11-01,17:33:46,+0530,24410456,jeffmacke,Jeff Macke,,“I think America is tired of Twitter-fighting”  Review: Apple’s new show is full of crazy talk.   $AAPL $TWTR  https://t.co/YQOCGl2uDP,en,[],[],[],5,0,28,[],"['aapl', 'twtr']",https://twitter.com/JeffMacke/status/1190237997054083072,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1190237878380638208/pu/img/HJj7bIZ8zuNNzOye.jpg,,,,,,,[],,,,
1189965017044672514,1189965017044672514,2019-10-31 23:29:03 IST,2019-10-31,23:29:03,+0530,14115408,jonnajarian,Jon Najarian,,"Zuckerberg refused to bow to Chinese censors, gives up billions of dollars by not having $FB available in China, but $TWTR goes along with that regime &amp; you think Twitter are the good guys?     https://t.co/aqsXz9xb2s",en,[],['https://nyti.ms/2ow9itU'],[],20,11,71,[],"['fb', 'twtr']",https://twitter.com/jonnajarian/status/1189965017044672514,False,,0,,,,,,,,[],,,,
1189944864139546624,1189944864139546624,2019-10-31 22:08:58 IST,2019-10-31,22:08:58,+0530,497262990,jchatterleycnn,Julia Chatterley,,Twitter's trick or treat? CEO Jack Dorsey says they'll no longer accept political advertising. @Hadas_Gold discusses how that contrasts to Facebook’s decision to defend the ads $TWTR $FB  https://t.co/86Q2HJ7eCA,en,"[{'screen_name': 'hadas_gold', 'name': 'hadas gold', 'id': '70511174'}]",[],[],1,9,36,[],"['twtr', 'fb']",https://twitter.com/jchatterleyCNN/status/1189944864139546624,False,,1,https://pbs.twimg.com/amplify_video_thumb/1189944690914799616/img/lnk-y-efI6HZPFNX.jpg,,,,,,,[],,,,
